SECID,TRADETIME,PRICE,QUANTITY
AFH9,19:12:30,10142.2000,1
AFH9,19:12:30,10782.7600,1
AFH9,19:38:29,11099.9200,3
AFH9,19:39:07,10673.0000,3
AFH9,19:41:06,10139.3500,2
AFH9,19:41:27,10353.7800,1
AFH9,19:49:45,11119.6800,1
AFH9,19:51:36,10694.0000,1
AFH9,19:51:36,10480.1200,3
AFH9,19:51:36,10160.2500,1
AFH9,19:54:59,10272.0000,5
AFH9,19:55:33,11024.0900,1
AFH9,19:55:33,11132.1600,1
AFH9,19:56:12,11030.2700,1
AFH9,19:56:27,10390.6400,1
AFH9,19:56:50,10500.7000,2
AFH9,19:56:50,10608.8400,3
AFH9,19:57:05,10718.0000,2
AFH9,19:57:05,11257.0500,1
AFH9,19:57:05,10399.3700,2
AFH9,20:21:27,10929.3000,1
AFH9,20:21:56,11050.8700,1
AFH9,20:21:56,10301.7600,3
AFH9,20:21:56,10843.3600,3
AFH9,20:24:46,10525.2000,2
AFH9,20:25:09,10525.2000,3
AFH9,20:26:56,10850.4300,5
AFH9,20:26:56,11173.7600,1
AFH9,20:26:56,11286.4500,1
AFH9,20:26:56,10641.5100,10
AFH9,20:26:56,10965.0000,10
AFH9,20:27:12,10970.1000,5
AFH9,20:27:12,10219.1500,1
AFH9,20:27:12,10221.0500,5
AFH9,20:32:21,10531.0800,5
AFH9,20:32:28,10208.7000,5
AFH9,20:33:39,11283.3000,4
AFH9,20:36:29,11163.3600,3
AFH9,20:36:29,10941.5400,3
AFH9,20:42:16,11150.8800,1
AFH9,20:42:16,10613.7900,3
AFH9,20:42:16,11148.8000,1
AFH9,20:43:51,10612.8000,4
AFH9,20:43:54,10505.6000,6
AFH9,20:51:19,10823.1600,2
AFH9,20:51:19,10607.8500,1
AFH9,21:09:34,11159.2000,1
AFH9,21:18:26,10300.8000,1
AFH9,21:18:26,10300.8000,1
AFH9,21:22:46,10195.4000,4
AFH9,21:57:24,10951.7400,4
AFH9,22:11:22,10641.5100,2
AFH9,22:11:22,10535.0000,1
AFH9,22:11:22,10427.5000,3
AFH9,22:14:54,11164.4000,1
AFH9,22:20:43,10843.3600,1
AFH9,22:36:05,10843.3600,1
AFH9,23:20:49,10210.6000,3
AFH9,23:32:26,10423.6200,3
AFH9,23:32:26,10639.5300,3
AFH9,23:32:26,10318.0800,2
AFH9,23:32:26,10748.0000,3
AFH9,23:32:26,11178.9600,5
AFH9,23:32:26,10535.0000,4
