SECID,TRADETIME,PRICE,QUANTITY
AFM9,10:56:39,9823.6800,1
AFM9,15:27:16,10035.2000,1
AFM9,15:27:30,10649.6000,3
AFM9,15:35:42,10035.2000,1
AFM9,15:56:00,10342.4000,1
AFM9,16:42:54,10202.9400,3
AFM9,17:09:21,10035.2000,5
AFM9,18:30:29,10805.5500,1
AFM9,13:11:33,10116.8100,1
AFM9,13:49:24,10728.9000,1
AFM9,13:49:24,10729.9500,1
AFM9,15:05:00,10098.9900,1
AFM9,15:10:22,10710.0000,1
AFM9,16:15:05,10200.0000,1
AFM9,17:10:29,9900.7900,1
AFM9,17:10:29,10227.0000,1
AFM9,17:14:22,10017.5600,1
AFM9,17:20:29,10022.4600,1
