SECID,TRADETIME,PRICE,QUANTITY
ALH9,19:30:32,10516.3000,1
ALH9,19:37:47,9816.9600,1
ALH9,19:37:47,10737.3000,2
ALH9,19:37:57,10226.0000,3
ALH9,19:39:16,10737.3000,2
ALH9,19:41:00,9919.2200,2
ALH9,19:45:51,9914.3700,1
ALH9,19:49:45,10127.7000,4
ALH9,19:49:47,10127.7000,4
ALH9,19:53:19,10732.0500,1
ALH9,20:03:55,10757.2500,1
ALH9,20:03:57,10245.0000,1
ALH9,20:04:05,10452.9600,1
ALH9,20:04:06,10555.4400,1
ALH9,20:04:25,10144.5300,1
ALH9,20:04:26,9734.6500,1
ALH9,20:04:28,10042.0600,1
ALH9,20:04:37,10450.9200,2
ALH9,20:04:37,10765.6500,2
ALH9,20:04:37,10152.4500,2
ALH9,20:04:37,10359.5700,2
ALH9,20:04:46,10547.2000,1
ALH9,20:05:17,9731.8000,2
ALH9,20:05:40,9727.0500,2
ALH9,20:05:40,9730.8500,2
ALH9,20:06:21,10029.3200,2
ALH9,20:06:21,10749.9000,1
ALH9,20:06:21,10545.1400,1
ALH9,20:07:17,9934.7400,1
ALH9,20:07:33,9734.6500,1
ALH9,20:07:56,10451.9400,1
ALH9,20:08:22,10147.5000,1
ALH9,20:08:35,10147.5000,1
ALH9,20:08:36,10762.5000,1
ALH9,20:08:36,10048.9200,3
ALH9,20:08:36,10561.6200,2
ALH9,20:08:52,10769.8500,1
ALH9,20:08:53,9846.7200,1
ALH9,20:08:54,10051.8600,1
ALH9,20:08:55,9846.7200,1
ALH9,20:08:55,10564.7100,1
ALH9,20:08:58,9744.1500,1
ALH9,20:09:10,10459.0800,2
ALH9,20:11:04,10443.7800,1
ALH9,20:11:17,10338.3600,1
ALH9,20:11:22,10543.0800,1
ALH9,20:11:33,10237.0000,1
ALH9,20:11:38,10237.0000,1
ALH9,20:11:40,10544.1100,1
ALH9,20:11:41,9827.5200,1
ALH9,20:11:42,10032.2600,1
ALH9,20:11:43,9929.8900,1
ALH9,20:11:44,10544.1100,1
ALH9,20:11:45,10748.8500,1
ALH9,20:11:46,10339.3700,1
ALH9,20:11:47,9827.5200,1
ALH9,20:11:52,10441.7400,2
ALH9,20:12:04,10549.2600,1
ALH9,20:13:07,10458.0600,2
ALH9,20:14:40,10050.8800,1
ALH9,20:14:41,10358.5600,2
ALH9,20:14:42,9743.2000,1
ALH9,20:14:43,10768.8000,1
ALH9,20:14:44,9845.7600,1
ALH9,20:14:44,10256.0000,1
ALH9,20:14:45,10768.8000,1
ALH9,20:14:46,10461.1200,1
ALH9,20:15:16,10256.0000,1
ALH9,20:15:17,10050.8800,1
ALH9,20:16:03,10152.4500,2
ALH9,20:16:40,10357.5500,1
ALH9,20:16:40,10048.9200,1
ALH9,20:17:45,10752.0000,1
ALH9,20:17:45,9830.4000,1
ALH9,20:18:14,10043.0400,2
ALH9,20:18:19,9939.5900,2
ALH9,20:18:32,10453.9800,2
ALH9,20:18:44,10149.4800,2
ALH9,20:19:05,10763.5500,2
ALH9,20:19:21,10768.8000,1
ALH9,20:19:22,10768.8000,1
ALH9,20:19:58,10345.4300,2
ALH9,20:20:11,10753.0500,1
ALH9,20:20:14,10241.0000,2
ALH9,20:20:16,10241.0000,1
ALH9,20:20:17,9728.9500,1
ALH9,20:20:37,10345.4300,2
ALH9,20:21:37,10763.5500,1
ALH9,20:21:52,10563.6800,1
ALH9,20:21:53,10768.8000,1
ALH9,20:21:54,9948.3200,1
ALH9,20:21:55,10461.1200,1
ALH9,20:21:55,10256.0000,1
ALH9,20:21:56,10358.5600,1
ALH9,20:21:57,10050.8800,1
ALH9,20:21:58,10461.1200,1
ALH9,20:22:10,10664.1600,1
ALH9,20:23:38,10041.0800,1
ALH9,20:23:40,10348.4600,1
ALH9,20:23:44,10239.0000,5
ALH9,20:24:13,10125.7200,1
ALH9,20:24:15,10432.5600,1
ALH9,20:24:15,10432.5600,1
ALH9,20:24:16,10330.2800,1
ALH9,20:24:17,10534.8400,1
ALH9,20:24:18,9818.8800,1
ALH9,20:24:19,10637.1200,1
ALH9,20:24:19,10534.8400,1
ALH9,20:25:13,9835.2000,1
ALH9,20:25:15,10449.9000,1
ALH9,20:25:24,10556.4700,1
ALH9,20:25:56,10457.0400,1
ALH9,20:26:00,9944.4400,2
ALH9,20:26:10,10355.5300,1
ALH9,20:26:30,10561.6200,1
ALH9,20:26:31,10048.9200,1
ALH9,20:26:33,10561.6200,1
ALH9,20:26:34,10459.0800,1
ALH9,20:26:34,10048.9200,1
ALH9,20:26:35,10459.0800,1
ALH9,20:26:36,10459.0800,1
ALH9,20:26:39,10459.0800,1
ALH9,20:26:42,10253.0000,2
ALH9,20:27:43,10137.6000,1
ALH9,20:27:44,10444.8000,1
ALH9,20:27:45,10752.0000,1
ALH9,20:27:46,10342.4000,1
ALH9,20:27:47,10444.8000,1
ALH9,20:27:47,9830.4000,1
ALH9,20:27:49,9728.0000,1
ALH9,20:27:50,10444.8000,1
ALH9,20:27:54,9722.3000,3
ALH9,20:27:54,10336.3400,2
ALH9,20:27:54,10130.6700,2
ALH9,20:28:04,10536.9000,1
ALH9,20:28:05,10025.4000,1
ALH9,20:28:06,10741.5000,1
ALH9,20:28:07,9820.8000,1
ALH9,20:28:08,10434.6000,1
ALH9,20:28:09,10230.0000,1
ALH9,20:28:10,10025.4000,1
ALH9,20:28:11,10639.2000,1
ALH9,20:28:12,9923.1000,1
ALH9,20:28:19,10435.6200,2
ALH9,20:28:41,10342.4000,1
ALH9,20:28:50,10342.4000,1
ALH9,20:28:51,10342.4000,1
ALH9,20:28:52,10752.0000,1
ALH9,20:28:53,9940.5600,1
ALH9,20:28:56,9940.5600,4
ALH9,20:29:17,10762.5000,1
ALH9,20:29:18,9840.0000,1
ALH9,20:29:26,10561.6200,1
ALH9,20:29:27,10048.9200,1
ALH9,20:29:28,10561.6200,1
ALH9,20:29:34,9741.3000,1
ALH9,20:29:35,9741.3000,1
ALH9,20:29:36,10561.6200,1
ALH9,20:29:39,9741.3000,1
ALH9,20:29:40,10254.0000,1
ALH9,20:29:41,10664.1600,1
ALH9,20:29:42,9741.3000,1
ALH9,20:29:43,10766.7000,1
ALH9,20:29:47,10663.1200,2
ALH9,20:30:59,10441.7400,1
ALH9,20:31:00,9827.5200,1
ALH9,20:31:01,10544.1100,1
ALH9,20:31:02,9929.8900,1
ALH9,20:31:03,10544.1100,1
ALH9,20:31:18,9921.1600,1
ALH9,20:31:19,9818.8800,1
ALH9,20:31:21,9921.1600,1
ALH9,20:31:21,10125.7200,1
ALH9,20:31:22,10534.8400,1
ALH9,20:31:23,10432.5600,1
ALH9,20:31:24,10125.7200,1
ALH9,20:31:25,10125.7200,1
ALH9,20:31:26,10330.2800,1
ALH9,20:31:34,10027.3600,1
ALH9,20:31:34,10641.2800,1
ALH9,20:31:35,9925.0400,1
ALH9,20:31:39,10330.2800,1
ALH9,20:31:40,10534.8400,1
ALH9,20:31:41,10739.4000,1
ALH9,20:31:42,10125.7200,1
ALH9,20:31:43,10637.1200,1
