SECID,TRADETIME,PRICE,QUANTITY
ALM9,12:59:44,9415.4500,1
ALM9,12:59:44,9416.4000,1
ALM9,14:35:19,9622.4000,1
ALM9,14:35:19,10119.4200,1
ALM9,14:35:19,9921.0000,2
ALM9,14:35:59,9922.0000,2
ALM9,14:43:17,10424.4000,2
ALM9,14:43:17,9928.0000,1
ALM9,18:26:10,9722.7900,1
ALM9,18:27:04,9415.6800,2
ALM9,18:27:05,9807.0000,3
ALM9,18:30:39,10099.1500,5
ALM9,18:30:48,10094.0000,6
ALM9,18:30:51,9884.8700,2
ALM9,18:30:51,9395.5200,2
ALM9,18:30:51,9395.5200,2
ALM9,18:30:51,9591.2600,2
ALM9,18:31:04,9295.7500,2
ALM9,18:31:04,9785.0000,1
ALM9,18:31:05,10274.2500,1
ALM9,18:31:31,9986.8200,2
ALM9,18:31:31,9693.0900,8
ALM9,18:31:31,10084.7300,2
ALM9,18:31:34,9984.7800,2
ALM9,18:31:34,9394.5600,2
ALM9,18:31:34,9688.1400,1
ALM9,18:31:34,10177.4400,1
ALM9,18:31:34,9394.5600,1
ALM9,18:31:34,9590.2800,1
ALM9,18:31:34,9688.1400,1
ALM9,18:31:34,9590.2800,2
ALM9,18:31:39,9403.2000,8
ALM9,18:31:39,9693.0900,2
ALM9,18:32:14,9993.9600,1
ALM9,18:32:14,9889.9200,1
ALM9,18:32:14,9596.1600,2
ALM9,18:32:14,9889.9200,5
ALM9,18:32:14,9406.0800,2
ALM9,18:32:14,9406.0800,2
ALM9,18:32:14,10188.8800,1
ALM9,18:32:22,10285.8000,2
ALM9,18:32:22,9502.1200,2
ALM9,18:32:22,10285.8000,2
ALM9,18:32:22,9600.0800,2
ALM9,18:32:22,9698.0400,2
ALM9,18:32:22,10285.8000,2
ALM9,18:32:22,9991.9200,2
ALM9,18:32:23,9893.9600,2
ALM9,18:33:02,10179.5200,10
ALM9,18:33:02,9493.3900,2
ALM9,18:33:02,10276.3500,10
ALM9,18:33:02,9395.5200,2
ALM9,18:33:02,10276.3500,2
ALM9,18:33:02,9786.0000,2
ALM9,18:33:02,9296.7000,2
ALM9,18:33:02,9786.0000,2
ALM9,18:33:02,9981.7200,2
ALM9,18:33:02,10275.3000,3
ALM9,18:33:20,9585.3800,2
ALM9,18:33:20,9781.0000,2
ALM9,18:33:20,9389.7600,2
ALM9,18:34:08,9975.6000,2
ALM9,18:34:08,9780.0000,2
ALM9,18:34:08,9584.4000,2
ALM9,18:34:09,9290.0500,2
ALM9,18:34:09,10267.9500,2
ALM9,18:34:09,10267.9500,2
ALM9,18:34:09,9974.5800,2
ALM9,10:58:30,10255.4400,2
ALM9,11:10:13,9847.0000,1
ALM9,11:10:13,10325.7000,2
ALM9,11:10:17,9635.3600,1
ALM9,11:10:17,9438.7200,1
ALM9,11:23:04,9754.4700,2
ALM9,11:23:04,9655.9400,1
