SECID,TRADETIME,PRICE,QUANTITY
AUH9,20:18:30,0.7378,200
AUH9,20:48:20,0.7099,3
AUH9,20:57:17,0.7307,2
AUH9,21:15:24,0.7025,1
AUH9,21:37:02,0.7301,1
AUH9,21:37:02,0.7374,10
AUH9,21:58:31,0.7091,5
AUH9,22:14:08,0.7018,1
AUH9,22:28:30,0.7020,1
AUH9,22:29:16,0.7020,1
AUH9,22:41:41,0.6877,1
AUH9,22:59:06,0.6882,1
AUH9,23:04:52,0.6953,1
AUH9,23:08:08,0.6812,1
AUH9,23:41:29,0.7099,1
AUH9,10:00:01,0.7247,1
AUH9,10:01:42,0.7176,1
AUH9,10:07:38,0.7319,1
AUH9,10:10:02,0.7110,1
AUH9,10:10:02,0.7181,1
AUH9,10:23:07,0.7322,100
AUH9,10:25:38,0.6752,1
AUH9,10:25:44,0.6893,1
AUH9,11:11:50,0.7104,1
AUH9,11:13:18,0.7463,9
AUH9,11:16:25,0.6821,2
AUH9,11:17:11,0.7461,1
AUH9,11:24:00,0.6897,1
AUH9,11:33:01,0.6756,9
AUH9,11:33:17,0.7041,9
AUH9,11:33:24,0.7325,7
AUH9,12:11:36,0.7394,2
AUH9,12:11:36,0.7252,1
AUH9,12:12:25,0.6968,1
AUH9,12:47:03,0.7176,1
AUH9,12:48:45,0.7319,1
AUH9,13:19:13,0.6824,1
AUH9,14:40:42,0.7328,1
AUH9,16:15:45,0.6983,2
AUH9,16:18:33,0.6841,1
AUH9,16:19:38,0.7127,2
AUH9,16:27:54,0.7485,1
AUH9,16:29:08,0.6918,1
AUH9,16:32:56,0.7276,1
AUH9,16:32:57,0.7277,1
AUH9,16:33:26,0.7278,2
AUH9,16:38:01,0.6992,1
AUH9,16:40:00,0.6780,1
AUH9,16:40:55,0.6854,2
AUH9,16:41:33,0.6783,1
AUH9,16:44:07,0.7000,1
AUH9,16:44:22,0.7144,1
AUH9,16:45:11,0.7430,1
AUH9,16:48:15,0.6924,1
AUH9,16:49:01,0.7069,1
AUH9,16:49:25,0.7212,1
AUH9,16:50:23,0.6925,1
AUH9,16:50:23,0.7352,260
AUH9,16:55:05,0.7351,1
AUH9,16:58:24,0.7357,1
AUH9,17:00:08,0.7430,1
AUH9,17:01:41,0.7502,1
AUH9,17:03:37,0.7288,1
AUH9,17:04:27,0.6933,1
AUH9,17:04:27,0.7430,1
AUH9,17:06:28,0.6863,1
AUH9,17:06:38,0.7364,1
AUH9,17:06:39,0.7007,1
AUH9,17:11:36,0.7078,9
AUH9,17:11:47,0.7364,9
AUH9,17:12:23,0.6935,7
AUH9,17:17:10,0.7221,1
AUH9,17:17:10,0.7507,9
AUH9,17:17:58,0.7011,1
AUH9,17:17:58,0.7440,2
AUH9,17:17:58,0.7154,1
AUH9,17:23:42,0.6940,1
AUH9,17:28:49,0.7220,3
AUH9,17:28:49,0.7292,12
AUH9,17:32:22,0.6864,1
AUH9,17:36:31,0.7507,1
AUH9,17:36:31,0.7221,4
AUH9,17:44:47,0.7512,5
AUH9,17:45:23,0.7444,1
AUH9,17:45:24,0.6801,1
AUH9,17:45:24,0.7375,1
AUH9,17:45:25,0.7303,29
AUH9,17:46:00,0.7086,1
AUH9,17:46:00,0.6872,8
AUH9,17:46:56,0.6947,5
AUH9,17:53:15,0.7165,30
AUH9,18:35:09,0.6816,10
AUH9,18:35:09,0.7178,1
AUH9,18:38:46,0.7252,1
AUH9,18:42:22,0.7247,2
AUH9,19:01:16,0.7283,1
AUH9,19:01:17,0.6921,1
AUH9,19:24:49,0.6774,2
AUH9,19:42:59,0.7205,1
AUH9,19:43:07,0.6848,1
AUH9,20:09:51,0.7204,2
AUH9,20:11:13,0.6990,1
AUH9,20:21:48,0.7417,1
AUH9,21:30:54,0.7495,30
AUH9,21:46:30,0.7067,1
AUH9,22:02:20,0.6781,1
AUH9,22:48:47,0.7424,1
AUH9,23:40:44,0.7422,2
AUH9,23:40:59,0.7493,3
AUH9,10:00:00,0.6988,1
AUH9,10:00:40,0.7050,1
AUH9,10:04:43,0.6908,1
AUH9,10:06:06,0.7335,1
AUH9,10:07:01,0.6764,1
AUH9,10:07:02,0.7479,41
AUH9,10:07:02,0.6767,27
AUH9,10:12:11,0.7478,1
AUH9,10:12:38,0.7051,1
AUH9,10:12:42,0.7406,1
AUH9,10:25:03,0.7335,1
AUH9,10:28:24,0.6980,1
AUH9,10:29:26,0.6913,400
AUH9,10:29:26,0.7056,2
AUH9,10:29:26,0.7127,1398
AUH9,10:29:32,0.7411,400
AUH9,10:29:32,0.7340,1400
AUH9,10:29:43,0.7340,190
AUH9,10:32:04,0.7195,188
AUH9,10:32:37,0.7124,1
AUH9,10:34:23,0.7408,4
AUH9,10:36:39,0.7408,1
AUH9,10:41:11,0.7405,1
AUH9,10:43:36,0.6974,1
AUH9,10:43:36,0.7044,1
AUH9,10:45:40,0.7190,1
AUH9,10:47:25,0.6831,2
AUH9,10:51:09,0.6828,1
AUH9,10:53:12,0.6973,3
AUH9,10:58:31,0.7121,1
AUH9,10:58:31,0.7266,1
AUH9,10:59:33,0.7192,1
AUH9,11:01:17,0.6834,1
AUH9,11:06:27,0.6762,1
AUH9,11:08:14,0.7331,2
AUH9,11:10:42,0.6906,1
AUH9,11:14:01,0.7406,1
AUH9,11:19:01,0.6838,1
AUH9,11:22:10,0.6772,2
AUH9,11:22:15,0.6772,1
AUH9,11:25:44,0.7482,2
AUH9,11:30:37,0.7478,1
AUH9,11:30:37,0.6908,1
AUH9,11:33:20,0.7339,1
AUH9,11:35:37,0.6837,1
AUH9,11:42:30,0.6975,1
AUH9,11:43:18,0.7259,3
AUH9,11:44:09,0.7331,2
AUH9,11:49:52,0.7335,200
AUH9,11:51:24,0.7191,1
AUH9,11:55:55,0.7189,1
AUH9,11:56:05,0.6903,19
AUH9,12:09:31,0.7403,1
AUH9,12:09:31,0.6904,1
AUH9,12:09:50,0.7399,1
AUH9,12:09:50,0.7470,29
AUH9,12:12:53,0.7045,1
AUH9,12:14:18,0.6758,1
AUH9,12:14:49,0.7185,1
AUH9,12:17:33,0.7325,1
AUH9,12:19:33,0.6753,15
AUH9,12:19:34,0.7392,1
AUH9,12:19:34,0.7039,1
AUH9,12:30:49,0.7111,1
AUH9,12:33:01,0.7468,1
AUH9,12:36:08,0.7253,1
AUH9,12:52:24,0.7251,2
AUH9,13:25:01,0.6759,1
AUH9,13:26:22,0.7115,1
AUH9,13:41:46,0.7471,1
AUH9,13:42:58,0.7471,1
AUH9,13:55:06,0.7331,1
AUH9,13:56:14,0.7046,1
AUH9,14:11:08,0.7120,30
AUH9,14:13:33,0.6763,1
AUH9,14:17:16,0.7114,1
AUH9,14:20:55,0.6968,2
AUH9,14:23:29,0.6760,1
AUH9,14:26:36,0.6830,1
AUH9,14:28:12,0.7044,1
AUH9,14:28:12,0.6830,6
AUH9,14:39:40,0.6897,1
AUH9,14:39:40,0.7465,7
AUH9,14:41:42,0.7463,1
AUH9,14:45:21,0.7038,1
AUH9,14:47:02,0.7182,2
AUH9,14:47:08,0.6827,2
AUH9,14:49:55,0.7463,1
AUH9,14:50:35,0.7321,1
AUH9,14:51:11,0.7465,1
AUH9,14:55:27,0.6826,5
AUH9,15:02:08,0.6968,1
AUH9,15:02:47,0.7110,1
AUH9,15:13:55,0.7396,1
AUH9,15:40:42,0.7181,1
AUH9,15:43:06,0.7110,1
AUH9,15:46:05,0.7183,1
AUH9,16:08:41,0.6899,1
AUH9,16:08:41,0.7041,1
AUH9,16:09:35,0.7399,1
AUH9,16:13:29,0.6759,1
AUH9,16:17:32,0.6832,2
AUH9,16:17:33,0.7043,1
AUH9,16:17:38,0.7329,2
AUH9,16:17:38,0.7473,298
AUH9,16:19:52,0.7401,1
AUH9,16:47:02,0.7331,1
AUH9,16:47:02,0.6761,4
AUH9,17:00:21,0.7188,1
AUH9,17:01:09,0.6834,1
AUH9,17:05:14,0.7404,1
AUH9,17:05:14,0.7191,2
AUH9,17:07:01,0.7046,1
AUH9,17:17:59,0.7406,1
