SECID,TRADETIME,PRICE,QUANTITY
BRJ9,19:05:05,63.2320,3
BRJ9,19:05:05,63.8400,3
BRJ9,19:05:06,59.4664,1
BRJ9,19:05:29,62.6961,1
BRJ9,19:06:02,59.7212,1
BRJ9,19:06:06,61.5292,10
BRJ9,19:06:16,62.3220,1
BRJ9,19:06:17,61.1000,2
BRJ9,19:06:18,64.1550,3
BRJ9,19:06:18,59.8780,1
BRJ9,19:06:20,58.0450,3
BRJ9,19:10:02,61.6100,1
BRJ9,19:10:03,61.0000,3
BRJ9,19:10:03,59.7800,3
BRJ9,19:10:04,58.5600,1
BRJ9,19:10:04,64.0500,1
BRJ9,19:10:04,61.6100,1
BRJ9,19:13:15,61.4383,1
BRJ9,19:13:16,63.2320,1
BRJ9,19:13:16,58.3680,3
BRJ9,19:13:16,62.6240,6
BRJ9,19:20:23,62.2812,2
BRJ9,19:24:25,62.9330,1
BRJ9,19:24:25,63.5440,3
BRJ9,19:24:33,58.0450,3
BRJ9,19:24:33,61.7110,3
BRJ9,19:24:33,60.4890,1
BRJ9,19:24:35,61.7110,3
BRJ9,19:24:35,62.3220,1
BRJ9,19:25:30,63.5440,5
BRJ9,19:37:54,64.0815,1
BRJ9,19:41:23,59.3446,3
BRJ9,19:45:09,63.7000,1
BRJ9,19:47:31,62.5260,140
BRJ9,19:47:31,61.9130,2
BRJ9,19:49:45,61.3900,1
BRJ9,19:49:45,62.6382,1
BRJ9,19:49:45,58.9824,1
BRJ9,19:49:46,62.0746,1
BRJ9,19:49:55,61.4900,1
BRJ9,20:34:56,60.0936,1
BRJ9,20:35:16,60.6969,3
BRJ9,20:35:21,63.1287,3
BRJ9,20:35:21,63.7312,3
BRJ9,20:35:21,58.8288,1
BRJ9,21:03:00,62.5158,1
BRJ9,21:04:01,63.0978,1
BRJ9,21:04:05,63.0772,1
BRJ9,21:24:27,58.1875,1
BRJ9,21:25:11,62.4342,1
BRJ9,21:34:40,64.4805,1
BRJ9,21:34:41,61.4400,1
BRJ9,21:35:17,62.6892,1
BRJ9,21:35:18,62.1049,1
BRJ9,21:35:18,63.3347,1
BRJ9,21:35:36,63.9704,1
BRJ9,21:36:42,59.0208,1
BRJ9,22:01:14,60.6870,1
BRJ9,22:01:17,58.8288,1
BRJ9,22:10:44,61.8726,1
BRJ9,22:11:03,60.0152,1
BRJ9,22:11:10,59.3737,1
BRJ9,22:11:15,61.8019,3
BRJ9,22:11:26,61.2000,3
BRJ9,22:12:15,63.6272,3
BRJ9,22:12:15,61.7918,3
BRJ9,22:12:16,64.2390,1
BRJ9,22:12:37,62.4240,3
BRJ9,22:17:29,61.2300,3
BRJ9,22:18:38,63.0463,3
BRJ9,22:20:52,63.6792,3
BRJ9,22:21:14,64.3440,3
BRJ9,22:21:28,58.8480,3
BRJ9,22:21:29,60.6969,1
BRJ9,22:21:52,64.4070,1
BRJ9,22:21:57,61.3600,1
BRJ9,22:24:02,63.7520,3
BRJ9,22:24:02,58.2350,1
BRJ9,22:24:02,63.1390,3
BRJ9,22:25:38,58.2160,2
BRJ9,22:27:09,63.0154,1
BRJ9,22:27:27,61.1600,3
BRJ9,22:28:50,59.5289,1
BRJ9,22:29:56,59.4804,3
BRJ9,22:33:17,59.4222,3
BRJ9,23:07:54,59.4416,1
BRJ9,23:09:29,58.2065,1
BRJ9,23:11:23,60.6969,1
BRJ9,23:38:10,60.1034,1
BRJ9,23:44:47,60.1230,1
BRJ9,23:47:59,62.5464,1
BRJ9,10:00:00,63.1905,19
BRJ9,10:00:00,61.4900,1
BRJ9,10:00:00,60.4562,1
BRJ9,10:00:06,62.4483,1
BRJ9,10:00:14,58.6720,1
BRJ9,10:00:25,62.3776,1
BRJ9,10:00:52,61.1028,1
BRJ9,10:01:20,61.7400,20
BRJ9,10:01:53,59.9072,1
BRJ9,10:02:21,59.8878,1
BRJ9,10:02:46,64.8165,1
BRJ9,10:03:05,63.5819,1
BRJ9,10:06:16,60.4856,1
BRJ9,10:08:43,64.2720,1
BRJ9,10:09:38,63.0360,9
BRJ9,10:10:19,62.4079,1
BRJ9,10:47:47,64.1056,2
BRJ9,10:53:39,61.0731,1
BRJ9,10:54:55,62.3271,1
BRJ9,11:03:33,61.1325,1
BRJ9,11:11:18,61.6500,1
BRJ9,11:11:20,59.7908,1
BRJ9,11:14:05,58.4725,2
BRJ9,11:16:27,59.0880,1
BRJ9,11:33:16,63.4480,10
BRJ9,11:41:46,59.3280,3
BRJ9,11:41:52,59.3568,1
BRJ9,11:43:35,64.8270,3
BRJ9,11:43:35,61.7400,1
BRJ9,12:12:32,61.0236,3
BRJ9,12:12:32,59.1744,1
BRJ9,12:14:04,64.0224,1
BRJ9,12:17:54,62.2160,10
BRJ9,12:17:54,61.6000,18
BRJ9,12:28:12,64.0536,1
BRJ9,12:28:25,62.2261,1
BRJ9,12:29:33,59.6550,8
BRJ9,12:30:51,62.7300,2
BRJ9,12:45:22,63.3656,1
BRJ9,12:50:02,60.1524,1
BRJ9,12:50:17,60.2014,1
BRJ9,12:51:29,61.2900,1
BRJ9,12:51:55,61.2900,1
BRJ9,12:54:32,60.1328,1
BRJ9,13:00:50,62.4342,2
BRJ9,13:04:01,59.9760,13
BRJ9,13:05:43,64.3230,1
BRJ9,13:09:42,58.8960,1
BRJ9,14:05:01,62.5668,3
BRJ9,14:06:03,63.8248,1
BRJ9,14:11:42,60.1230,2
BRJ9,14:26:17,64.0710,1
BRJ9,14:33:37,62.9227,1
BRJ9,14:34:48,59.3155,2
BRJ9,14:42:09,59.3640,2
BRJ9,14:49:16,61.2000,1
BRJ9,14:52:07,60.6375,1
BRJ9,15:00:54,60.4890,20
BRJ9,15:00:54,63.5440,500
BRJ9,15:05:12,59.2670,8
BRJ9,15:06:21,60.3900,10
BRJ9,15:06:21,63.4400,10
BRJ9,15:06:21,61.0000,1
BRJ9,15:06:26,61.6403,6
