SECID,TRADETIME,PRICE,QUANTITY
BRK9,19:18:34,60.3900,1
BRK9,19:45:19,63.1493,1
BRK9,22:00:13,59.4610,1
BRK9,23:07:40,60.6870,1
BRK9,23:08:48,60.6870,1
BRK9,23:11:14,63.1802,1
BRK9,12:06:09,58.5960,1
BRK9,13:04:12,62.5770,1
BRK9,15:06:20,62.2506,1
BRK9,15:07:39,62.2506,1
BRK9,15:45:47,58.5888,1
BRK9,15:50:29,63.4712,1
BRK9,15:50:30,64.0815,1
BRK9,16:00:06,58.8288,1
BRK9,17:10:17,59.6162,1
BRK9,19:07:07,68.4023,1
BRK9,19:24:19,69.6675,1
BRK9,23:09:37,64.4565,2
BRK9,23:09:37,66.4500,2
BRK9,23:43:01,68.4847,2
BRK9,10:35:59,66.3600,5
BRK9,11:11:06,69.2120,3
BRK9,11:11:06,67.2155,1
BRK9,11:18:23,69.7725,1
BRK9,11:21:46,69.8775,1
BRK9,11:23:23,69.8775,1
BRK9,11:27:16,68.5362,1
BRK9,11:27:24,69.1912,1
BRK9,11:29:29,65.1994,1
BRK9,11:29:39,69.1808,3
BRK9,11:30:28,65.1700,1
BRK9,11:33:32,63.1275,1
BRK9,12:15:01,63.5616,1
BRK9,13:15:42,68.0933,1
BRK9,13:16:34,67.4016,1
BRK9,13:18:18,67.3812,2
BRK9,13:18:18,62.7570,1
BRK9,13:18:18,63.4176,1
BRK9,13:18:22,64.1073,1
BRK9,13:25:58,68.1139,1
BRK9,13:32:52,66.8620,5
BRK9,13:32:52,67.5240,5
BRK9,13:32:52,68.1860,1
BRK9,13:34:08,68.8584,1
BRK9,13:54:42,67.5750,1
BRK9,13:59:50,67.6464,1
BRK9,16:05:07,66.2800,1
BRK9,16:07:34,65.7162,1
BRK9,16:07:48,68.9520,1
BRK9,16:40:51,68.9520,1
BRK9,16:59:05,67.4526,1
BRK9,17:00:04,65.4291,1
BRK9,17:03:57,69.2160,1
BRK9,17:04:02,65.2509,1
BRK9,17:05:26,66.5085,1
BRK9,17:05:26,65.1915,1
BRK9,17:05:40,67.0650,1
BRK9,17:05:44,68.4424,2
BRK9,17:05:59,65.8100,1
BRK9,17:08:05,67.7740,1
BRK9,17:10:41,65.1123,3
BRK9,17:12:47,62.4720,3
BRK9,17:12:50,67.7328,3
BRK9,17:12:50,64.4448,1
BRK9,17:12:53,67.7328,3
BRK9,17:12:54,67.7328,3
BRK9,17:12:54,68.3904,1
BRK9,17:12:55,63.1296,3
BRK9,17:12:55,65.1024,3
BRK9,17:12:56,69.0480,8
BRK9,17:13:48,66.4176,3
BRK9,17:13:48,63.7872,3
BRK9,17:13:49,65.7600,3
BRK9,17:13:49,65.1024,3
BRK9,17:13:49,65.7600,3
BRK9,17:13:50,69.0480,3
BRK9,17:13:50,63.7872,3
BRK9,17:13:50,67.7328,3
BRK9,17:13:50,67.0752,3
BRK9,17:13:50,62.4720,3
BRK9,17:13:50,63.7872,3
BRK9,17:13:50,64.4448,3
BRK9,17:13:50,65.1024,3
BRK9,17:13:50,62.4720,3
BRK9,17:13:50,64.4448,1
BRK9,17:13:50,68.3904,3
BRK9,17:13:50,65.1024,3
