SECID,TRADETIME,PRICE,QUANTITY
BRM9,19:29:46,61.9130,1
BRM9,19:49:45,61.7000,1
BRM9,10:07:43,60.0236,1
BRM9,12:17:54,63.6849,1
BRM9,12:58:18,60.7068,1
BRM9,15:48:27,59.2961,1
BRM9,16:00:06,60.7167,1
BRM9,17:50:53,61.6300,1
BRM9,17:50:53,61.0137,1
BRM9,10:59:57,66.4500,1
BRM9,11:00:35,63.7920,1
BRM9,11:03:33,67.7790,1
BRM9,11:04:43,65.1210,1
BRM9,11:09:27,68.4435,1
BRM9,11:11:40,69.1184,1
BRM9,11:15:05,65.0328,1
BRM9,13:15:23,66.7004,1
BRM9,13:17:21,67.3608,1
BRM9,13:18:18,67.3608,1
BRM9,13:43:11,69.4050,1
BRM9,14:05:03,69.5625,1
BRM9,14:57:06,65.7063,1
BRM9,15:59:12,64.3595,1
BRM9,15:59:14,63.0325,1
BRM9,15:59:23,67.6770,1
BRM9,16:48:15,68.1860,3
BRM9,17:01:36,66.0600,1
BRM9,17:01:36,64.0491,1
BRM9,17:05:08,64.6212,1
BRM9,17:21:44,69.0165,1
BRM9,17:30:26,66.2055,1
BRM9,17:30:26,62.7264,1
BRM9,17:30:26,64.6173,5
BRM9,17:30:26,68.3340,8
BRM9,17:32:10,63.3408,1
BRM9,17:52:34,69.4365,1
BRM9,18:13:51,66.2300,1
BRM9,18:32:49,69.5625,1
BRM9,19:24:15,62.6050,1
BRM9,19:26:20,67.8564,1
BRM9,19:34:39,68.5672,1
BRM9,20:11:50,68.0315,1
BRM9,21:25:32,68.6400,2
BRM9,22:01:00,66.0000,1
BRM9,22:01:00,67.9800,1
BRM9,22:11:57,65.3400,1
BRM9,22:11:58,64.0200,7
BRM9,22:29:26,63.1085,1
BRM9,10:27:09,66.3000,1
BRM9,11:10:46,63.8112,1
BRM9,11:10:46,68.4641,1
BRM9,11:10:46,63.8112,2
BRM9,11:11:58,69.1496,1
BRM9,11:11:58,63.1655,1
BRM9,14:39:59,65.9700,1
BRM9,14:39:59,62.6715,1
BRM9,14:49:40,67.9491,1
BRM9,14:55:54,65.3499,1
BRM9,14:56:12,68.6504,1
BRM9,14:56:13,67.9903,1
BRM9,15:00:26,63.9909,1
BRM9,15:01:16,67.2894,1
BRM9,15:01:34,68.6088,1
BRM9,15:07:00,65.9700,1
BRM9,15:11:43,69.2685,1
BRM9,15:12:45,62.6715,1
BRM9,15:17:06,69.2685,1
BRM9,15:17:09,63.3312,1
BRM9,15:17:15,67.9491,2
BRM9,16:57:11,64.5820,1
BRM9,16:58:54,63.7969,1
