SECID,TRADETIME,PRICE,QUANTITY
CAH9,10:04:20,1.2904,1
CAH9,10:26:05,1.3698,1
CAH9,10:26:08,1.2768,1
CAH9,11:21:13,1.2772,1
CAH9,12:24:05,1.2775,1
CAH9,12:24:22,1.3840,1
CAH9,13:31:30,1.2778,1
CAH9,15:07:58,1.3303,5
CAH9,16:32:32,1.3954,1
CAH9,16:32:32,1.3423,15
CAH9,16:38:06,1.2754,2
CAH9,16:38:07,1.2885,1
CAH9,16:40:30,1.2750,1
CAH9,16:40:50,1.3014,1
CAH9,16:40:53,1.3412,1
CAH9,16:45:12,1.3535,1
CAH9,16:46:39,1.3268,14
CAH9,16:46:39,1.2605,1
CAH9,17:06:27,1.2734,5
CAH9,17:18:44,1.2592,2
CAH9,17:38:12,1.2986,1
CAH9,17:38:51,1.3914,1
CAH9,17:41:42,1.2981,2
CAH9,18:25:54,1.2961,1
CAH9,18:27:48,1.2836,7
CAH9,23:41:28,1.2563,8
CAH9,10:01:33,1.2849,11
CAH9,10:48:40,1.3647,10
CAH9,19:12:13,1.3511,10
CAH9,19:13:28,1.3510,8
CAH9,19:17:17,1.3112,30
CAH9,20:21:09,1.3893,4
CAH9,20:28:09,1.3491,4
CAH9,20:28:50,1.2960,4
CAH9,20:29:38,1.3752,4
CAH9,20:30:20,1.3086,2
CAH9,20:39:47,1.2812,1
CAH9,22:10:23,1.3470,2
CAH9,11:10:01,1.3175,15
CAH9,11:10:01,1.3570,1
CAH9,13:43:20,1.2516,1
CAH9,13:47:45,1.2515,1
CAH9,14:08:28,1.2785,12
CAH9,14:21:05,1.2775,6
CAH9,15:06:51,1.3716,2
CAH9,16:38:39,1.3449,2
CAH9,16:51:39,1.2774,1
