SECID,TRADETIME,PRICE,QUANTITY
CFH9,20:21:52,0.9717,2
CFH9,11:18:34,1.0408,1
CFH9,12:00:34,1.0011,1
CFH9,12:00:34,1.0308,1
CFH9,17:16:56,0.9507,2
CFH9,19:00:10,1.0412,1
CFH9,10:29:53,0.9517,1
CFH9,10:30:14,0.9617,1
CFH9,11:06:00,0.9926,41
CFH9,11:35:54,0.9517,1
CFH9,11:35:54,0.9818,1
CFH9,13:26:46,1.0111,1
CFH9,14:08:21,0.9911,2
CFH9,14:37:42,0.9930,46
CFH9,14:38:12,1.0227,46
CFH9,17:00:24,1.0211,1
CFH9,17:11:57,0.9807,1
CFH9,17:12:07,0.9507,1
CFH9,18:33:00,0.9585,5
CFH9,19:03:40,1.0189,1
CFH9,19:30:19,0.9783,1
CFH9,20:31:05,0.9780,1
CFH9,22:21:14,0.9780,1
CFH9,22:21:14,1.0080,1
CFH9,22:21:14,1.0080,3
CFH9,10:08:58,0.9692,50
CFH9,10:27:27,1.0490,1
CFH9,10:27:27,1.0490,10
CFH9,13:03:10,0.9783,1
CFH9,13:09:09,0.9882,1
CFH9,13:10:43,0.9679,1
CFH9,13:40:17,1.0180,100
CFH9,16:12:31,1.0172,1
CFH9,16:20:28,1.0476,1
CFH9,16:49:40,1.0474,1
