SECID,TRADETIME,PRICE,QUANTITY
CHH9,19:12:16,92702.6100,7
CHH9,21:29:22,95041.0000,1
CHH9,21:29:23,96974.5000,1
CHH9,21:35:15,92802.6000,1
CHH9,21:47:01,96963.1700,1
CHH9,21:47:01,93198.6000,1
CHH9,21:47:01,96073.8000,1
CHH9,21:47:01,95135.9400,3
CHH9,21:47:01,97022.9100,2
CHH9,22:07:42,92022.0000,2
CHH9,22:30:20,97562.4000,1
CHH9,23:21:21,89205.9500,1
CHH9,23:27:55,91083.9700,1
CHH9,23:45:31,94839.0000,1
CHH9,10:00:35,91766.2200,5
CHH9,10:00:37,93639.0000,5
CHH9,10:39:55,90772.6000,1
CHH9,10:39:55,96387.4000,2
CHH9,10:39:55,96387.4000,1
CHH9,10:39:55,93580.0000,3
CHH9,10:39:55,92644.2000,2
CHH9,10:40:17,93580.0000,1
CHH9,10:40:17,90772.6000,1
CHH9,10:47:58,90243.8400,2
CHH9,10:47:58,94944.0400,3
CHH9,10:54:38,94940.0000,1
CHH9,10:54:38,92052.3800,10
CHH9,11:04:35,93298.5900,1
CHH9,11:07:08,89300.0000,3
CHH9,11:07:08,90240.0000,1
CHH9,11:07:08,94000.0000,4
CHH9,11:08:32,97760.0000,2
CHH9,11:08:32,93060.0000,3
CHH9,11:10:49,95041.0000,2
CHH9,12:27:36,99456.0000,1
CHH9,12:59:51,99378.3000,1
CHH9,13:01:34,95547.0100,1
CHH9,13:08:45,94580.0000,1
CHH9,13:16:37,92668.8000,1
CHH9,14:21:44,96893.8800,1
CHH9,14:25:12,94149.0000,1
CHH9,14:26:26,98097.2000,1
CHH9,15:09:24,94800.0000,1
CHH9,16:29:23,98010.6800,1
CHH9,17:39:46,100712.8500,1
CHH9,17:39:46,96058.0000,1
CHH9,17:40:06,92256.0000,1
CHH9,17:55:48,93786.0000,1
CHH9,17:59:48,92033.2800,1
CHH9,18:43:11,100240.3500,1
CHH9,21:53:35,99740.4800,1
CHH9,23:39:49,106863.7500,1
CHH9,10:00:00,99740.4800,5
CHH9,10:00:01,100758.2400,1
CHH9,10:07:44,103713.6000,4
CHH9,10:45:23,98440.4500,1
CHH9,11:28:47,101902.0000,1
CHH9,13:28:32,104400.8000,1
CHH9,14:21:18,103345.3800,2
CHH9,14:45:49,102167.5600,1
CHH9,14:45:49,104140.2100,2
CHH9,14:45:50,105101.3600,1
CHH9,17:44:05,95950.9500,2
CHH9,17:44:05,95834.1000,1
CHH9,17:50:36,102111.0000,1
CHH9,18:09:31,95713.4500,1
CHH9,18:09:31,95713.4500,1
CHH9,19:00:00,98671.3000,3
CHH9,19:00:00,103705.5500,3
CHH9,19:05:00,98229.3200,1
CHH9,19:05:00,99227.7000,1
CHH9,19:16:49,103247.2000,1
CHH9,19:16:50,103247.2000,1
CHH9,19:33:00,104206.9600,1
CHH9,20:19:40,98574.2800,1
CHH9,21:28:03,100105.0000,2
CHH9,21:48:46,105253.0500,1
CHH9,10:01:59,99578.1600,1
CHH9,10:22:13,96230.4000,1
CHH9,10:50:02,100578.0000,1
CHH9,11:09:30,99660.3300,2
CHH9,11:17:03,102431.4600,1
CHH9,11:26:24,99231.6600,1
CHH9,11:29:49,102639.5400,2
CHH9,11:31:35,99671.2200,1
CHH9,11:31:35,104705.1200,1
CHH9,11:34:09,105660.4500,1
CHH9,11:48:11,103141.3800,2
CHH9,11:48:11,105207.4400,1
CHH9,11:48:30,106170.7500,1
CHH9,11:48:30,101115.0000,1
CHH9,11:48:30,102126.1500,2
CHH9,11:48:30,98081.5500,2
CHH9,11:48:30,103137.3000,1
CHH9,11:48:42,101140.0000,5
CHH9,11:50:36,98081.5500,1
CHH9,11:54:31,100109.7900,1
CHH9,11:55:42,97070.4000,3
CHH9,11:55:42,96059.2500,3
CHH9,11:55:42,96059.2500,1
CHH9,11:55:42,99092.7000,1
CHH9,11:55:42,97070.4000,1
CHH9,11:55:42,99092.7000,1
CHH9,11:55:42,101115.0000,1
CHH9,11:55:42,97070.4000,1
CHH9,11:55:42,105159.6000,2
CHH9,11:55:42,101115.0000,1
CHH9,11:55:42,98081.5500,5
CHH9,11:55:42,98081.5500,2
CHH9,11:55:42,102126.1500,5
CHH9,11:55:43,101068.0000,2
CHH9,11:55:43,97987.4600,2
CHH9,11:55:43,104048.5400,2
CHH9,11:55:43,95967.1000,3
CHH9,11:55:43,102028.1800,2
CHH9,11:57:05,98999.6000,6
CHH9,11:58:13,100800.0000,3
CHH9,11:58:13,95760.0000,1
CHH9,11:58:13,97776.0000,1
CHH9,12:26:35,99833.5800,4
CHH9,12:30:36,101808.0000,2
CHH9,12:30:36,105840.0000,1
CHH9,12:30:36,103824.0000,4
CHH9,12:37:59,102816.0000,1
CHH9,12:42:52,100800.0000,2
CHH9,12:42:52,99792.0000,2
CHH9,12:43:28,101808.0000,2
CHH9,12:43:28,103824.0000,1
CHH9,13:02:36,97772.1200,5
CHH9,15:00:12,95931.0000,1
CHH9,15:00:47,102030.2000,1
CHH9,15:02:10,105060.8000,1
CHH9,15:02:10,95969.0000,1
CHH9,15:02:14,106023.7500,2
CHH9,16:33:00,104004.2500,1
CHH9,16:33:00,102994.5000,1
CHH9,16:33:01,99965.2500,1
CHH9,16:33:36,98040.8100,2
CHH9,16:40:13,100066.2300,1
CHH9,16:47:19,100088.0100,1
CHH9,16:47:19,99077.0200,1
CHH9,16:49:40,104331.7900,1
CHH9,16:53:09,103215.8400,2
CHH9,17:07:25,105364.4800,2
CHH9,17:14:53,101305.0000,1
CHH9,17:14:53,99264.2000,2
CHH9,17:14:53,102318.0500,1
CHH9,17:18:24,104400.8000,1
CHH9,17:22:16,99556.2400,1
CHH9,17:22:49,105651.5200,1
CHH9,17:22:49,102494.8000,5
CHH9,17:22:49,103509.6000,1
CHH9,17:22:49,97420.8000,1
CHH9,17:22:49,105539.2000,3
