SECID,TRADETIME,PRICE,QUANTITY
CLG9,19:06:53,55.2448,1
CLG9,19:07:09,51.5652,1
CLG9,19:07:38,52.6383,1
CLG9,19:07:42,52.6284,1
CLG9,19:09:28,51.9008,1
CLG9,19:11:35,54.3737,1
CLG9,19:16:31,51.1190,1
CLG9,19:16:34,52.7000,1
CLG9,19:16:50,54.2810,48
CLG9,19:21:24,55.5030,1
CLG9,19:33:47,50.8800,4
CLG9,19:35:11,55.6500,46
CLG9,19:39:12,55.6395,2
CLG9,19:44:54,55.2968,1
CLG9,19:49:10,55.3280,50
CLG9,19:49:43,55.8915,4
CLG9,19:49:45,55.3800,50
CLG9,19:49:45,53.8027,1
CLG9,19:52:07,51.7398,1
CLG9,19:52:07,53.3100,1
CLG9,19:52:49,53.8128,1
CLG9,20:22:15,51.5555,1
CLG9,20:25:20,55.8390,1
CLG9,20:28:31,53.7320,5
CLG9,20:31:41,52.1458,1
CLG9,20:31:50,50.5400,3
CLG9,20:37:11,53.1000,1
CLG9,20:47:10,51.0144,1
CLG9,21:37:24,55.5360,1
CLG9,21:37:24,53.9340,1
CLG9,21:37:49,53.5000,8
CLG9,22:01:10,53.7421,1
CLG9,22:11:38,51.4973,6
CLG9,22:12:15,50.4260,8
CLG9,22:12:25,52.5789,1
CLG9,22:12:57,52.0282,12
CLG9,22:13:34,55.1928,3
CLG9,22:18:26,51.0144,8
CLG9,22:27:19,55.1408,5
CLG9,22:27:28,54.5694,8
CLG9,22:28:41,55.2240,3
CLG9,22:28:47,52.1066,8
CLG9,23:11:28,54.2946,1
CLG9,10:00:00,53.5000,42
CLG9,10:00:00,50.8725,4
CLG9,10:00:04,54.2471,1
CLG9,10:00:13,55.8480,1
CLG9,10:00:14,51.0150,1
CLG9,10:01:24,55.2904,46
CLG9,10:02:04,56.4270,1
CLG9,10:02:04,52.6750,7
CLG9,10:05:33,51.4848,1
CLG9,10:05:33,54.1663,9
CLG9,10:05:43,51.4944,9
CLG9,10:54:55,56.3325,1
CLG9,10:58:33,52.5770,1
CLG9,11:01:29,54.1865,1
CLG9,11:07:40,53.0541,25
CLG9,11:10:01,51.4464,4
CLG9,11:10:24,53.5900,1
CLG9,11:10:34,55.7128,1
CLG9,11:11:04,50.8915,1
CLG9,11:15:05,55.6712,1
CLG9,11:15:05,54.0148,1
CLG9,11:18:27,54.0653,10
CLG9,11:18:56,52.4692,1
CLG9,11:18:56,56.2170,1
CLG9,11:20:08,51.4272,1
CLG9,11:24:44,56.2695,1
CLG9,11:25:37,52.5280,4
CLG9,11:30:42,56.2695,1
CLG9,11:31:42,55.2080,1
CLG9,11:53:59,53.1729,1
CLG9,12:35:20,53.9138,1
CLG9,12:42:16,56.0805,2
CLG9,12:51:55,50.6255,1
CLG9,12:53:35,52.7670,1
CLG9,13:12:14,51.1872,1
CLG9,13:12:15,55.4528,1
CLG9,13:12:15,54.3864,8
CLG9,14:11:28,50.7110,1
CLG9,14:25:12,54.6621,1
CLG9,15:03:44,53.7017,1
CLG9,15:06:20,53.0100,1
CLG9,15:06:28,52.4799,1
