SECID,TRADETIME,PRICE,QUANTITY
CLH9,19:13:41,55.0576,1
CLH9,20:15:04,51.3312,1
CLH9,21:29:00,50.8345,1
CLH9,10:49:10,56.0456,3
CLH9,15:00:45,51.3120,10
CLH9,19:46:41,56.9034,2
CLH9,19:51:54,56.8529,2
CLH9,19:52:05,54.6013,2
CLH9,19:56:28,58.5520,3
CLH9,20:04:22,57.4362,3
CLH9,20:51:38,55.2132,1
CLH9,20:57:26,56.9438,3
CLH9,20:59:52,57.5484,2
CLH9,21:04:22,54.7856,1
CLH9,21:28:51,58.0714,2
CLH9,10:32:46,56.3900,1
CLH9,10:33:28,56.9640,49
CLH9,10:44:21,58.5936,10
CLH9,10:45:19,53.5230,10
CLH9,10:46:39,54.1056,10
CLH9,10:48:37,55.2328,1
CLH9,10:48:53,53.5420,1
CLH9,10:49:10,55.8162,10
CLH9,10:49:19,56.9539,10
CLH9,10:49:27,54.1440,10
CLH9,10:49:46,57.5076,10
CLH9,10:50:44,54.1344,10
CLH9,10:51:28,59.2410,10
CLH9,10:52:15,56.9842,10
CLH9,10:52:33,58.1332,10
CLH9,10:53:05,55.8855,10
CLH9,10:53:22,57.5790,10
CLH9,10:53:27,54.7565,10
CLH9,10:54:50,58.1229,5
CLH9,10:58:22,57.5586,1
CLH9,10:58:28,58.6872,1
CLH9,11:00:38,53.6370,10
CLH9,11:00:57,57.5892,10
CLH9,11:01:39,58.6976,11
CLH9,11:01:39,55.8756,1
CLH9,11:02:30,55.3308,10
CLH9,11:02:36,57.0246,10
CLH9,11:02:45,55.3308,10
CLH9,11:03:36,57.0448,10
CLH9,11:04:14,54.2016,10
CLH9,11:04:27,55.3504,1
CLH9,11:04:35,57.6198,10
CLH9,11:04:51,55.3602,10
CLH9,11:05:27,57.0650,10
CLH9,11:05:46,58.1847,10
CLH9,11:06:10,53.6560,10
CLH9,11:06:27,54.2304,5
CLH9,11:30:28,55.8558,1
CLH9,11:57:13,55.1348,1
CLH9,12:35:18,54.6498,1
CLH9,13:10:36,55.7865,1
CLH9,13:13:02,59.2305,10
CLH9,13:13:34,55.2622,10
CLH9,13:13:49,58.6248,2
CLH9,13:14:46,53.5515,8
CLH9,13:15:09,58.5936,10
CLH9,13:19:20,54.5431,1
CLH9,13:35:46,55.7667,1
CLH9,13:45:22,55.7667,1
CLH9,13:47:21,55.7964,1
CLH9,13:53:16,54.1152,5
CLH9,14:33:56,55.3602,5
CLH9,14:33:56,59.3040,15
CLH9,15:19:01,53.6275,1
CLH9,15:26:10,57.5790,9
CLH9,16:22:58,54.8244,5
CLH9,16:22:59,57.0246,1
CLH9,16:22:59,58.6976,1
CLH9,16:50:01,55.2034,1
CLH9,16:50:57,58.0302,1
CLH9,16:52:57,54.6401,9
CLH9,17:00:03,59.0100,3
CLH9,17:05:06,55.4004,2
CLH9,17:07:08,53.5776,5
CLH9,17:07:26,56.9058,5
CLH9,17:07:36,52.9815,5
CLH9,17:07:47,54.0872,1
CLH9,17:07:48,58.5480,4
CLH9,17:07:49,56.8548,2
CLH9,17:07:59,54.0872,1
CLH9,17:09:43,55.3113,1
CLH9,17:11:21,55.8800,2
CLH9,17:13:42,54.1163,5
CLH9,17:13:52,55.2024,5
CLH9,17:13:56,55.7500,5
CLH9,17:14:21,57.4225,5
CLH9,17:14:33,56.8548,5
CLH9,17:14:48,56.8446,5
CLH9,17:14:53,57.3916,5
CLH9,17:15:00,55.7200,5
CLH9,17:15:16,57.3710,1
CLH9,17:15:20,55.1529,5
CLH9,17:19:29,58.5375,1
CLH9,17:22:57,57.9800,1
CLH9,17:24:29,57.4019,1
CLH9,17:24:29,54.6154,5
CLH9,17:25:45,57.9384,1
CLH9,17:35:01,55.8100,1
CLH9,17:46:21,55.4004,1
CLH9,17:57:37,54.4267,1
CLH9,17:57:37,57.2220,3
CLH9,17:57:37,53.8464,71
CLH9,18:03:31,54.0000,1
CLH9,18:16:07,55.8360,1
CLH9,19:03:03,58.2816,1
CLH9,19:03:39,58.2192,1
CLH9,19:03:39,53.1810,1
CLH9,19:26:28,57.6594,1
CLH9,19:26:28,54.3103,1
CLH9,19:26:28,57.6800,1
CLH9,19:45:44,54.5722,1
CLH9,19:53:16,53.4660,1
CLH9,19:53:41,56.8731,1
CLH9,20:15:24,58.5936,3
CLH9,20:15:24,56.3300,1
CLH9,20:27:44,57.5280,5
CLH9,20:30:19,58.1126,5
CLH9,20:32:02,55.8756,3
CLH9,20:44:48,56.4000,1
CLH9,20:45:07,55.8360,3
CLH9,20:45:13,58.6560,4
CLH9,20:47:17,56.9640,1
CLH9,21:09:58,54.6886,5
CLH9,21:23:02,54.6692,10
CLH9,21:25:01,56.8933,1
CLH9,21:25:02,56.8731,1
CLH9,22:28:08,59.2620,2
CLH9,22:51:05,54.1824,4
CLH9,22:51:05,58.1332,4
CLH9,22:51:06,53.6180,3
CLH9,22:54:02,57.5790,1
CLH9,22:57:12,57.5382,2
CLH9,22:57:38,55.2720,2
CLH9,23:01:44,58.6664,4
CLH9,23:49:56,59.3145,1
CLH9,10:08:06,53.7605,1
CLH9,10:46:56,54.8729,4
CLH9,10:50:48,57.7626,7
CLH9,10:50:48,56.6300,1
CLH9,10:51:54,54.9311,1
CLH9,10:53:28,57.7626,16
CLH9,10:54:11,53.7985,5
CLH9,10:54:48,59.4615,1
CLH9,10:59:09,58.2877,5
CLH9,10:59:38,59.4195,19
CLH9,11:00:20,57.1458,17
CLH9,11:00:25,58.8328,9
CLH9,11:02:41,55.9449,1
CLH9,11:02:41,55.9449,49
CLH9,11:03:09,54.8244,49
CLH9,11:19:20,53.8080,5
CLH9,11:38:48,56.5900,1
CLH9,11:38:48,57.7218,1
CLH9,11:50:49,57.6198,112
CLH9,11:50:49,53.6655,100
CLH9,11:51:03,58.1538,1
CLH9,11:51:34,54.7080,99
CLH9,11:53:13,55.2916,1
CLH9,11:53:13,56.4300,1
CLH9,11:55:28,55.2328,1
CLH9,11:55:29,56.2900,1
CLH9,11:55:38,54.1440,5
CLH9,12:01:17,53.4850,1
CLH9,12:06:08,57.4260,5
CLH9,12:12:50,58.0199,1
CLH9,12:20:35,53.5420,1
CLH9,12:20:50,55.7667,1
CLH9,12:24:11,54.0480,36
CLH9,12:24:13,56.2800,1
CLH9,12:27:11,56.8529,1
CLH9,12:27:11,57.9787,1
CLH9,12:29:29,56.3000,1
CLH9,12:34:12,57.3852,1
CLH9,12:58:11,53.3805,1
CLH9,12:58:11,58.4376,31
CLH9,13:12:17,56.2500,2
CLH9,13:12:17,54.5625,29
CLH9,13:40:06,54.6789,3
CLH9,14:05:01,53.9712,1
CLH9,14:36:59,56.7115,1
CLH9,14:37:01,55.0270,49
CLH9,14:39:59,58.9260,1
CLH9,14:40:00,57.2220,1
CLH9,14:40:00,56.0400,1
CLH9,14:56:12,56.6206,1
CLH9,15:14:18,56.7721,30
CLH9,15:46:30,55.5192,1
CLH9,15:49:28,57.2016,1
CLH9,15:50:19,53.2285,50
CLH9,15:50:40,55.3806,30
CLH9,16:48:17,57.7315,1
CLH9,16:56:25,58.1672,1
CLH9,17:01:31,58.0632,1
CLH9,17:18:19,53.7984,3
