SECID,TRADETIME,PRICE,QUANTITY
EDH9,19:05:00,1.1981,7
EDH9,19:05:00,1.1524,10
EDH9,19:05:00,1.1065,15
EDH9,19:05:00,1.1523,10
EDH9,19:05:00,1.1635,10
EDH9,19:05:00,1.0839,1
EDH9,19:05:01,1.0839,1
EDH9,19:05:02,1.1521,2
EDH9,19:05:02,1.1749,18
EDH9,19:05:02,1.0839,20
EDH9,19:05:05,1.1066,55
EDH9,19:05:05,1.1979,1
EDH9,19:05:07,1.1066,1
EDH9,19:05:07,1.1864,2
EDH9,19:05:07,1.1636,1
EDH9,19:05:11,1.1180,1
EDH9,19:05:12,1.1179,9
EDH9,19:05:12,1.0837,16
EDH9,19:05:12,1.1749,1
EDH9,19:05:12,1.1407,3
EDH9,19:05:13,1.1749,2
EDH9,19:05:13,1.1977,10
EDH9,19:05:17,1.1180,1
EDH9,19:05:18,1.1978,1
EDH9,19:05:23,1.1408,54
EDH9,19:05:23,1.1408,2
EDH9,19:05:23,1.1408,1
EDH9,19:05:23,1.0952,38
EDH9,19:05:23,1.1635,1
EDH9,19:05:29,1.1180,1
EDH9,19:05:32,1.1180,3
EDH9,19:05:32,1.1863,4
EDH9,19:05:37,1.1293,2
EDH9,19:05:37,1.0951,5
EDH9,19:05:39,1.1407,8
EDH9,19:05:40,1.0836,1
EDH9,19:05:40,1.1520,1
EDH9,19:05:40,1.1064,100
EDH9,19:05:43,1.1520,2
EDH9,19:05:53,1.1976,1
EDH9,19:05:55,1.1178,5
EDH9,19:05:56,1.1065,5
EDH9,19:05:56,1.1407,1
EDH9,19:06:01,1.1634,3
EDH9,19:06:02,1.0835,1
EDH9,19:06:05,1.1292,2
EDH9,19:06:08,1.1976,5
EDH9,19:06:11,1.0949,6
EDH9,19:06:11,1.1405,1
EDH9,19:06:14,1.1634,1
EDH9,19:06:17,1.1064,1
EDH9,19:06:21,1.1633,7
EDH9,19:06:21,1.0949,41
EDH9,19:06:21,1.1861,1
EDH9,19:06:21,1.1063,5
EDH9,19:06:26,1.1405,2
EDH9,19:06:26,1.1746,1
EDH9,19:06:26,1.1062,1
EDH9,19:06:26,1.1859,10
EDH9,19:06:26,1.1859,1
EDH9,19:06:26,1.1973,1
EDH9,19:06:26,1.0946,10
EDH9,19:06:26,1.0946,1
EDH9,19:06:26,1.1858,1
EDH9,19:06:26,1.1174,5
EDH9,19:06:26,1.1631,1
EDH9,19:06:27,1.0831,3
EDH9,19:06:28,1.1857,6
EDH9,19:06:32,1.1744,1
EDH9,19:06:34,1.1630,5
EDH9,19:06:34,1.1402,2
EDH9,19:06:34,1.1516,150
EDH9,19:06:34,1.1402,4
EDH9,19:06:34,1.1288,60
EDH9,19:06:37,1.1973,1
EDH9,19:06:40,1.1288,1
EDH9,19:06:41,1.1059,1
EDH9,19:06:41,1.0945,1
EDH9,19:06:41,1.1401,7
EDH9,19:06:41,1.0832,1
EDH9,19:06:48,1.1744,1
EDH9,19:06:49,1.1060,3
EDH9,19:06:52,1.1515,1
EDH9,19:06:52,1.1971,1
EDH9,19:06:53,1.1858,5
EDH9,19:06:53,1.0946,38
EDH9,19:06:53,1.1744,107
EDH9,19:06:54,1.1629,1
EDH9,19:06:55,1.1631,1
EDH9,19:07:00,1.1403,1
EDH9,19:07:01,1.0946,7
EDH9,19:07:01,1.0946,2
EDH9,19:07:01,1.0832,3
EDH9,19:07:01,1.1288,7
EDH9,19:07:01,1.1288,21
EDH9,19:07:01,1.1516,3
EDH9,19:07:06,1.1630,2
EDH9,19:07:06,1.1516,13
EDH9,19:07:06,1.0946,13
EDH9,19:07:06,1.1060,2
EDH9,19:07:08,1.1174,1
EDH9,19:07:08,1.0832,1
EDH9,19:07:11,1.1858,5
EDH9,19:07:13,1.0947,1
EDH9,19:07:14,1.0832,45
EDH9,19:07:14,1.1858,1
EDH9,19:07:17,1.0946,8
EDH9,19:07:17,1.1174,60
EDH9,19:07:17,1.0946,2
EDH9,19:07:17,1.1060,28
EDH9,19:07:17,1.1402,13
EDH9,19:07:19,1.0946,1
EDH9,19:07:20,1.1060,1
EDH9,19:07:21,1.1287,1
EDH9,19:07:21,1.1629,1
EDH9,19:07:21,1.1743,3
EDH9,19:07:24,1.1402,1
EDH9,19:07:27,1.1744,4
