SECID,TRADETIME,PRICE,QUANTITY
EDM9,19:26:37,1.1840,5
EDM9,19:54:29,1.1356,1
EDM9,20:07:49,1.1690,1
EDM9,20:51:16,1.1674,1
EDM9,20:56:15,1.1670,1
EDM9,20:56:15,1.1444,1
EDM9,21:19:08,1.2012,1
EDM9,21:40:22,1.1445,2
EDM9,21:54:16,1.1559,1
EDM9,22:12:35,1.2008,2
EDM9,23:39:59,1.0998,5
EDM9,23:41:20,1.1684,5
EDM9,11:17:52,1.1799,5
EDM9,11:20:21,1.2038,5
EDM9,11:21:42,1.1694,10
EDM9,12:02:25,1.1585,1
EDM9,12:23:59,1.1356,5
EDM9,14:27:30,1.2062,1
EDM9,14:33:41,1.1595,1
EDM9,15:35:20,1.1831,10
EDM9,15:36:17,1.1491,10
EDM9,15:36:43,1.1829,1
EDM9,15:36:43,1.1254,19
EDM9,16:33:41,1.0919,1
EDM9,17:01:41,1.0923,1
EDM9,17:02:30,1.1616,10
EDM9,17:03:14,1.1159,10
EDM9,17:34:58,1.1399,10
EDM9,17:35:41,1.0939,10
EDM9,17:46:13,1.1295,10
EDM9,17:46:44,1.1759,10
EDM9,17:49:53,1.1986,10
EDM9,17:50:30,1.1406,10
EDM9,18:22:57,1.1650,1
EDM9,18:26:11,1.2007,1
EDM9,18:27:36,1.1430,5
EDM9,18:43:16,1.1308,2
EDM9,20:04:49,1.1540,1
EDM9,20:06:28,1.1540,45
EDM9,20:06:51,1.1655,1
EDM9,20:07:12,1.1540,2
EDM9,20:07:12,1.1311,64
EDM9,20:07:41,1.1424,50
EDM9,20:07:41,1.1538,19
EDM9,20:10:11,1.1995,45
EDM9,10:00:00,1.1882,1
EDM9,10:00:15,1.1649,1
EDM9,10:05:25,1.0848,1
EDM9,10:49:39,1.1300,1
EDM9,10:49:39,1.0843,7
EDM9,10:52:13,1.1755,1
EDM9,12:59:56,1.1306,41
EDM9,14:10:07,1.0967,1
EDM9,14:19:35,1.1640,1
EDM9,14:19:36,1.0952,49
EDM9,14:19:36,1.0838,49
EDM9,14:24:20,1.1176,4
EDM9,14:30:06,1.0943,22
EDM9,14:31:12,1.0829,33
EDM9,14:32:03,1.1284,34
EDM9,14:32:49,1.0827,23
EDM9,18:21:31,1.1097,1
EDM9,19:21:04,1.1794,5
EDM9,19:21:04,1.1564,20
EDM9,19:51:20,1.2017,17
EDM9,19:51:41,1.1673,25
EDM9,19:51:58,1.1788,26
EDM9,19:52:28,1.1102,17
EDM9,20:10:19,1.2014,1
EDM9,20:18:45,1.1794,1
EDM9,20:32:10,1.1579,2
EDM9,20:42:36,1.1934,75
EDM9,20:53:32,1.0895,3
EDM9,20:53:32,1.1119,11
EDM9,21:05:59,1.1694,26
EDM9,21:12:25,1.1007,3
EDM9,21:14:33,1.1693,32
EDM9,21:14:54,1.1005,31
EDM9,21:15:11,1.1465,21
EDM9,21:15:48,1.1924,21
EDM9,10:03:24,1.1915,8
EDM9,12:05:50,1.1459,6
EDM9,13:41:46,1.0890,2
EDM9,16:36:07,1.2025,40
EDM9,16:36:07,1.1223,2
EDM9,16:36:07,1.1452,24
EDM9,16:36:07,1.1796,26
EDM9,16:36:07,1.1796,13
EDM9,16:36:07,1.0994,27
EDM9,16:41:19,1.1798,1
