SECID,TRADETIME,PRICE,QUANTITY
EuH9,19:05:00,77102.8200,1
EuH9,19:05:00,77840.1900,1
EuH9,19:05:00,73304.8400,2
EuH9,19:05:00,75547.0000,1
EuH9,19:05:00,77813.4100,1
EuH9,19:05:00,79324.3500,2
EuH9,19:05:02,77069.1600,3
EuH9,19:05:02,77825.7700,10
EuH9,19:05:02,74804.4000,53
EuH9,19:05:03,74801.4300,1
EuH9,19:05:03,75557.0000,1
EuH9,19:05:03,76304.4900,1
EuH9,19:05:04,73280.5900,1
EuH9,19:05:04,76302.4700,23
EuH9,19:05:04,75547.0000,50
EuH9,19:05:04,73279.6200,1
EuH9,19:05:06,74788.5600,3
EuH9,19:05:09,71765.8500,1
EuH9,19:05:18,74793.5100,3
EuH9,19:05:18,76304.4900,1
EuH9,19:05:19,77040.6000,1
EuH9,19:05:23,71769.6500,1
EuH9,19:05:23,75548.0000,1
EuH9,19:05:24,73273.8000,5
EuH9,19:05:27,77050.8000,10
EuH9,19:05:40,78557.4400,5
EuH9,19:05:40,72514.5600,4
EuH9,19:05:41,79308.6000,1
EuH9,19:05:43,74774.7000,5
EuH9,19:05:43,77045.7000,1
EuH9,19:05:52,75530.0000,5
EuH9,19:05:52,71751.6000,1
EuH9,19:05:52,78547.0400,3
EuH9,19:05:52,71748.7500,2
EuH9,19:05:54,76282.2700,5
EuH9,19:05:54,78550.1600,1
EuH9,19:05:54,79300.2000,1
EuH9,19:05:58,77794.8700,3
EuH9,19:05:58,76276.2100,3
EuH9,19:05:59,76280.2500,2
EuH9,19:05:59,71748.7500,4
EuH9,19:05:59,73260.2200,3
EuH9,19:05:59,78551.2000,2
EuH9,19:05:59,78554.3200,3
EuH9,19:05:59,73270.8900,3
EuH9,19:05:59,79314.9000,200
EuH9,19:05:59,77805.1700,9
EuH9,19:05:59,77806.2000,74
EuH9,19:05:59,77028.3600,1
EuH9,19:06:01,77779.4200,2
EuH9,19:06:01,71740.2000,1
EuH9,19:06:01,78537.6800,2
EuH9,19:06:01,77027.3400,2
EuH9,19:06:01,77790.7500,3
EuH9,19:06:01,75511.0000,1
EuH9,19:06:09,77028.3600,1
EuH9,19:06:10,74754.9000,1
EuH9,19:06:10,77775.3000,1
EuH9,19:06:10,79285.5000,1
EuH9,19:06:10,78530.4000,5
EuH9,19:06:10,77775.3000,8
EuH9,19:06:10,71734.5000,7
EuH9,19:06:11,77776.3300,2
EuH9,19:06:14,78530.4000,12
EuH9,19:06:25,77018.1600,1
EuH9,19:06:26,77768.0900,1
EuH9,19:06:26,72482.8800,15
EuH9,19:06:26,72480.0000,2
EuH9,19:06:26,72480.0000,1
EuH9,19:06:26,72481.9200,1
EuH9,19:06:27,73990.0000,1
EuH9,19:06:27,76241.8700,4
EuH9,19:06:27,75486.0000,3
EuH9,19:06:27,77750.5800,1
EuH9,19:06:27,77749.5500,1
EuH9,19:06:27,78503.3600,1
EuH9,19:06:27,76992.6600,4
EuH9,19:06:27,74726.1900,3
EuH9,19:06:27,72458.8800,3
EuH9,19:06:27,76230.7600,3
EuH9,19:06:27,77739.2500,1
EuH9,19:06:27,75475.0000,3
EuH9,19:06:27,74719.2600,3
EuH9,19:06:27,78505.4400,1
EuH9,19:06:27,78512.7200,1
EuH9,19:06:27,76994.7000,1
EuH9,19:06:27,76238.8400,1
EuH9,19:06:28,77004.9000,3
EuH9,19:06:28,78515.8400,2
EuH9,19:06:28,77761.9100,3
EuH9,19:06:28,75500.0000,3
EuH9,19:06:28,77765.0000,89
EuH9,19:06:28,72466.5600,2
EuH9,19:06:28,73221.4200,1
EuH9,19:06:28,76994.7000,2
EuH9,19:06:28,78505.4400,3
EuH9,19:06:28,73219.4800,1
EuH9,19:06:28,72463.6800,1
EuH9,19:06:28,74739.0600,1
EuH9,19:06:29,71716.4500,1
EuH9,19:06:29,72468.4800,1
EuH9,19:06:30,76248.9400,1
EuH9,19:06:30,72464.6400,2
EuH9,19:06:36,72466.5600,2
EuH9,19:06:42,72454.0800,9
EuH9,19:06:42,76982.4600,3
EuH9,19:06:42,73208.8100,1
EuH9,19:06:43,76988.5800,1
EuH9,19:06:47,73963.5400,2
EuH9,19:06:55,77739.2500,1
EuH9,19:06:55,77739.2500,2
EuH9,19:06:55,76229.7500,2
EuH9,19:07:00,72450.2400,2
EuH9,19:07:00,75468.0000,2
EuH9,19:07:00,76977.3600,3
EuH9,19:07:00,76222.6800,5
EuH9,19:07:00,71692.7000,3
EuH9,19:07:00,77729.9800,4
EuH9,19:07:00,75465.0000,1
EuH9,19:07:00,79238.2500,5
EuH9,19:07:00,77726.8900,3
EuH9,19:07:00,73952.7600,10
EuH9,19:07:00,79234.0500,1
EuH9,19:07:00,79236.1500,5
EuH9,19:07:00,71687.9500,2
EuH9,19:07:00,74723.2200,3
EuH9,19:07:00,76220.6600,3
EuH9,19:07:00,78481.5200,3
EuH9,19:07:00,78479.4400,3
EuH9,19:07:00,77724.8300,1
EuH9,19:07:01,73199.1100,2
EuH9,19:07:01,76215.6100,4
EuH9,19:07:01,76971.2400,3
EuH9,19:07:01,76216.6200,2
EuH9,19:07:01,76214.6000,2
EuH9,19:07:01,79235.1000,5
EuH9,19:07:01,72441.6000,3
EuH9,19:07:01,79233.0000,6
EuH9,19:07:01,76214.6000,3
EuH9,19:07:01,71684.1500,3
EuH9,19:07:01,78475.2800,7
EuH9,19:07:01,75459.0000,6
EuH9,19:07:01,79230.9000,3
EuH9,19:07:01,76211.5700,21
EuH9,19:07:01,78474.2400,4
EuH9,19:07:01,76218.6400,1
EuH9,19:07:01,72443.5200,1
EuH9,19:07:01,71686.0500,1
EuH9,19:07:01,76209.5500,1
EuH9,19:07:01,73943.9400,3
EuH9,19:07:01,73950.8000,4
EuH9,19:07:01,76221.6700,3
EuH9,19:07:01,73205.9000,1
EuH9,19:07:01,71687.9500,3
EuH9,19:07:01,73195.2300,1
EuH9,19:07:02,79231.9500,5
EuH9,19:07:03,73194.2600,3
EuH9,19:07:04,77723.8000,74
EuH9,19:07:07,78492.9600,4
EuH9,19:07:08,71697.4500,1
EuH9,19:07:08,74716.2900,4
EuH9,19:07:15,75454.0000,1
EuH9,19:07:16,71678.4500,1
EuH9,19:07:20,76972.2600,3
EuH9,19:07:24,77728.9500,1
EuH9,19:07:28,76214.6000,1
EuH9,19:07:36,75453.0000,2
EuH9,19:07:37,73186.5000,2
EuH9,19:07:37,71677.5000,6
EuH9,19:07:37,77713.5000,17
EuH9,19:07:37,73941.0000,1
EuH9,19:07:37,78468.0000,1
EuH9,19:07:37,75450.0000,10
EuH9,19:07:37,79222.5000,1
EuH9,19:07:37,73193.2900,1
EuH9,19:07:38,76953.9000,1
EuH9,19:07:38,76953.9000,2
EuH9,19:07:38,73936.1000,1
EuH9,19:07:38,76956.9600,1
EuH9,19:07:39,73933.1600,3
EuH9,19:07:39,76949.8200,1
EuH9,19:07:39,71668.0000,5
EuH9,19:07:39,77703.2000,6
EuH9,19:07:40,72424.3200,1
EuH9,19:07:44,72429.1200,1
EuH9,19:07:49,72432.9600,1
EuH9,19:08:11,75450.0000,1
EuH9,19:08:21,75459.0000,3
EuH9,19:08:21,73195.2300,2
EuH9,19:08:29,74696.4900,3
EuH9,19:08:29,77714.5300,15
EuH9,19:08:29,74695.5000,1
EuH9,19:08:29,72432.0000,1
EuH9,19:08:29,78468.0000,1
EuH9,19:08:29,73939.0400,2
EuH9,19:08:29,76956.9600,1
EuH9,19:08:33,73949.8200,3
EuH9,19:08:33,76968.1800,7
EuH9,19:08:52,77722.7700,6
EuH9,19:08:52,77723.8000,54
EuH9,19:08:52,76214.6000,6
EuH9,19:08:53,73953.7400,14
EuH9,19:08:53,71697.4500,4
EuH9,19:08:53,73962.5600,3
EuH9,19:08:53,73207.8400,4
EuH9,19:09:06,74704.4100,1
EuH9,19:09:06,75458.0000,3
EuH9,19:09:06,76966.1400,11
EuH9,19:09:06,74702.4300,4
EuH9,19:09:15,76970.2200,6
EuH9,19:09:15,73951.7800,2
EuH9,19:09:15,78479.4400,22
EuH9,19:09:51,73952.7600,1
EuH9,19:10:01,76222.6800,3
EuH9,19:10:01,76976.3400,2
EuH9,19:10:01,76221.6700,1
EuH9,19:10:01,73956.6800,1
EuH9,19:10:04,79246.6500,5
EuH9,19:10:04,78491.9200,1
EuH9,19:10:04,73208.8100,1
EuH9,19:10:06,73967.4600,11
EuH9,19:10:08,76241.8700,1
EuH9,19:10:12,77743.3700,1
EuH9,19:10:17,75466.0000,9
EuH9,19:10:18,73203.9600,3
EuH9,19:10:18,76223.6900,7
EuH9,19:10:18,75462.0000,2
EuH9,19:10:18,71688.9000,3
EuH9,19:10:20,77732.0400,2
EuH9,19:10:29,78477.3600,3
EuH9,19:10:31,71682.2500,5
EuH9,19:10:31,73945.9000,3
EuH9,19:10:31,74697.4800,3
EuH9,19:10:31,73186.5000,1
EuH9,19:10:31,74695.5000,1
EuH9,19:10:31,74691.5400,1
EuH9,19:10:55,76974.3000,2
EuH9,19:10:56,71689.8500,4
EuH9,19:10:56,72442.5600,4
EuH9,19:10:56,73950.8000,3
EuH9,19:10:56,72441.6000,10
EuH9,19:10:56,79231.9500,10
EuH9,19:10:56,75458.0000,15
EuH9,19:10:56,73194.2600,10
EuH9,19:10:56,74703.4200,2
EuH9,19:10:56,76212.5800,152
EuH9,19:10:56,79230.9000,5
EuH9,19:10:58,77720.7100,3
EuH9,19:10:58,78473.2000,1
EuH9,19:10:58,77717.6200,3
EuH9,19:10:58,74697.4800,1
EuH9,19:10:58,76965.1200,3
EuH9,19:10:58,72437.7600,1
EuH9,19:10:58,74703.4200,3
EuH9,19:11:09,79247.7000,3
EuH9,19:11:11,73970.4000,3
EuH9,19:11:18,77748.5200,1
EuH9,19:11:18,76238.8400,1
EuH9,19:11:23,79247.7000,1
EuH9,19:11:24,75475.0000,5
EuH9,19:11:24,79247.7000,3
EuH9,19:11:24,76982.4600,4
EuH9,19:11:24,73208.8100,2
EuH9,19:11:24,73216.5700,1
EuH9,19:11:28,73215.6000,1
EuH9,19:11:28,78501.2800,55
EuH9,19:11:28,76991.6400,63
EuH9,19:11:28,73972.3600,20
EuH9,19:11:28,74727.1800,10
EuH9,19:11:28,73972.3600,1
EuH9,19:11:32,72466.5600,4
EuH9,19:11:32,79264.5000,3
EuH9,19:11:32,76244.9000,4
EuH9,19:11:32,75492.0000,10
EuH9,19:11:32,79267.6500,3
EuH9,19:11:32,78512.7200,6
EuH9,19:11:40,75486.0000,1
EuH9,19:11:40,77759.8500,5
EuH9,19:11:40,74740.0500,5
EuH9,19:11:40,76249.9500,85
EuH9,19:11:44,79275.0000,15
EuH9,19:11:44,75500.0000,5
EuH9,19:11:47,77010.0000,1
EuH9,19:11:49,75500.0000,5
EuH9,19:12:02,77008.9800,1
EuH9,19:12:02,72480.0000,4
EuH9,19:12:02,73235.0000,5
EuH9,19:12:06,73990.0000,1
EuH9,19:12:06,76255.0000,1
EuH9,19:12:06,75500.0000,2
EuH9,19:12:06,73235.0000,1
EuH9,19:12:06,71725.0000,11
EuH9,19:12:07,74754.9000,10
EuH9,19:12:08,75510.0000,5
EuH9,19:12:10,73244.7000,9
EuH9,19:12:10,74755.8900,1
EuH9,19:12:10,74759.8500,3
EuH9,19:12:10,76270.1500,4
EuH9,19:12:15,79297.0500,2
EuH9,19:12:16,76277.2200,1
EuH9,19:12:16,78543.9200,4
EuH9,19:12:16,77789.7200,1
EuH9,19:12:16,74767.7700,1
EuH9,19:12:16,74014.5000,2
EuH9,19:12:22,73254.4000,1
EuH9,19:12:33,78541.8400,3
EuH9,19:12:33,77030.4000,2
EuH9,19:12:34,73255.3700,3
