SECID,TRADETIME,PRICE,QUANTITY
EuM9,19:05:00,77935.6400,2
EuM9,19:05:06,80909.8500,3
EuM9,19:05:54,76276.5300,1
EuM9,19:06:01,77807.3700,2
EuM9,19:06:27,76244.8500,1
EuM9,19:07:37,80823.7500,1
EuM9,19:11:18,77774.0400,1
EuM9,19:11:24,78545.1000,1
EuM9,19:32:21,76236.9300,1
EuM9,19:40:22,77746.7700,1
EuM9,19:52:19,73859.5200,1
EuM9,19:52:19,73857.6000,1
EuM9,19:52:21,78454.3200,2
EuM9,19:54:30,78432.9000,1
EuM9,19:59:00,73045.5000,1
EuM9,20:04:42,77648.8000,1
EuM9,20:05:27,73029.3500,1
EuM9,20:05:33,77635.6700,3
EuM9,20:05:35,79941.6800,14
EuM9,20:15:47,77623.5500,1
EuM9,20:15:53,80692.5000,1
EuM9,20:20:57,75303.2000,1
EuM9,20:40:50,79119.4500,1
EuM9,20:56:11,80640.0000,20
EuM9,20:56:12,74543.5300,1
EuM9,20:56:12,76042.8900,1
EuM9,20:57:04,75264.0000,1
EuM9,21:03:16,79080.3100,3
EuM9,21:03:30,78312.5400,1
EuM9,21:03:30,77544.7700,1
EuM9,21:03:37,79078.2500,1
EuM9,21:13:13,79872.0000,20
EuM9,21:18:22,76012.2000,10
EuM9,21:33:53,80615.8500,2
EuM9,21:35:16,75238.5200,1
EuM9,22:10:50,75264.0000,1
EuM9,22:12:33,76008.2400,1
EuM9,10:00:30,79916.7200,1
EuM9,10:00:50,76849.0000,1
EuM9,10:01:02,73810.5600,1
EuM9,10:01:10,75355.1400,1
EuM9,10:01:10,78430.8600,1
EuM9,10:01:11,77661.9300,1
EuM9,10:02:19,79037.0500,1
EuM9,10:06:51,78331.9200,1
EuM9,10:33:36,80783.8500,1
EuM9,10:34:58,78462.4800,1
EuM9,10:35:27,74634.7100,1
EuM9,10:37:16,73865.2800,1
EuM9,10:37:59,80041.5200,1
EuM9,10:38:46,75449.2200,1
EuM9,10:38:48,74680.3000,1
EuM9,10:38:48,79302.7900,3
EuM9,10:40:00,78555.3000,1
EuM9,10:42:21,78581.8200,1
EuM9,10:42:39,75525.6600,1
EuM9,10:42:51,73212.7000,1
EuM9,10:42:54,76296.3300,1
EuM9,10:45:25,80152.8000,3
EuM9,10:47:48,79379.0100,1
EuM9,10:48:31,79389.3100,1
EuM9,10:48:52,77087.0000,1
EuM9,10:51:11,74009.2800,1
EuM9,10:51:11,77863.9300,1
EuM9,10:53:03,74770.5100,1
EuM9,11:04:00,79389.3100,1
EuM9,11:07:19,74751.1100,1
EuM9,11:11:22,73232.6500,1
EuM9,11:11:27,79409.9100,1
EuM9,11:11:29,78642.0000,1
