SECID,TRADETIME,PRICE,QUANTITY
FSH9,19:40:01,17165.2000,1
FSH9,19:49:45,17007.3600,1
FSH9,22:51:14,16905.3900,2
FSH9,22:51:14,16412.0000,1
FSH9,10:00:01,16509.0000,5
FSH9,10:00:01,15683.5500,5
FSH9,10:00:04,16837.1400,2
FSH9,10:00:55,17335.5000,1
FSH9,10:00:55,16845.3000,1
FSH9,10:01:08,16363.7100,1
FSH9,10:01:20,15867.8400,1
FSH9,10:01:21,16050.5900,2
FSH9,10:01:28,16554.0000,1
FSH9,10:01:31,16071.9300,2
FSH9,10:01:31,16243.5000,1
FSH9,10:01:31,15911.0400,4
FSH9,10:01:31,15745.3000,1
FSH9,10:01:46,15912.0000,1
FSH9,10:01:46,17238.0000,3
FSH9,10:01:57,16909.5600,9
FSH9,10:01:57,16080.6600,5
FSH9,10:01:57,15914.8800,5
FSH9,10:02:07,15749.1000,12
FSH9,10:02:07,15914.8800,15
FSH9,10:02:07,15914.8800,2
FSH9,10:02:07,16578.0000,2
FSH9,10:02:08,15749.1000,15
FSH9,10:02:08,16414.2000,1
FSH9,10:02:08,15923.5200,1
FSH9,10:02:18,16591.0000,5
FSH9,10:02:18,17254.6400,5
FSH9,10:02:27,17264.0000,1
FSH9,10:02:27,17103.1500,1
FSH9,10:02:28,15783.3000,2
FSH9,10:02:33,16609.0000,1
FSH9,10:02:33,16436.9700,2
FSH9,10:02:33,16268.9800,1
FSH9,10:02:40,16462.7100,1
FSH9,10:02:40,16795.2900,2
FSH9,10:02:42,16131.1000,1
FSH9,10:02:43,17126.8400,1
FSH9,10:02:43,16460.7300,5
FSH9,10:02:43,16286.6200,3
FSH9,10:02:43,15954.2400,2
FSH9,10:09:46,16297.4000,5
FSH9,10:10:00,16813.4700,4
FSH9,10:10:00,16979.9400,6
FSH9,10:10:00,15817.5000,1
FSH9,10:10:00,17316.0000,2
FSH9,10:10:00,16983.0000,3
FSH9,10:10:00,15984.0000,2
FSH9,10:10:00,16150.5000,2
FSH9,10:10:00,17149.5000,2
FSH9,10:10:00,17149.5000,2
FSH9,10:10:00,17316.0000,2
FSH9,10:10:00,16483.5000,2
FSH9,10:10:00,15817.5000,5
FSH9,10:10:10,17458.3500,3
FSH9,10:10:56,16983.0000,3
FSH9,10:10:56,15817.5000,2
FSH9,10:11:00,17314.9600,5
FSH9,10:11:00,15983.0400,4
FSH9,10:11:27,16978.9200,2
FSH9,10:11:27,17312.8800,2
FSH9,10:11:27,16647.0000,2
FSH9,10:11:27,16813.4700,3
FSH9,10:11:27,16813.4700,5
FSH9,10:11:27,17146.4100,3
FSH9,10:11:34,16150.5000,3
FSH9,10:11:34,15817.5000,9
FSH9,10:11:34,17316.0000,10
FSH9,10:11:34,15984.0000,1
FSH9,10:11:34,16488.4500,5
