SECID,TRADETIME,PRICE,QUANTITY
GDH9,19:05:07,1262.8280,1
GDH9,19:05:10,1275.8130,1
GDH9,19:05:11,1275.9120,1
GDH9,19:05:14,1224.0750,2
GDH9,19:05:18,1275.8130,1
GDH9,19:05:23,1301.2840,10
GDH9,19:05:23,1288.4000,2
GDH9,19:05:23,1249.7480,1
GDH9,19:05:23,1339.9360,6
GDH9,19:05:23,1275.5160,2
GDH9,19:05:23,1223.9800,1
GDH9,19:05:23,1275.5160,10
GDH9,19:05:41,1275.4170,10
GDH9,19:05:41,1249.6510,5
GDH9,19:05:45,1223.8850,1
GDH9,19:05:45,1262.5340,1
GDH9,19:05:49,1301.1830,1
GDH9,19:05:49,1326.9490,1
GDH9,19:05:49,1288.3000,2
GDH9,19:05:50,1326.9490,2
GDH9,19:05:50,1223.8850,1
GDH9,19:06:39,1339.8320,1
GDH9,19:06:45,1275.4170,2
GDH9,19:06:45,1339.8320,1
GDH9,19:06:45,1236.7680,7
GDH9,19:07:40,1327.3610,1
GDH9,19:07:40,1224.2650,1
GDH9,19:07:40,1288.7000,2
GDH9,19:07:40,1224.2650,2
GDH9,19:07:40,1262.8280,1
GDH9,19:07:58,1353.1350,2
GDH9,19:07:58,1314.4740,2
GDH9,19:09:37,1275.5160,2
GDH9,19:09:37,1327.0520,3
GDH9,19:09:41,1314.1680,1
GDH9,19:10:36,1300.9810,1
GDH9,19:10:36,1262.3380,3
GDH9,19:10:36,1300.9810,2
GDH9,19:10:36,1288.2000,1
GDH9,19:10:36,1275.3180,2
GDH9,19:10:36,1288.2000,1
GDH9,19:11:41,1288.4000,1
GDH9,19:12:50,1237.1520,4
GDH9,19:12:50,1353.1350,5
GDH9,19:12:51,1262.9260,1
GDH9,19:13:36,1237.3440,1
GDH9,19:13:37,1327.6700,1
GDH9,19:14:02,1289.0000,1
GDH9,19:14:02,1314.7800,4
GDH9,19:14:02,1276.1100,6
GDH9,19:14:02,1224.5500,9
GDH9,19:14:02,1314.7800,1
GDH9,19:14:02,1263.2200,7
GDH9,19:14:19,1327.5670,1
GDH9,19:14:56,1288.8000,1
GDH9,19:16:27,1340.3520,1
GDH9,19:16:27,1224.3600,1
GDH9,19:17:14,1301.6880,1
GDH9,19:17:14,1263.0240,1
GDH9,19:17:14,1301.6880,1
GDH9,19:17:50,1340.0400,1
GDH9,19:17:50,1352.9250,2
GDH9,19:17:50,1301.3850,3
GDH9,19:17:52,1314.2700,7
GDH9,19:17:52,1352.9250,2
GDH9,19:18:51,1288.5000,2
GDH9,19:18:59,1224.0750,1
GDH9,19:19:25,1340.3520,1
GDH9,19:19:25,1288.9000,1
GDH9,19:20:21,1340.4560,1
GDH9,19:20:22,1327.4640,1
GDH9,19:20:47,1353.2400,2
GDH9,19:21:26,1237.3440,1
GDH9,19:22:28,1327.7730,1
GDH9,19:22:29,1237.6320,1
GDH9,19:22:34,1314.8820,5
GDH9,19:22:35,1327.8760,1
GDH9,19:23:00,1276.2090,1
GDH9,19:23:00,1237.5360,1
GDH9,19:23:00,1237.4400,1
GDH9,19:23:08,1301.9910,4
GDH9,19:23:08,1237.5360,1
GDH9,19:23:08,1289.1000,2
GDH9,19:23:08,1301.9910,2
GDH9,19:23:16,1301.9910,9
GDH9,19:23:16,1237.5360,12
GDH9,19:24:02,1237.4400,1
GDH9,19:24:02,1237.4400,5
GDH9,19:24:02,1340.5600,2
GDH9,19:24:02,1250.3300,20
GDH9,19:24:02,1340.5600,4
GDH9,19:24:02,1276.1100,4
GDH9,19:24:02,1263.2200,1
GDH9,19:24:02,1340.5600,1
GDH9,19:24:02,1263.2200,2
GDH9,19:24:40,1276.2090,2
GDH9,19:24:40,1353.5550,20
GDH9,19:24:40,1276.2090,1
GDH9,19:24:40,1224.6450,4
GDH9,19:24:40,1289.1000,2
GDH9,19:24:40,1237.5360,3
GDH9,19:24:40,1314.8820,1
GDH9,19:24:40,1340.6640,1
GDH9,19:24:40,1237.5360,2
GDH9,19:24:42,1237.6320,1
GDH9,19:24:42,1276.3080,1
GDH9,19:25:05,1276.4070,1
GDH9,19:25:06,1263.6120,4
GDH9,19:25:06,1237.8240,1
GDH9,19:26:54,1340.8720,1
GDH9,19:26:54,1302.1930,1
GDH9,19:27:10,1250.6210,5
GDH9,19:27:10,1237.7280,3
GDH9,19:27:36,1263.7100,1
GDH9,19:27:36,1276.6050,1
GDH9,19:27:37,1340.9760,1
GDH9,19:27:37,1238.0160,1
GDH9,19:27:37,1250.9120,1
GDH9,19:28:23,1263.6120,1
GDH9,19:28:40,1340.8720,1
GDH9,19:28:40,1250.6210,5
GDH9,19:28:40,1327.9790,8
GDH9,19:28:54,1224.8350,10
GDH9,19:28:54,1289.3000,1
GDH9,19:28:54,1289.3000,1
GDH9,19:28:54,1237.7280,2
GDH9,19:28:54,1302.2940,1
GDH9,19:28:54,1263.6120,6
GDH9,19:28:54,1263.6120,1
GDH9,19:28:54,1250.7180,2
GDH9,19:28:54,1328.0820,1
GDH9,19:28:54,1250.7180,20
GDH9,19:28:54,1250.7180,10
GDH9,19:28:54,1328.0820,1
GDH9,19:28:54,1328.0820,44
GDH9,19:29:10,1224.6450,1
GDH9,19:29:10,1340.6640,2
GDH9,19:29:10,1327.7730,2
GDH9,19:29:10,1353.5550,2
GDH9,19:29:10,1237.5360,1
GDH9,19:29:17,1250.3300,1
GDH9,19:29:17,1289.0000,1
GDH9,19:29:17,1224.5500,1
GDH9,19:29:17,1353.4500,2
GDH9,19:29:17,1224.5500,1
GDH9,19:29:17,1237.4400,1
GDH9,19:29:23,1340.5600,1
GDH9,19:29:23,1327.6700,1
GDH9,19:29:23,1340.5600,2
GDH9,19:30:03,1314.9840,1
GDH9,19:30:55,1315.0860,1
GDH9,19:32:51,1340.8720,1
GDH9,19:33:25,1276.6050,1
GDH9,19:33:25,1225.0250,2
GDH9,19:33:25,1225.0250,2
GDH9,19:33:25,1225.0250,2
GDH9,19:33:25,1315.2900,2
GDH9,19:34:57,1353.6600,1
GDH9,19:34:57,1263.4160,1
GDH9,19:35:11,1289.3000,2
GDH9,19:36:00,1353.7650,25
GDH9,19:36:00,1327.9790,15
GDH9,19:36:08,1353.7650,1
GDH9,19:36:08,1340.9760,1
GDH9,19:36:08,1353.8700,1
