SECID,TRADETIME,PRICE,QUANTITY
GDM9,20:30:10,1360.8000,1
GDM9,20:56:15,1334.8800,1
GDM9,21:01:18,1361.6400,1
GDM9,10:00:59,1286.4060,1
GDM9,10:03:15,1285.6140,2
GDM9,10:36:07,1248.0000,1
GDM9,14:27:12,1287.0000,1
GDM9,14:27:31,1287.0000,1
GDM9,14:27:31,1287.0000,3
GDM9,14:44:06,1248.0000,4
GDM9,14:44:06,1235.0000,1
GDM9,14:44:06,1274.0000,1
GDM9,14:48:28,1274.0000,1
GDM9,15:02:00,1274.0000,13
GDM9,16:34:54,1355.2240,1
GDM9,16:37:56,1290.4650,14
GDM9,16:38:07,1355.8480,5
GDM9,16:38:08,1342.8110,5
GDM9,17:39:54,1320.4740,1
GDM9,17:42:34,1308.9000,1
GDM9,17:42:34,1283.1140,5
GDM9,17:46:39,1362.8160,1
GDM9,18:01:53,1296.5040,1
GDM9,18:02:37,1296.8010,2
GDM9,18:06:48,1324.0090,20
GDM9,18:17:47,1245.5450,1
GDM9,18:19:01,1377.9150,1
GDM9,18:19:01,1377.9150,8
GDM9,18:19:01,1312.3000,5
GDM9,18:19:01,1299.1770,7
GDM9,18:19:01,1313.1000,1
GDM9,18:19:24,1378.2300,1
GDM9,18:24:33,1340.5860,2
GDM9,19:02:17,1284.5760,2
GDM9,21:41:05,1283.7120,1
GDM9,22:10:07,1286.6880,1
GDM9,22:18:06,1353.7030,1
GDM9,10:00:03,1381.2300,3
GDM9,10:05:43,1363.9440,1
GDM9,11:03:28,1364.9640,1
GDM9,11:03:28,1324.8180,3
GDM9,11:24:18,1352.3900,1
GDM9,11:24:56,1285.4400,1
GDM9,11:25:09,1285.4400,48
GDM9,11:26:53,1392.8720,1
GDM9,11:26:53,1285.7280,9
GDM9,11:29:54,1287.3600,1
GDM9,11:35:25,1273.9500,1
GDM9,11:40:48,1393.8080,1
GDM9,11:44:06,1326.6000,1
GDM9,11:44:10,1407.0000,1
GDM9,12:00:05,1381.2300,1
GDM9,12:00:06,1287.3600,8
GDM9,12:00:06,1300.7700,10
GDM9,12:03:46,1381.6420,1
GDM9,12:03:46,1327.9860,1
GDM9,12:04:46,1314.5720,1
GDM9,12:05:13,1354.8140,1
GDM9,12:08:44,1354.9150,1
GDM9,12:08:45,1274.4250,1
GDM9,12:08:47,1314.6700,1
GDM9,12:08:47,1354.9150,1
GDM9,12:11:37,1301.2550,20
GDM9,12:16:11,1315.0620,1
GDM9,12:16:52,1395.5760,1
GDM9,12:16:59,1301.6430,13
GDM9,12:24:27,1408.8900,1
GDM9,12:50:27,1327.9860,1
GDM9,13:35:00,1274.9000,1
GDM9,13:35:13,1315.1600,1
GDM9,13:37:58,1381.6420,1
GDM9,13:38:11,1368.0240,3
GDM9,13:38:22,1314.3760,2
GDM9,13:38:31,1300.9640,2
GDM9,14:06:13,1328.5800,13
GDM9,15:34:42,1355.3190,1
GDM9,15:58:03,1397.1360,1
GDM9,16:00:10,1382.9810,30
GDM9,16:00:49,1315.5520,30
GDM9,16:10:41,1276.4200,1
GDM9,16:14:00,1384.3200,1
GDM9,16:15:08,1276.8000,1
GDM9,16:25:58,1398.1760,1
GDM9,16:25:58,1290.7200,9
GDM9,16:31:18,1344.5000,21
GDM9,16:33:46,1303.6800,1
GDM9,16:33:51,1290.2400,1
GDM9,16:33:53,1357.4400,1
GDM9,16:37:42,1344.0000,1
GDM9,16:41:08,1411.0950,4
GDM9,17:00:37,1412.2500,1
GDM9,17:00:43,1291.2000,1
GDM9,17:11:44,1318.1000,1
GDM9,17:16:04,1291.2000,1
GDM9,17:16:04,1277.7500,1
GDM9,17:16:04,1318.1000,2
GDM9,17:16:04,1358.4500,1
GDM9,17:23:10,1291.5840,1
GDM9,17:23:10,1399.2160,1
GDM9,17:23:15,1385.6590,1
GDM9,17:24:31,1399.4240,1
GDM9,17:32:56,1305.3290,12
GDM9,17:40:49,1399.8400,2
GDM9,17:44:23,1373.3280,1
GDM9,17:44:23,1319.4720,1
GDM9,17:44:23,1373.3280,1
GDM9,17:44:23,1359.8640,1
GDM9,17:44:23,1359.8640,1
GDM9,17:44:23,1373.3280,1
GDM9,17:44:45,1292.5440,1
GDM9,17:44:47,1373.3280,1
GDM9,17:45:21,1319.5700,20
GDM9,17:45:21,1306.0080,2
GDM9,17:52:51,1413.8250,1
GDM9,17:54:36,1413.8250,1
GDM9,17:56:43,1400.3600,5
GDM9,17:57:21,1386.8950,1
GDM9,17:57:53,1413.8250,12
GDM9,17:59:01,1346.7000,12
GDM9,17:59:13,1387.3070,1
GDM9,18:02:36,1401.8160,1
GDM9,18:02:36,1334.4210,1
GDM9,18:02:36,1348.0000,1
GDM9,18:02:36,1280.8850,2
GDM9,18:09:47,1294.0800,2
GDM9,18:09:47,1321.7260,2
GDM9,18:19:03,1320.8440,1
GDM9,18:19:31,1414.9800,1
GDM9,18:19:36,1294.0800,1
GDM9,18:19:40,1388.4400,1
GDM9,18:19:42,1401.9200,1
GDM9,18:21:50,1415.7150,1
GDM9,18:22:02,1375.1640,1
GDM9,18:26:14,1416.2400,4
GDM9,18:27:20,1403.1680,1
GDM9,18:34:20,1363.1970,1
GDM9,18:34:20,1363.2980,1
GDM9,18:34:20,1377.0000,1
GDM9,18:34:20,1350.3000,1
GDM9,18:34:20,1336.7970,17
GDM9,18:34:20,1362.1870,1
GDM9,18:35:48,1349.0000,100
GDM9,19:05:37,1362.1870,1
GDM9,19:11:25,1282.5000,1
