SECID,TRADETIME,PRICE,QUANTITY
GMH9,19:05:37,128333.6000,1
GMH9,19:05:37,135088.0000,1
GMH9,19:06:56,129671.0400,1
GMH9,19:07:32,139119.0100,1
GMH9,19:07:32,141820.3500,1
GMH9,19:08:35,129663.3600,2
GMH9,19:18:18,135957.1100,1
GMH9,19:18:18,134608.0000,1
GMH9,19:18:18,139992.3200,1
GMH9,19:18:18,137292.0000,1
GMH9,19:18:18,133238.1600,1
GMH9,19:38:48,132120.6600,1
GMH9,19:38:48,132111.8400,1
GMH9,19:38:48,141548.4000,1
GMH9,19:39:52,130667.7300,2
GMH9,19:50:59,141489.6000,1
GMH9,20:30:42,129312.9600,1
GMH9,20:39:00,138836.7900,1
GMH9,20:43:40,132041.2800,1
GMH9,22:37:54,140255.4400,1
GMH9,22:37:54,138906.8300,1
GMH9,23:19:49,128297.5000,1
GMH9,23:29:02,140224.2400,2
GMH9,23:29:34,133658.9100,2
GMH9,23:29:56,131003.3500,2
GMH9,23:30:16,136232.8400,2
GMH9,23:30:28,137583.7200,2
GMH9,23:30:34,133505.4600,2
GMH9,23:30:51,132360.7600,2
GMH9,23:30:53,128299.4000,2
GMH9,23:30:57,140449.9200,2
GMH9,23:31:12,133701.4800,2
GMH9,23:31:29,133548.0300,2
GMH9,23:31:33,134894.0000,2
GMH9,23:31:38,141642.9000,2
GMH9,23:31:40,134901.0000,2
GMH9,23:31:43,134901.0000,1
GMH9,23:31:59,132338.2200,2
GMH9,23:32:03,129648.0000,2
GMH9,23:32:12,141792.0000,2
GMH9,23:32:20,132315.6800,2
GMH9,23:32:33,137562.3000,2
GMH9,23:32:59,132173.5800,2
GMH9,23:33:14,141640.8000,2
GMH9,23:33:22,133566.8400,2
GMH9,23:33:31,132282.3600,2
GMH9,23:33:36,132298.0400,2
GMH9,23:33:46,136333.8400,1
GMH9,10:00:20,136535.8400,1
GMH9,10:00:21,137678.5800,1
GMH9,10:01:11,137922.3600,1
GMH9,10:01:11,139271.4500,1
GMH9,10:01:12,139268.3600,1
GMH9,10:01:14,135252.0000,1
GMH9,10:01:15,131197.3500,1
GMH9,10:01:15,128516.9500,1
GMH9,10:01:15,136633.8100,1
GMH9,10:01:15,131223.5400,2
GMH9,10:01:25,131260.4000,2
GMH9,10:01:25,142123.8000,1
GMH9,10:01:28,131213.8400,1
GMH9,10:01:28,142035.6000,1
GMH9,10:01:28,140682.8800,1
GMH9,10:01:36,139220.9800,1
GMH9,10:01:36,132462.6800,1
GMH9,10:01:46,142122.7500,1
GMH9,10:01:46,142122.7500,1
GMH9,10:02:04,140701.6000,1
GMH9,10:02:28,135300.0000,1
GMH9,10:02:28,132594.0000,2
GMH9,10:02:28,136653.0000,1
GMH9,10:02:34,136677.2400,4
GMH9,10:02:34,139369.3000,1
GMH9,10:02:34,132594.0000,2
GMH9,10:02:34,132594.0000,1
GMH9,10:02:36,133947.0000,2
GMH9,10:02:53,131241.0000,1
GMH9,10:02:54,138006.0000,1
GMH9,10:03:01,136653.0000,1
GMH9,10:03:01,131241.0000,1
GMH9,10:03:01,129888.0000,1
GMH9,10:03:22,140616.3200,1
GMH9,10:04:00,133945.0200,1
GMH9,10:04:00,138006.0000,1
GMH9,10:04:03,139306.4700,1
GMH9,10:04:15,134036.1000,1
GMH9,10:04:24,142013.5500,1
GMH9,10:04:37,129879.3600,1
GMH9,10:04:53,129777.6000,1
GMH9,10:04:55,128445.7000,1
GMH9,10:07:23,128440.0000,1
GMH9,10:08:40,133922.2500,1
GMH9,10:08:40,132610.6600,1
GMH9,10:08:40,128551.1500,1
GMH9,10:09:58,131249.7300,1
GMH9,10:10:06,132569.5000,1
GMH9,10:10:06,132568.5200,8
GMH9,10:10:06,128510.3000,2
GMH9,10:18:48,132483.2600,1
GMH9,10:20:03,131059.6100,1
GMH9,10:22:47,137955.0000,1
GMH9,10:22:50,133927.2000,1
GMH9,10:22:50,129868.8000,1
GMH9,10:23:16,133938.0900,1
GMH9,10:24:48,129815.0400,1
GMH9,10:26:02,141878.1000,1
GMH9,10:26:02,128367.8000,1
GMH9,10:29:03,139338.4000,1
GMH9,10:29:03,140691.2000,1
GMH9,10:29:03,132574.4000,8
GMH9,10:34:57,138060.0600,1
GMH9,10:34:57,142120.6500,1
GMH9,10:34:57,129945.6000,2
GMH9,10:34:57,128611.0000,8
GMH9,10:35:36,132660.6400,1
GMH9,10:35:36,132660.6400,1
GMH9,10:35:36,140782.7200,1
GMH9,10:35:48,131324.4200,1
GMH9,10:35:48,136743.9000,1
GMH9,10:35:48,131329.2700,1
GMH9,10:36:08,134046.0000,1
GMH9,10:36:08,142170.0000,1
GMH9,10:36:53,128680.3500,2
GMH9,10:36:53,136824.7000,5
GMH9,10:36:53,132789.0200,1
GMH9,10:39:20,142176.3000,1
GMH9,10:39:45,138157.9800,1
GMH9,10:39:48,134095.5000,1
GMH9,10:40:48,135472.0000,1
GMH9,10:40:48,140918.9600,1
GMH9,10:40:48,136855.0000,1
GMH9,10:40:48,140920.0000,1
GMH9,10:40:53,132715.5200,1
GMH9,10:40:53,130002.2400,1
GMH9,10:40:53,136773.1900,1
GMH9,10:40:53,138108.0000,1
GMH9,10:42:57,142215.1500,1
GMH9,10:42:57,136764.1000,2
GMH9,10:43:23,131339.9400,1
GMH9,10:43:39,134047.9800,1
GMH9,10:44:51,132693.9600,1
GMH9,10:47:35,142256.1000,1
GMH9,10:47:35,130062.7200,1
GMH9,10:47:35,128708.8500,2
GMH9,10:51:05,140883.6000,2
GMH9,10:51:35,136853.9900,1
GMH9,11:00:09,140916.8800,1
GMH9,11:00:09,142272.9000,1
GMH9,11:00:09,134145.0000,3
GMH9,11:00:29,135389.0000,1
GMH9,11:00:29,134034.1200,1
GMH9,11:00:29,134033.1300,1
GMH9,11:00:29,139446.5500,1
GMH9,11:00:29,139445.5200,2
GMH9,11:00:29,129961.9200,1
GMH9,11:00:29,135375.0000,2
GMH9,11:00:29,131308.9000,6
GMH9,11:00:29,129955.2000,2
GMH9,11:00:29,131326.3600,1
GMH9,11:00:29,142157.4000,1
GMH9,11:00:29,129936.9600,2
GMH9,11:00:29,142114.3500,2
GMH9,11:00:29,135320.0000,2
GMH9,11:00:30,137956.0200,1
GMH9,11:00:30,142012.5000,1
GMH9,11:00:30,139204.5000,1
GMH9,11:00:30,139204.5000,1
GMH9,11:00:31,139251.8800,1
GMH9,11:00:31,131140.1200,1
GMH9,11:00:46,140586.1600,1
GMH9,11:00:46,128420.0500,1
GMH9,11:00:46,131123.6300,1
GMH9,11:00:46,131102.2900,1
GMH9,11:01:03,133809.3900,1
GMH9,11:01:03,133808.4000,1
GMH9,11:01:03,132466.6000,1
GMH9,11:01:05,136502.5100,1
