SECID,TRADETIME,PRICE,QUANTITY
GMM9,13:39:44,133963.7900,5
GMM9,13:39:45,135298.8000,3
GMM9,13:40:21,139440.6000,1
GMM9,13:42:15,139481.0000,5
GMM9,13:43:47,132411.8400,5
GMM9,13:43:47,137880.0000,5
GMM9,13:46:13,140719.2000,3
GMM9,17:12:18,144041.1000,1
GMM9,19:23:15,135069.5900,4
GMM9,10:47:15,136501.2000,4
GMM9,11:00:07,135318.4000,1
GMM9,11:04:11,138140.0000,4
GMM9,13:00:36,136416.0000,1
GMM9,13:13:37,141400.0000,1
GMM9,13:13:37,135833.9500,1
GMM9,13:57:04,140500.0000,10
GMM9,14:08:01,139015.8000,20
GMM9,16:20:25,147630.0000,1
GMM9,16:47:49,139108.0000,1
GMM9,16:47:52,136344.4600,1
GMM9,16:47:56,137775.3300,1
GMM9,16:48:00,139167.0000,1
GMM9,16:48:04,133486.0800,1
