SECID,TRADETIME,PRICE,QUANTITY
GUH9,19:05:38,1.2815,1
GUH9,19:07:50,1.3469,1
GUH9,19:08:48,1.2423,4
GUH9,19:08:48,1.2947,400
GUH9,19:08:48,1.2424,96
GUH9,19:09:02,1.2948,3
GUH9,19:09:32,1.3340,2
GUH9,19:09:33,1.3209,1
GUH9,19:09:38,1.2555,1
GUH9,19:09:40,1.2423,1
GUH9,19:10:00,1.2422,1
GUH9,19:10:16,1.3075,1
GUH9,19:10:17,1.3728,1
GUH9,19:10:18,1.2812,1
GUH9,19:10:18,1.2418,1
GUH9,19:10:58,1.3204,2
GUH9,19:12:28,1.3726,2
GUH9,19:13:21,1.2940,1
GUH9,19:14:12,1.2944,1
GUH9,19:15:02,1.2678,1
GUH9,19:15:02,1.2938,1
GUH9,19:15:02,1.2415,1
GUH9,19:18:10,1.3592,1
GUH9,19:20:31,1.3332,1
GUH9,19:29:15,1.3073,2
GUH9,19:31:51,1.3071,1
GUH9,19:32:58,1.2684,1
GUH9,19:38:20,1.2549,1
GUH9,19:38:20,1.2810,1
GUH9,19:38:20,1.3593,1
GUH9,19:44:17,1.2551,1
GUH9,19:44:31,1.2421,1
GUH9,19:45:18,1.2422,2
GUH9,19:45:18,1.2422,1
GUH9,19:45:22,1.3208,1
GUH9,19:45:22,1.2947,1
GUH9,19:45:40,1.3602,1
GUH9,19:47:48,1.2683,1
GUH9,19:48:15,1.2682,1
GUH9,19:48:24,1.3073,1
GUH9,19:49:38,1.3342,1
GUH9,19:50:54,1.2814,1
GUH9,19:51:06,1.2551,1
GUH9,19:51:10,1.2681,1
GUH9,19:51:13,1.2941,1
GUH9,19:51:32,1.2679,1
GUH9,19:51:32,1.2416,1
GUH9,19:51:57,1.3200,1
GUH9,19:52:20,1.2807,1
GUH9,19:52:21,1.3328,1
GUH9,19:52:21,1.3589,1
GUH9,19:52:21,1.3065,1
GUH9,19:52:21,1.3587,1
GUH9,19:52:21,1.3717,1
GUH9,19:52:21,1.3586,1
GUH9,19:53:48,1.3588,2
GUH9,19:59:21,1.3715,1
GUH9,19:59:37,1.2930,1
GUH9,20:00:27,1.2673,2
GUH9,20:00:28,1.2413,2
GUH9,20:01:12,1.3062,2
GUH9,20:02:04,1.3586,1
GUH9,20:02:30,1.2409,1
GUH9,20:02:55,1.2799,1
GUH9,20:02:55,1.2538,2
GUH9,20:03:20,1.3320,1
GUH9,20:03:27,1.2405,1
GUH9,20:04:58,1.3325,1
GUH9,20:07:39,1.2801,400
GUH9,20:07:51,1.3062,100
GUH9,20:10:18,1.2673,1
GUH9,20:10:45,1.2932,5
GUH9,20:11:36,1.3197,1
GUH9,20:11:53,1.3590,1
GUH9,20:11:58,1.3068,1
GUH9,20:12:04,1.2677,1
GUH9,20:12:11,1.3070,1
GUH9,20:16:33,1.2672,100
GUH9,20:18:12,1.2668,100
GUH9,20:18:52,1.2538,1
GUH9,20:18:52,1.2407,99
GUH9,20:19:40,1.3451,1
GUH9,20:19:44,1.2666,1
GUH9,20:19:58,1.2404,1
GUH9,20:21:54,1.3448,1
GUH9,20:21:57,1.2663,1
GUH9,20:29:59,1.3055,1
GUH9,20:29:59,1.2402,1
GUH9,20:30:08,1.2532,1
GUH9,20:30:10,1.2661,1
GUH9,20:31:02,1.2663,2
GUH9,20:32:59,1.3323,2
GUH9,20:34:04,1.3586,1
GUH9,20:34:19,1.2803,1
GUH9,20:34:28,1.3065,1
GUH9,20:46:17,1.3582,1
GUH9,20:47:34,1.3716,1
GUH9,20:50:10,1.2802,1
GUH9,20:56:09,1.3579,1
GUH9,20:56:11,1.3578,1
GUH9,20:56:15,1.2402,1
GUH9,20:57:24,1.3576,1
GUH9,20:57:55,1.3184,1
GUH9,20:57:56,1.2399,5
GUH9,20:57:56,1.3052,1
GUH9,20:57:56,1.3183,1
GUH9,20:58:57,1.2659,1
GUH9,21:01:55,1.2397,1
GUH9,21:01:55,1.2397,1
GUH9,21:03:08,1.2658,1
GUH9,21:03:08,1.3049,1
GUH9,21:03:08,1.2919,1
GUH9,21:03:08,1.3571,1
GUH9,21:03:08,1.3179,1
GUH9,21:09:14,1.2403,1
GUH9,21:09:14,1.3057,1
GUH9,21:09:31,1.2796,1
GUH9,21:10:08,1.3445,8
GUH9,21:10:45,1.3711,1
GUH9,21:13:36,1.3320,1
GUH9,21:13:54,1.3452,1
GUH9,21:13:54,1.3191,1
GUH9,21:14:03,1.3061,1
GUH9,21:14:28,1.3061,1
GUH9,21:14:30,1.3062,1
GUH9,21:16:24,1.3586,1
GUH9,21:19:39,1.3195,1
GUH9,21:20:55,1.3065,1
