SECID,TRADETIME,PRICE,QUANTITY
GZH9,19:05:00,16102.3500,1
GZH9,19:05:00,16257.0000,1
GZH9,19:05:00,16257.0000,1
GZH9,19:05:00,15931.8600,5
GZH9,19:05:00,15769.2900,7
GZH9,19:05:00,15604.8000,1
GZH9,19:05:00,16090.4700,2
GZH9,19:05:00,16578.0600,8
GZH9,19:05:00,15606.7200,8
GZH9,19:05:00,16582.1400,10
GZH9,19:05:00,16256.0000,1
GZH9,19:05:00,16255.0000,1
GZH9,19:05:00,15769.2900,1
GZH9,19:05:00,17066.7000,3
GZH9,19:05:01,15766.3800,1
GZH9,19:05:01,17069.8500,2
GZH9,19:05:01,17069.8500,1
GZH9,19:05:01,16907.2800,2
GZH9,19:05:01,16419.5700,4
GZH9,19:05:01,16907.2800,7
GZH9,19:05:02,15442.2500,4
GZH9,19:05:02,15929.9000,11
GZH9,19:05:02,15441.3000,5
GZH9,19:05:02,15441.3000,1
GZH9,19:05:02,16740.5900,4
GZH9,19:05:02,17063.5500,15
GZH9,19:05:02,16576.0200,10
GZH9,19:05:02,16592.3400,1
GZH9,19:05:03,16429.6700,2
GZH9,19:05:03,15941.6600,1
GZH9,19:05:03,16752.9500,4
GZH9,19:05:03,16590.3000,4
GZH9,19:05:03,16910.4000,1
GZH9,19:05:03,16092.4500,1
GZH9,19:05:03,16580.1000,3
GZH9,19:05:03,15930.8800,7
GZH9,19:05:03,15931.8600,1
GZH9,19:05:04,16582.1400,15
GZH9,19:05:04,15765.4100,22
GZH9,19:05:04,16415.5300,28
GZH9,19:05:05,16584.1800,4
GZH9,19:05:05,16911.4400,4
GZH9,19:05:05,15773.1700,6
GZH9,19:05:05,16587.2400,20
GZH9,19:05:05,15449.8500,4
GZH9,19:05:05,15614.4000,4
GZH9,19:05:05,15451.7500,2
GZH9,19:05:05,15939.7000,20
GZH9,19:05:05,15611.5200,4
GZH9,19:05:05,15939.7000,40
GZH9,19:05:05,15614.4000,10
GZH9,19:05:05,16258.0000,2
GZH9,19:05:05,15770.2600,13
GZH9,19:05:05,17069.8500,4
GZH9,19:05:05,16741.6200,33
GZH9,19:05:11,16421.5900,3
GZH9,19:05:18,16747.8000,2
GZH9,19:05:18,15773.1700,4
GZH9,19:05:18,15774.1400,2
GZH9,19:05:18,15612.4800,4
GZH9,19:05:18,16264.0000,2
GZH9,19:05:18,15451.7500,4
GZH9,19:05:18,16103.3400,2
GZH9,19:05:18,15615.3600,10
GZH9,19:05:21,15938.7200,2
GZH9,19:05:23,15452.7000,5
GZH9,19:05:23,16756.0400,2
GZH9,19:05:23,15942.6400,1
GZH9,19:05:23,16270.0000,1
GZH9,19:05:24,15781.9000,9
GZH9,19:05:24,16759.1300,4
GZH9,19:05:24,16434.7200,1
GZH9,19:05:24,16435.7300,4
GZH9,19:05:24,16446.8400,2
GZH9,19:05:24,15469.8000,4
GZH9,19:05:24,16773.5500,20
GZH9,19:05:24,16611.7200,2
GZH9,19:05:24,16611.7200,4
GZH9,19:05:24,15961.2600,3
GZH9,19:05:24,15472.6500,2
GZH9,19:05:24,16449.8700,12
GZH9,19:05:24,16436.7400,2
GZH9,19:05:24,16922.8800,4
GZH9,19:05:24,17087.7000,2
GZH9,19:05:24,16924.9600,4
GZH9,19:05:24,17085.6000,4
GZH9,19:05:24,16597.4400,35
GZH9,19:05:26,17083.5000,1
GZH9,19:05:27,16108.2900,2
GZH9,19:05:27,16270.0000,3
GZH9,19:05:35,16273.0000,2
GZH9,19:05:35,17086.6500,1
GZH9,19:05:36,15624.9600,5
GZH9,19:05:36,16275.0000,2
GZH9,19:05:37,15955.3800,2
GZH9,19:05:37,16769.4300,53
GZH9,19:05:43,16285.0000,5
GZH9,19:05:48,16767.3700,1
GZH9,19:05:56,16603.5600,2
GZH9,19:05:56,16603.5600,1
GZH9,19:05:57,16118.1900,4
GZH9,19:05:57,15467.9000,5
GZH9,19:05:57,16121.1600,4
GZH9,19:05:57,15795.4800,7
GZH9,19:05:57,15794.5100,3
GZH9,19:06:04,16444.8200,2
GZH9,19:06:04,16933.2800,2
