SECID,TRADETIME,PRICE,QUANTITY
GZM9,19:27:19,16101.0300,1
GZM9,19:27:20,17098.0000,1
GZM9,10:00:01,17316.0000,1
GZM9,10:07:13,16312.1000,1
GZM9,11:51:12,17305.6000,3
GZM9,12:13:14,16253.3000,1
GZM9,12:23:20,17462.5500,2
GZM9,12:30:45,17427.9000,1
GZM9,12:57:37,16571.0000,1
GZM9,14:10:06,17316.0000,1
GZM9,14:54:16,16132.0700,1
GZM9,15:05:06,17266.0800,5
GZM9,15:09:53,16103.9400,1
GZM9,15:10:26,17100.0600,1
GZM9,15:10:45,17432.1000,1
GZM9,16:05:35,17455.2000,10
GZM9,16:05:41,17480.4000,10
GZM9,16:09:06,16801.3500,10
GZM9,16:10:20,17120.6600,20
GZM9,16:16:08,17490.9000,10
GZM9,16:16:16,17522.4000,2
GZM9,16:16:16,16187.3600,1
GZM9,16:16:16,17021.7600,1
GZM9,16:21:29,16521.1200,1
GZM9,16:21:41,16354.2400,1
GZM9,16:21:41,16354.2400,2
GZM9,16:21:41,17355.5200,2
GZM9,17:22:51,16151.4700,1
GZM9,17:47:08,16187.3600,1
GZM9,17:54:51,16525.0800,10
GZM9,10:00:06,16921.8000,3
GZM9,10:15:07,16608.7500,1
GZM9,10:44:50,15584.0200,3
GZM9,10:44:50,16226.6600,2
GZM9,10:44:56,16547.9800,5
GZM9,12:05:55,15520.9700,1
GZM9,12:06:41,15520.0000,1
GZM9,12:06:41,15200.0000,1
GZM9,12:16:04,16115.5600,1
GZM9,12:16:04,16114.5500,1
GZM9,12:24:03,16123.6400,10
GZM9,12:25:17,16598.4000,1
GZM9,12:34:16,16577.6000,10
GZM9,12:34:24,15780.6000,10
GZM9,12:36:51,16251.6600,10
GZM9,12:43:34,15900.0000,1
GZM9,12:46:45,15910.0000,2
GZM9,12:47:17,16546.4000,9
GZM9,13:13:17,16700.2500,1
GZM9,13:32:22,15919.0000,10
GZM9,13:35:32,16555.7600,10
GZM9,13:35:32,15919.0000,10
GZM9,14:15:38,15606.5000,1
GZM9,14:47:23,16069.1000,1
GZM9,15:09:28,15678.6300,4
GZM9,15:14:54,15079.3500,1
GZM9,15:33:31,15067.0000,1
GZM9,15:58:06,16163.9400,10
GZM9,15:58:06,15371.5900,10
GZM9,16:11:49,16170.0600,1
GZM9,16:16:01,15355.1000,6
GZM9,16:22:31,15820.0000,1
GZM9,16:32:29,16118.0400,8
GZM9,16:32:29,15327.9400,2
GZM9,16:36:13,15656.8500,1
GZM9,16:47:09,16593.1500,1
GZM9,16:47:10,15010.0000,1
GZM9,16:47:10,16116.0000,1
GZM9,16:53:19,16430.9600,1
GZM9,16:54:12,15641.0100,7
GZM9,17:05:48,15484.0000,1
GZM9,17:27:16,16146.6000,2
GZM9,17:32:17,16133.3400,9
GZM9,17:54:52,16304.9000,1
GZM9,18:01:05,15971.1300,1
GZM9,18:01:11,15812.0000,1
GZM9,18:15:16,15185.2800,10
GZM9,18:19:41,15067.0000,4
GZM9,18:19:41,15703.3800,1
GZM9,18:25:58,15531.0400,1
GZM9,18:28:42,15203.5200,1
GZM9,18:28:42,16303.8700,1
GZM9,19:19:30,15028.0500,1
GZM9,19:20:30,15336.6700,1
GZM9,19:20:52,15336.6700,2
GZM9,19:44:08,16596.3000,1
GZM9,19:44:16,15806.0000,1
GZM9,19:44:16,15174.7200,1
GZM9,19:44:16,16619.4000,1
GZM9,21:37:04,16299.7500,1
GZM9,21:37:04,16616.2500,2
GZM9,10:00:02,15578.0800,8
GZM9,10:00:12,16372.8800,4
GZM9,10:00:17,16381.1200,2
GZM9,10:09:16,15577.1000,1
GZM9,10:09:17,16212.9000,1
GZM9,10:18:49,16199.6400,3
GZM9,10:18:50,15563.3800,1
GZM9,10:19:53,15881.0000,1
GZM9,10:19:53,15723.1800,1
GZM9,10:19:53,15564.3600,2
GZM9,10:19:55,15245.7600,1
GZM9,10:20:00,16357.4300,1
GZM9,10:20:02,15086.9500,1
GZM9,10:20:04,16675.0500,1
GZM9,10:20:04,15087.9000,3
GZM9,10:20:15,16038.8000,1
GZM9,10:20:16,15562.4000,1
GZM9,10:30:56,15418.1500,1
GZM9,10:30:56,16690.8000,15
GZM9,11:20:31,16531.8400,1
GZM9,11:20:31,16531.8400,1
GZM9,11:20:31,16213.9200,8
GZM9,11:37:34,15543.7800,1
GZM9,11:37:34,15385.1700,4
GZM9,11:37:38,15863.0000,5
GZM9,11:37:49,15228.4800,5
GZM9,11:38:16,16667.7000,5
GZM9,12:00:31,16508.9600,1
GZM9,12:35:33,16458.0000,1
GZM9,12:36:48,16602.6000,2
GZM9,12:36:48,15337.6400,1
GZM9,12:36:48,15495.7600,1
GZM9,12:36:52,16592.1000,1
GZM9,12:39:44,16411.2000,4
GZM9,12:39:45,15131.5200,1
GZM9,12:39:45,16549.0500,5
GZM9,12:39:45,16233.8300,5
GZM9,12:39:45,15108.4800,29
GZM9,12:39:45,14924.5000,2
GZM9,12:39:45,16181.3000,12
GZM9,12:39:45,15081.6000,10
GZM9,12:40:30,16560.6000,1
GZM9,13:13:24,15019.5000,1
GZM9,13:15:01,16136.4000,1
GZM9,13:51:57,15969.1100,2
GZM9,14:34:50,15984.2600,1
GZM9,15:19:33,15892.0000,1
GZM9,16:00:00,16201.6800,1
GZM9,16:27:55,15968.1000,1
GZM9,16:28:11,16442.4000,1
GZM9,16:53:54,15489.8800,1
GZM9,17:00:02,16433.0400,1
