SECID,TRADETIME,PRICE,QUANTITY
GZU9,10:15:07,16400.6900,1
GZU9,10:15:07,16082.2300,1
GZU9,10:18:31,16488.1500,5
GZU9,12:34:46,15532.0200,1
GZU9,12:34:54,16642.5000,10
GZU9,12:35:48,16007.4900,5
GZU9,12:36:11,15690.5100,4
GZU9,15:50:40,14701.2500,1
GZU9,16:44:04,16016.5000,1
GZU9,16:47:13,15925.8600,2
GZU9,16:52:51,14832.0000,2
GZU9,18:12:34,15237.0400,1
GZU9,18:43:05,16014.4400,1
GZU9,19:27:18,15127.1500,1
GZU9,19:40:55,15111.3600,1
GZU9,13:10:16,15745.9000,1
GZU9,13:52:02,15316.2900,2
GZU9,16:29:13,15793.6800,1
