SECID,TRADETIME,PRICE,QUANTITY
HYH9,19:06:44,5384.4000,4
HYH9,19:06:44,5383.3500,1
HYH9,19:06:44,5071.7700,3
HYH9,19:06:44,5017.6000,1
HYH9,19:06:44,4861.1500,5
HYH9,19:07:02,5377.0500,4
HYH9,19:07:02,5121.0000,10
HYH9,19:07:02,4915.2000,5
HYH9,19:07:02,5270.5100,5
HYH9,19:07:02,5369.7000,4
HYH9,19:07:02,5114.0000,25
HYH9,19:08:11,5069.7900,19
HYH9,19:08:30,5274.6300,19
HYH9,19:10:46,5281.8400,5
HYH9,19:11:11,5384.4000,1
HYH9,19:12:54,4916.1600,1
HYH9,19:14:15,5278.7500,5
HYH9,19:14:15,5022.5000,1
HYH9,19:14:15,5125.0000,2
HYH9,19:14:15,5177.2600,4
HYH9,19:14:15,5382.3000,4
HYH9,19:14:15,4973.1900,10
HYH9,19:14:15,5127.0000,3
HYH9,19:19:09,5279.7800,5
HYH9,19:19:29,5127.0000,5
HYH9,19:44:19,5076.7200,1
HYH9,19:49:45,5029.3600,2
HYH9,19:50:55,5080.6800,1
HYH9,19:51:08,5285.9600,1
HYH9,19:51:17,5184.3300,1
HYH9,19:52:31,5081.6700,10
HYH9,19:52:31,5080.6800,1
HYH9,20:31:28,5391.7500,1
HYH9,20:35:24,5135.0000,1
HYH9,20:56:01,4869.7000,1
HYH9,21:09:34,5135.0000,1
HYH9,21:14:24,4878.2500,4
HYH9,21:14:24,5083.6500,3
HYH9,21:34:40,5231.5800,3
HYH9,21:36:07,5231.5800,4
HYH9,21:43:02,4974.1600,7
HYH9,21:50:08,5135.0000,5
HYH9,22:18:19,5032.3000,2
HYH9,22:26:30,4875.4000,3
HYH9,22:29:59,5285.9600,6
HYH9,22:34:37,4876.3500,1
HYH9,22:34:37,4932.4800,4
HYH9,22:51:06,4924.8000,10
HYH9,23:36:37,4882.0500,1
HYH9,23:48:38,5289.0500,1
HYH9,23:48:39,4933.4400,1
HYH9,10:00:02,4885.8500,83
HYH9,10:00:05,5297.2900,2
HYH9,10:00:05,5091.5700,11
HYH9,10:00:05,4937.2800,2
HYH9,10:00:12,5194.4300,10
HYH9,10:00:13,5400.1500,5
HYH9,10:00:13,5297.2900,5
HYH9,10:00:13,4885.8500,5
HYH9,10:00:13,5297.2900,1
HYH9,10:00:15,5143.0000,1
HYH9,10:00:15,5040.1400,2
HYH9,10:00:15,4988.7100,2
HYH9,10:00:15,4937.2800,2
HYH9,10:00:15,5148.0000,5
HYH9,10:00:55,5250.9600,1
HYH9,10:00:55,5406.4500,2
HYH9,10:01:17,4896.3000,1
HYH9,10:01:17,5207.5600,2
HYH9,10:01:18,5158.0000,3
HYH9,10:01:22,4899.1500,1
HYH9,10:02:18,4900.1000,12
HYH9,10:02:43,5052.8800,1
HYH9,10:02:43,5415.9000,6
HYH9,10:02:50,5416.9500,3
HYH9,10:02:50,5107.4100,12
HYH9,10:03:03,4952.6400,9
HYH9,10:03:19,4950.7200,1
HYH9,10:03:40,5104.4400,1
HYH9,10:03:46,5361.2000,1
HYH9,10:03:46,5155.0000,5
HYH9,10:03:46,5155.0000,14
HYH9,10:03:46,4999.3800,2
HYH9,10:04:36,5309.6500,7
HYH9,10:04:36,5051.9000,2
HYH9,10:04:36,4948.8000,4
HYH9,10:04:36,5051.9000,1
HYH9,10:04:36,5309.6500,1
HYH9,10:04:36,5000.3500,2
HYH9,10:04:36,5412.7500,2
HYH9,10:04:37,5051.9000,5
HYH9,10:04:37,5155.0000,5
HYH9,10:04:37,4948.8000,5
HYH9,10:04:37,5206.5500,5
HYH9,10:04:48,5258.1000,1
HYH9,10:04:49,5155.0000,1
HYH9,10:04:54,5155.0000,1
HYH9,10:05:00,5001.3200,1
HYH9,10:05:00,5413.8000,27
HYH9,10:05:00,5310.6800,4
HYH9,10:05:00,5104.4400,9
HYH9,10:05:00,5413.8000,14
HYH9,10:05:08,5001.3200,1
HYH9,10:05:12,5361.2000,1
HYH9,10:05:29,5103.4500,1
HYH9,10:05:33,5309.6500,4
HYH9,10:05:59,5158.0000,2
HYH9,10:06:05,5312.7400,1
HYH9,10:06:08,5052.8800,2
HYH9,10:06:29,5362.2400,1
HYH9,10:06:32,5052.8800,1
HYH9,10:06:35,5208.5700,2
HYH9,10:06:40,5363.2800,3
HYH9,10:06:40,4899.1500,1
HYH9,10:10:58,5096.5200,1
HYH9,10:12:54,5255.0400,3
HYH9,10:12:54,4945.9200,5
HYH9,10:12:54,5255.0400,10
HYH9,10:13:15,5100.4800,7
HYH9,10:13:15,5203.5200,1
HYH9,10:13:15,5409.6000,2
HYH9,10:13:15,5100.4800,10
HYH9,10:13:15,4894.4000,12
HYH9,10:16:23,5413.8000,10
HYH9,10:18:09,5305.5300,10
HYH9,10:18:09,4996.4700,12
HYH9,10:18:09,5047.9800,6
HYH9,10:18:15,4890.6000,1
HYH9,10:20:11,5303.4700,2
HYH9,10:20:12,4888.7000,1
HYH9,10:23:17,5248.9200,5
HYH9,10:23:17,5403.3000,4
HYH9,10:23:17,4990.6500,1
HYH9,10:24:27,5305.5300,3
HYH9,10:24:27,5305.5300,1
HYH9,10:24:27,5202.5100,4
HYH9,10:24:27,5305.5300,4
HYH9,10:24:27,5357.0400,1
HYH9,10:24:27,5256.0600,3
HYH9,10:24:27,4946.8800,9
HYH9,10:24:27,4897.2500,2
HYH9,10:24:27,5055.8200,1
HYH9,10:24:27,5103.4500,3
HYH9,10:24:27,4902.9500,1
HYH9,10:24:28,5316.8600,1
HYH9,10:24:28,5058.7600,1
HYH9,10:24:55,5210.5900,2
HYH9,10:24:55,5364.3200,3
HYH9,10:24:55,4899.1500,5
HYH9,10:24:55,5413.8000,11
HYH9,10:24:55,5051.9000,9
HYH9,10:25:16,5362.2400,1
HYH9,10:25:25,5206.5500,1
HYH9,10:25:33,5053.8600,1
HYH9,10:26:27,5008.1100,1
HYH9,10:26:27,5214.6300,1
HYH9,10:26:27,5113.3500,4
HYH9,10:26:27,5216.6500,1
HYH9,10:26:27,5061.7000,1
HYH9,10:31:08,4958.4000,1
HYH9,10:31:18,5061.7000,5
HYH9,10:31:18,5371.6000,14
HYH9,10:31:18,4958.4000,3
HYH9,10:32:19,5319.9500,3
HYH9,10:32:23,5216.6500,2
HYH9,10:32:23,5319.9500,1
HYH9,10:32:24,5010.0500,3
HYH9,10:32:28,4958.4000,3
HYH9,10:32:30,5423.2500,3
HYH9,10:32:40,5216.6500,3
HYH9,10:32:44,5165.0000,3
HYH9,10:32:54,5270.3400,3
HYH9,10:32:57,5425.3500,3
HYH9,10:33:00,5425.3500,3
HYH9,10:33:02,5218.6700,3
HYH9,10:33:05,5218.6700,3
HYH9,10:33:07,5167.0000,3
HYH9,10:33:10,4908.6500,3
HYH9,10:33:12,5115.3300,2
HYH9,10:33:12,5167.0000,1
HYH9,10:33:15,4908.6500,3
HYH9,10:33:23,5011.9900,3
HYH9,10:33:26,4908.6500,3
HYH9,10:43:19,5215.6400,1
HYH9,10:43:19,5267.2800,2
HYH9,10:47:32,5207.5600,1
HYH9,10:47:40,5001.3200,3
HYH9,10:47:40,5156.0000,1
HYH9,10:48:37,5002.2900,1
HYH9,10:49:32,4949.7600,1
HYH9,10:49:32,4948.8000,1
HYH9,10:49:32,5102.4600,5
HYH9,10:49:32,4947.8400,3
HYH9,10:50:39,5313.7700,1
HYH9,10:50:39,5005.2000,11
HYH9,10:50:39,5211.6000,3
HYH9,10:50:39,5366.4000,17
HYH9,10:51:21,4953.6000,1
HYH9,10:51:21,5159.0000,2
HYH9,10:51:21,5366.4000,1
HYH9,10:56:15,5308.6200,3
HYH9,10:56:15,5049.9400,1
HYH9,11:02:15,5155.0000,1
HYH9,11:02:15,5207.5600,2
HYH9,11:03:27,5204.5300,22
HYH9,11:03:27,4895.3500,2
HYH9,11:04:14,5000.3500,1
HYH9,11:04:14,5207.5600,10
HYH9,11:04:14,5259.1200,5
HYH9,11:04:14,4899.1500,1
HYH9,11:05:43,4949.7600,1
HYH9,11:07:21,4898.2000,7
HYH9,11:07:21,5052.8800,9
HYH9,11:12:12,5099.4900,3
HYH9,11:14:21,5047.0000,11
HYH9,11:14:21,4943.0400,14
HYH9,11:19:22,5098.5000,1
HYH9,11:19:22,4891.5500,2
HYH9,11:19:35,5304.5000,1
HYH9,11:19:35,5354.9600,1
HYH9,11:19:35,4994.5300,11
HYH9,11:26:25,5048.9600,1
HYH9,11:26:35,4999.3800,9
HYH9,11:29:27,4891.5500,1
HYH9,11:29:34,4891.5500,1
HYH9,11:29:40,4890.6000,1
HYH9,11:29:47,4996.4700,1
HYH9,11:29:49,5199.4800,1
HYH9,11:31:09,5152.0000,2
HYH9,11:31:09,5152.0000,3
HYH9,11:31:23,5250.9600,3
HYH9,11:31:23,4890.6000,5
HYH9,11:31:23,5148.0000,5
HYH9,11:31:23,4993.5600,2
HYH9,11:35:08,5097.5100,1
HYH9,11:35:44,4994.5300,1
HYH9,11:35:44,4942.0800,1
HYH9,11:41:48,4994.5300,1
HYH9,11:43:57,4992.5900,5
HYH9,11:43:58,5198.4700,6
HYH9,11:45:18,4993.5600,1
HYH9,11:48:00,5353.9200,1
HYH9,11:50:31,5249.9400,1
HYH9,11:52:05,4940.1600,1
HYH9,11:52:05,4990.6500,1
HYH9,11:52:05,5093.5500,4
HYH9,11:52:11,5248.9200,10
