SECID,TRADETIME,PRICE,QUANTITY
JPH9,19:05:21,110.2415,2
JPH9,19:16:53,103.5975,20
JPH9,19:32:20,109.1000,4
JPH9,19:44:53,113.5056,1
JPH9,19:49:45,103.6830,5
JPH9,19:51:19,106.9572,4
JPH9,19:52:59,107.0258,8
JPH9,19:54:25,103.7685,10
JPH9,19:54:44,104.8992,1
JPH9,19:55:25,108.1773,1
JPH9,20:09:26,113.6200,1
JPH9,20:26:15,110.2920,1
JPH9,20:34:06,114.6600,9
JPH9,20:50:45,104.7936,21
JPH9,20:59:01,114.6495,1
JPH9,21:27:11,112.4245,2
JPH9,21:37:42,104.8512,1
JPH9,21:37:56,104.8608,10
JPH9,21:43:44,113.5264,1
JPH9,21:43:44,105.9046,6
JPH9,21:52:16,112.5172,10
JPH9,21:52:34,104.8800,1
JPH9,22:15:08,114.6495,1
JPH9,23:07:21,104.7840,2
JPH9,23:07:21,111.3330,2
JPH9,23:13:40,109.1900,2
JPH9,23:30:33,109.1500,2
JPH9,23:43:55,106.9866,50
JPH9,10:00:00,105.9143,2
JPH9,10:00:00,109.1800,2
JPH9,10:00:01,112.5790,2
JPH9,10:00:01,106.0210,1
JPH9,10:00:07,106.0210,1
JPH9,10:00:08,110.3324,1
JPH9,10:01:23,108.2070,20
JPH9,10:01:33,109.3200,2
JPH9,10:03:03,113.6096,1
JPH9,10:03:03,112.5172,1
JPH9,10:03:03,107.0552,1
JPH9,10:03:03,112.5172,1
JPH9,10:03:03,107.0650,1
JPH9,10:03:12,104.9376,1
JPH9,10:07:10,112.6614,1
JPH9,10:07:10,109.3800,29
JPH9,10:08:44,107.1532,1
JPH9,10:09:08,103.8635,1
JPH9,10:16:30,108.2367,3
JPH9,10:17:59,108.2466,3
JPH9,10:19:00,110.4233,1
JPH9,10:20:37,112.6614,1
JPH9,10:20:37,103.9110,19
JPH9,10:21:12,111.5676,1
JPH9,10:22:04,105.0240,1
JPH9,10:22:05,106.1180,1
JPH9,10:22:05,103.9300,1
JPH9,10:23:41,109.4100,1
JPH9,10:23:41,110.5041,30
JPH9,10:23:41,111.5982,19
JPH9,10:23:48,106.0986,1
JPH9,10:25:20,114.8490,1
JPH9,10:29:51,111.5472,4
JPH9,10:31:21,110.4435,5
JPH9,10:34:20,108.2466,1
JPH9,10:34:20,104.9664,1
JPH9,10:36:30,109.3100,1
JPH9,10:48:18,103.8350,5
JPH9,10:55:31,104.8992,4
JPH9,10:56:43,110.3728,1
JPH9,10:57:43,109.2900,1
JPH9,11:02:26,103.8445,1
JPH9,11:05:24,108.1575,1
JPH9,11:09:15,109.2800,1
JPH9,11:09:15,107.1042,3
JPH9,11:23:26,107.1434,1
JPH9,11:23:26,104.9664,1
