SECID,TRADETIME,PRICE,QUANTITY
LKH9,19:05:00,53558.1600,1
LKH9,19:05:00,54610.4000,4
LKH9,19:05:00,53560.2000,9
LKH9,19:05:00,51356.9000,4
LKH9,19:05:01,52929.0500,1
LKH9,19:05:01,55025.2500,1
LKH9,19:05:01,54501.2000,1
LKH9,19:05:01,54501.2000,2
LKH9,19:05:02,52405.0000,2
LKH9,19:05:02,54501.2000,6
LKH9,19:05:03,51873.0300,2
LKH9,19:05:03,54492.8800,2
LKH9,19:05:03,51873.0300,2
LKH9,19:05:03,49777.1500,2
LKH9,19:05:03,50825.0900,1
LKH9,19:05:04,54002.9000,3
LKH9,19:05:04,55052.5500,2
LKH9,19:05:04,54528.2400,6
LKH9,19:05:04,49810.4000,2
LKH9,19:05:04,54537.6000,1
LKH9,19:05:04,50885.2300,2
LKH9,19:05:04,51934.4100,5
LKH9,19:05:04,50887.1700,1
LKH9,19:05:04,54048.2200,2
LKH9,19:05:04,54057.4900,1
LKH9,19:05:04,50908.5100,1
LKH9,19:05:05,53547.9600,1
LKH9,19:05:05,52441.0000,1
LKH9,19:05:05,52440.0000,4
LKH9,19:05:05,50923.0600,2
LKH9,19:05:05,54597.9200,1
LKH9,19:05:05,49873.1000,2
LKH9,19:05:05,53547.9600,1
LKH9,19:05:05,51448.0400,1
LKH9,19:05:05,53022.9800,1
LKH9,19:05:05,54073.9700,1
LKH9,19:05:05,51974.0100,1
LKH9,19:05:05,52499.0000,1
LKH9,19:05:05,53550.0000,12
LKH9,19:05:05,55062.0000,1
LKH9,19:05:05,52964.4000,1
LKH9,19:05:07,52440.0000,1
LKH9,19:05:07,55062.0000,3
LKH9,19:05:07,49819.9000,1
LKH9,19:05:07,54013.2000,2
LKH9,19:05:07,52964.4000,2
LKH9,19:05:07,54013.2000,1
LKH9,19:05:07,52440.0000,3
LKH9,19:05:07,51391.2000,3
LKH9,19:05:24,52483.0000,1
LKH9,19:05:24,54073.9700,7
LKH9,19:05:24,53550.0000,8
LKH9,19:05:24,53023.9900,5
LKH9,19:05:24,49818.9500,1
LKH9,19:05:24,51915.6000,2
LKH9,19:05:27,55064.1000,1
LKH9,19:05:37,51973.0200,1
LKH9,19:05:37,51973.0200,1
LKH9,19:05:37,54600.0000,4
LKH9,19:05:37,53550.0000,1
LKH9,19:05:42,50400.0000,2
LKH9,19:05:42,53568.3600,1
LKH9,19:05:42,51468.6200,1
LKH9,19:05:46,52500.0000,1
LKH9,19:05:46,49875.0000,2
LKH9,19:05:48,51462.7400,2
LKH9,19:05:48,52513.0000,2
LKH9,19:05:48,52508.0000,3
LKH9,19:05:51,50400.0000,6
LKH9,19:05:51,53023.9900,3
LKH9,19:05:51,52499.0000,1
LKH9,19:05:51,55123.9500,3
LKH9,19:05:54,51978.9600,2
LKH9,19:05:54,52500.0000,1
