SECID,TRADETIME,PRICE,QUANTITY
MEH9,19:09:56,9210.9600,3
MEH9,19:09:56,9770.2500,3
MEH9,19:09:57,9120.8600,2
MEH9,19:09:57,9400.0700,5
MEH9,19:49:45,9120.8600,2
MEH9,19:59:24,9386.9400,5
MEH9,19:59:24,9008.3900,1
MEH9,20:02:50,9469.6800,3
MEH9,20:02:52,9299.0000,1
MEH9,20:11:38,9585.1800,1
MEH9,20:15:03,9479.8800,1
MEH9,20:22:08,9771.3000,1
MEH9,20:28:12,9664.7200,1
MEH9,20:32:27,9294.0000,1
MEH9,20:38:14,9758.7000,5
MEH9,20:48:08,8923.2000,1
MEH9,20:48:08,9201.0600,1
MEH9,21:09:34,8930.8800,2
MEH9,21:25:22,9113.0200,1
MEH9,21:25:26,8927.0400,1
MEH9,21:35:52,9188.1900,1
MEH9,21:43:45,8816.0000,1
MEH9,21:43:45,9744.0000,1
MEH9,21:43:45,9187.2000,3
MEH9,21:50:25,9280.0000,1
MEH9,21:50:25,9187.2000,2
MEH9,21:51:47,9391.9900,1
MEH9,21:51:54,9484.9800,1
MEH9,21:58:31,8904.0000,1
MEH9,22:01:30,8811.2500,1
MEH9,22:03:16,9460.5000,1
MEH9,22:03:16,9553.2500,3
MEH9,22:03:16,9553.2500,1
MEH9,22:35:01,8835.0000,1
MEH9,22:35:01,9579.0000,2
MEH9,22:57:28,9278.0000,3
MEH9,22:57:28,9272.0000,3
MEH9,22:57:28,8992.8700,3
MEH9,23:05:50,8929.9200,2
MEH9,23:19:28,8993.8400,1
MEH9,23:19:28,8992.8700,1
MEH9,23:27:51,9489.0600,1
MEH9,23:45:34,8844.5000,1
MEH9,23:45:34,9776.5500,1
MEH9,10:00:02,8837.8500,1
MEH9,10:00:05,9410.1700,1
MEH9,10:00:05,9023.9100,3
MEH9,10:00:06,8930.8800,2
MEH9,10:00:13,9396.0300,1
MEH9,10:00:31,9317.0000,1
MEH9,10:00:49,9782.8500,12
MEH9,10:00:49,9503.3400,4
MEH9,10:00:49,8947.2000,3
MEH9,10:00:52,9328.0000,1
MEH9,10:00:54,8864.4500,2
MEH9,10:00:54,9798.6000,3
