SECID,TRADETIME,PRICE,QUANTITY
MEM9,10:00:08,8721.0000,1
MEM9,10:37:09,8914.8800,1
MEM9,11:47:05,8551.0000,1
MEM9,12:28:49,8892.0000,9
MEM9,13:50:26,8830.1900,1
MEM9,13:51:23,8573.0000,2
MEM9,13:51:29,8147.2000,2
MEM9,13:52:24,8656.7100,5
MEM9,13:54:43,8659.7400,10
MEM9,13:56:09,8574.0000,5
MEM9,13:56:14,8744.4600,5
MEM9,14:10:11,8918.0000,5
MEM9,14:10:14,8487.2700,5
MEM9,15:27:18,8889.9200,1
MEM9,15:34:17,8131.0500,1
MEM9,15:34:17,8988.0000,8
MEM9,23:48:57,8255.0400,1
MEM9,11:09:57,9005.8500,10
MEM9,11:22:34,8744.4600,4
MEM9,11:40:16,8665.8000,10
MEM9,11:55:47,8323.5700,1
MEM9,11:55:47,8151.0000,1
MEM9,12:11:16,8665.8000,3
MEM9,12:35:43,8401.5400,3
MEM9,15:42:44,8288.6500,3
MEM9,16:14:52,8288.6500,2
MEM9,16:17:06,8117.7500,2
MEM9,16:39:31,8459.5500,1
