SECID,TRADETIME,PRICE,QUANTITY
MMH9,19:05:00,2400.6240,1
MMH9,19:05:03,2477.0295,5
MMH9,19:05:03,2601.8200,13
MMH9,19:05:03,2401.6800,2
MMH9,19:05:03,2501.7500,15
MMH9,19:05:03,2476.7325,15
MMH9,19:05:03,2527.0705,5
MMH9,19:05:03,2627.4675,8
MMH9,19:05:03,2527.3735,7
MMH9,19:05:03,2627.5725,5
MMH9,19:05:03,2527.6260,2
MMH9,19:05:03,2452.6460,1
MMH9,19:05:03,2377.6125,8
MMH9,19:05:03,2552.3970,5
MMH9,19:05:03,2577.4205,10
MMH9,19:05:04,2552.3460,5
MMH9,19:05:04,2577.2145,1
MMH9,19:05:04,2376.9950,1
MMH9,19:05:04,2601.7160,5
MMH9,19:05:04,2552.0910,3
MMH9,19:05:04,2376.6625,15
MMH9,19:05:04,2501.8000,1
MMH9,19:05:04,2376.6625,1
MMH9,19:05:04,2451.7150,28
MMH9,19:05:04,2501.6500,5
MMH9,19:05:04,2551.5300,1
MMH9,19:05:05,2375.9975,1
MMH9,19:05:05,2550.9690,1
MMH9,19:05:05,2626.2075,5
MMH9,19:05:05,2526.1615,1
MMH9,19:05:05,2601.1960,1
MMH9,19:05:07,2451.1270,3
MMH9,19:05:07,2501.1500,1
MMH9,19:05:07,2451.1270,1
MMH9,19:05:09,2551.3770,15
MMH9,19:05:10,2526.2120,1
MMH9,19:05:11,2526.2120,1
MMH9,19:05:16,2626.2075,1
MMH9,19:05:21,2427.0855,6
MMH9,19:05:23,2452.1070,9
MMH9,19:05:23,2402.0640,15
MMH9,19:05:23,2452.1070,6
MMH9,19:05:23,2377.0425,9
MMH9,19:05:23,2377.0425,6
MMH9,19:05:23,2602.2360,15
MMH9,19:05:24,2552.2440,1
MMH9,19:05:24,2527.2220,12
MMH9,19:05:29,2476.9800,4
MMH9,19:05:42,2453.5770,1
MMH9,19:05:48,2553.0600,1
MMH9,19:05:49,2578.0900,16
MMH9,19:06:10,2452.9400,1
MMH9,19:06:10,2427.9100,1
MMH9,19:06:13,2503.0500,5
MMH9,19:06:13,2377.8025,2
MMH9,19:06:52,2603.1720,1
MMH9,19:06:52,2553.1620,1
MMH9,19:06:53,2578.3990,1
MMH9,19:06:54,2603.3800,15
MMH9,19:06:54,2453.1850,15
MMH9,19:06:54,2603.3800,15
MMH9,19:07:01,2528.4340,1
