SECID,TRADETIME,PRICE,QUANTITY
MNH9,19:05:37,4491.7600,4
MNH9,19:05:37,4146.2400,7
MNH9,19:05:42,4321.0000,4
MNH9,19:05:42,4321.0000,4
MNH9,19:05:42,4408.4400,2
MNH9,19:05:57,4495.9200,4
MNH9,19:05:57,4193.3100,4
MNH9,19:05:57,4366.2300,4
MNH9,19:05:57,4366.2300,4
MNH9,19:05:57,4409.4600,4
MNH9,19:05:57,4540.2000,1
MNH9,19:05:59,4323.0000,1
MNH9,19:06:01,4193.3100,8
MNH9,19:06:01,4105.9000,5
MNH9,19:06:01,4104.9500,5
MNH9,19:06:01,4406.4000,5
MNH9,19:06:01,4490.7200,5
MNH9,19:06:01,4317.0000,5
MNH9,19:06:01,4359.1600,5
MNH9,19:06:09,4307.0000,2
MNH9,19:06:09,4522.3500,3
MNH9,19:06:17,4183.6100,1
MNH9,19:06:24,4221.8400,5
MNH9,19:06:24,4393.1400,2
MNH9,19:06:24,4436.2100,3
MNH9,19:06:24,4090.7000,5
MNH9,19:06:24,4305.0000,5
MNH9,19:06:26,4391.1000,4
MNH9,19:06:36,4348.0500,3
MNH9,19:06:42,4348.0500,3
MNH9,19:06:42,4476.1600,5
MNH9,19:06:42,4130.8800,4
MNH9,19:06:42,4303.0000,3
MNH9,19:06:42,4259.9700,4
MNH9,19:06:42,4172.9400,1
MNH9,19:06:42,4345.0200,10
MNH9,19:06:42,4388.0400,4
MNH9,19:06:42,4517.1000,5
MNH9,19:06:42,4086.9000,5
MNH9,19:06:42,4388.0400,3
MNH9,19:06:42,4086.9000,3
MNH9,19:06:42,4172.9400,5
MNH9,19:06:42,4430.0300,4
MNH9,19:06:42,4430.0300,5
MNH9,19:06:42,4128.9600,5
MNH9,19:06:42,4516.0500,9
MNH9,19:06:42,4344.0100,8
MNH9,19:06:43,4430.0300,2
MNH9,19:06:43,4171.0000,1
MNH9,19:06:44,4473.0400,3
MNH9,19:06:44,4346.0300,5
MNH9,19:06:59,4131.8400,2
MNH9,19:07:00,4129.9200,1
MNH9,19:07:08,4305.0000,3
MNH9,19:07:09,4258.9800,1
MNH9,19:07:17,4218.9000,2
MNH9,19:07:32,4089.7500,5
MNH9,19:07:32,4348.0500,1
MNH9,19:07:52,4265.9100,5
MNH9,19:08:16,4183.6100,5
MNH9,19:08:28,4309.0000,1
MNH9,19:08:28,4481.3600,1
MNH9,19:08:30,4395.1800,1
MNH9,19:08:30,4309.0000,26
MNH9,19:08:35,4352.0900,5
MNH9,19:08:40,4352.0900,1
MNH9,19:08:43,4352.0900,1
MNH9,19:09:12,4441.3600,4
MNH9,19:09:20,4398.2400,1
MNH9,19:09:27,4528.6500,1
