SECID,TRADETIME,PRICE,QUANTITY
MNM9,10:09:34,4305.5100,5
MNM9,10:13:53,4166.4000,5
MNM9,13:45:08,4465.0500,1
MNM9,14:08:13,4340.0000,2
MNM9,14:09:04,4470.2000,3
MNM9,15:39:06,4188.4600,5
MNM9,15:42:00,4168.0900,5
MNM9,15:42:30,4509.7500,20
MNM9,15:42:30,4123.2000,20
MNM9,15:42:44,4465.7600,22
MNM9,15:45:56,4118.4000,15
MNM9,15:52:30,4111.6800,5
MNM9,15:52:30,4196.3600,15
MNM9,15:52:45,4452.2400,16
MNM9,16:11:00,4110.7200,10
MNM9,16:13:16,4102.0800,5
MNM9,16:20:12,4437.6800,5
MNM9,16:23:20,4267.0000,5
MNM9,16:23:20,4391.9200,5
MNM9,18:44:49,4492.8600,10
MNM9,10:00:03,3823.7500,10
MNM9,10:13:11,4040.0000,1
MNM9,10:13:11,3957.2400,19
MNM9,10:24:48,3865.9200,20
MNM9,10:24:48,4188.0800,30
MNM9,10:26:10,3985.7400,20
MNM9,10:26:10,4187.0400,13
MNM9,10:26:10,4066.2600,9
MNM9,10:26:10,3985.7400,8
MNM9,10:29:37,3903.2800,1
MNM9,10:29:37,4104.4800,1
MNM9,10:29:39,4064.2400,20
MNM9,10:29:39,4225.2000,16
MNM9,10:29:39,3903.2800,6
MNM9,10:29:39,4024.0000,4
MNM9,10:30:20,3903.2800,2
MNM9,10:50:59,4020.0000,10
MNM9,12:11:32,3963.9600,4
MNM9,12:11:32,4083.0600,10
MNM9,12:13:30,3960.0000,10
MNM9,12:13:30,3960.0000,10
MNM9,12:59:07,4155.8400,20
MNM9,12:59:07,3956.0400,2
MNM9,12:59:07,4195.8000,2
MNM9,12:59:07,3916.0800,6
MNM9,16:43:19,4161.0400,1
MNM9,16:51:15,4104.5500,4
MNM9,18:11:02,4008.0000,1
MNM9,18:32:47,3964.9500,10
MNM9,20:57:20,3968.9100,1
MNM9,20:57:20,3969.9000,1
MNM9,12:55:14,4142.6600,1
MNM9,13:09:38,4188.0800,2
