SECID,TRADETIME,PRICE,QUANTITY
MTH9,19:05:10,27640.0800,1
MTH9,19:05:12,26839.7400,1
MTH9,19:05:14,27909.0000,1
MTH9,19:05:14,27090.1800,1
MTH9,19:05:24,27156.4800,1
MTH9,19:09:33,26318.1600,1
MTH9,19:09:33,26312.2200,2
MTH9,19:09:33,26028.8000,3
MTH9,19:09:33,27092.2200,2
MTH9,19:09:33,25763.2000,7
MTH9,19:09:33,27356.8000,1
MTH9,19:12:23,26289.4500,1
MTH9,19:18:27,26067.0200,1
MTH9,19:28:11,25758.3500,1
MTH9,19:32:29,26263.7100,1
MTH9,19:32:29,26257.7700,2
MTH9,19:32:29,27846.0000,1
MTH9,19:32:29,25705.0000,1
MTH9,19:32:29,27166.2500,1
MTH9,19:32:47,25356.4800,1
MTH9,19:33:37,26677.1300,1
MTH9,19:33:37,27227.0200,2
MTH9,19:39:18,25137.0000,2
MTH9,19:39:18,25666.2000,9
MTH9,19:46:49,26724.6000,10
MTH9,19:46:49,26460.0000,2
MTH9,19:46:49,26195.4000,2
MTH9,19:46:49,27518.4000,2
MTH9,19:46:49,25930.8000,2
MTH9,19:46:49,25338.2400,2
MTH9,19:49:45,25112.3000,2
MTH9,19:52:12,27772.5000,10
MTH9,19:52:13,27508.0000,2
MTH9,19:52:13,25127.5000,2
MTH9,19:52:13,27243.5000,4
MTH9,19:52:13,27183.7600,2
MTH9,19:52:46,27476.8000,2
MTH9,19:52:46,25363.2000,6
MTH9,19:52:46,27741.0000,2
MTH9,20:09:40,25392.0000,1
MTH9,20:30:14,27216.7200,1
MTH9,20:36:26,27478.8800,1
MTH9,20:36:26,26156.7900,1
MTH9,20:37:23,26987.1600,1
MTH9,20:38:28,27508.0000,1
MTH9,20:43:04,26140.9500,3
MTH9,20:43:04,25347.8400,2
MTH9,20:43:04,26128.0800,1
MTH9,20:43:04,27445.6000,2
MTH9,20:43:04,26651.8800,2
MTH9,20:43:04,25595.3900,2
MTH9,20:43:09,26979.0000,1
MTH9,20:43:09,25656.5000,13
MTH9,20:43:09,25392.0000,6
MTH9,20:43:09,26916.7800,1
MTH9,20:43:09,26384.0000,9
MTH9,20:57:50,27427.9200,1
MTH9,20:57:50,27689.5500,1
MTH9,21:09:34,26423.0000,2
MTH9,21:25:18,26373.0000,1
MTH9,21:25:18,25052.4500,1
MTH9,21:25:18,26370.0000,2
MTH9,21:25:18,25298.8800,2
MTH9,22:54:59,27795.6000,1
MTH9,23:14:25,25873.9600,1
MTH9,23:14:25,25344.9600,2
MTH9,23:14:25,26400.0000,1
MTH9,23:18:46,26137.9800,1
MTH9,23:23:39,25676.8700,1
MTH9,23:41:18,26472.0000,1
MTH9,23:49:30,26473.0000,2
MTH9,10:00:06,25832.0700,2
MTH9,10:00:09,25832.0700,1
MTH9,10:00:26,25562.8800,2
MTH9,10:00:27,26894.2800,10
MTH9,10:00:29,26081.7200,2
MTH9,10:00:33,26613.0000,3
MTH9,10:00:33,26079.7600,1
MTH9,10:00:33,27411.3900,2
MTH9,10:00:40,27394.9100,1
MTH9,10:00:46,25779.6900,1
MTH9,10:00:55,26575.0000,2
MTH9,10:01:43,25178.8000,2
MTH9,10:04:02,25708.8800,2
MTH9,10:04:03,26772.0700,1
MTH9,10:06:03,25705.0000,2
MTH9,10:07:02,27022.8600,1
MTH9,10:07:15,25687.5400,2
MTH9,10:07:15,26217.1800,1
MTH9,10:07:15,26217.1800,9
MTH9,10:07:16,26963.7000,2
MTH9,10:07:16,27478.8800,3
MTH9,10:07:16,26950.4400,1
MTH9,10:07:29,26734.7000,1
MTH9,10:08:03,26971.8600,2
MTH9,10:08:43,25669.1100,1
MTH9,10:08:43,27786.1500,1
MTH9,10:10:02,25134.1500,2
MTH9,10:10:03,25657.4700,1
MTH9,10:11:03,25386.2400,1
MTH9,10:12:02,26984.1000,1
MTH9,10:12:02,27775.6500,2
MTH9,10:13:08,26727.6300,2
MTH9,10:15:03,27521.5200,1
MTH9,10:15:03,25933.7400,1
MTH9,10:15:03,25947.4600,3
MTH9,10:15:03,25683.6600,1
MTH9,10:16:45,27007.5600,2
MTH9,10:18:03,27530.8800,2
MTH9,10:19:03,26172.6300,1
MTH9,10:20:02,27504.8800,2
MTH9,10:20:03,27764.1000,2
MTH9,10:22:02,25904.3400,2
MTH9,10:22:03,26156.7900,1
MTH9,10:24:02,26955.5400,1
MTH9,10:24:03,25364.1600,2
MTH9,10:26:02,25368.9600,2
MTH9,10:26:03,25891.6000,2
MTH9,10:26:17,27730.5000,3
MTH9,10:28:15,26169.6600,4
MTH9,10:36:33,25689.4800,3
MTH9,10:36:33,27278.5200,7
MTH9,10:41:50,27326.9300,1
MTH9,10:44:16,27306.3300,1
MTH9,10:45:17,27325.9000,1
MTH9,10:45:58,27886.9500,1
MTH9,10:45:58,27888.0000,3
MTH9,10:51:14,25204.4500,1
MTH9,10:51:27,25218.7000,1
MTH9,10:57:30,27066.7200,1
MTH9,10:58:08,27861.7500,1
MTH9,11:01:21,27623.4400,1
MTH9,11:08:33,25722.4600,1
MTH9,11:14:16,25463.0400,1
MTH9,11:15:01,27580.8000,1
MTH9,11:17:51,27575.6000,1
MTH9,11:17:58,25189.2500,1
MTH9,11:18:01,26258.7600,1
MTH9,11:18:45,25984.7000,1
MTH9,11:18:45,26783.1800,1
MTH9,11:20:05,27840.7500,1
MTH9,11:20:10,26523.0000,1
MTH9,11:20:40,25191.1500,1
MTH9,11:20:50,27319.7200,1
MTH9,11:24:09,26808.4300,1
MTH9,11:31:28,26565.0000,3
MTH9,12:08:06,26225.1000,1
MTH9,12:14:41,25440.0000,5
MTH9,12:32:12,25714.7000,4
MTH9,12:32:12,25449.6000,1
MTH9,13:00:51,25921.0000,2
MTH9,13:00:51,26450.0000,1
MTH9,13:06:59,26159.7600,10
MTH9,13:15:56,27704.2500,1
MTH9,13:15:56,26104.3200,1
MTH9,13:17:28,25581.8100,3
MTH9,13:17:28,27427.9200,7
MTH9,13:20:02,27443.5200,1
MTH9,13:20:02,25593.4500,1
MTH9,13:32:53,26593.3000,1
MTH9,13:32:53,26593.3000,1
MTH9,13:32:53,25803.4000,2
MTH9,13:33:11,25004.9500,1
MTH9,14:05:25,26856.6000,1
MTH9,14:05:52,26049.8700,2
MTH9,14:24:58,25279.6800,1
MTH9,14:26:23,25549.8000,2
MTH9,14:26:23,27131.2300,3
MTH9,14:34:44,27400.8800,2
MTH9,14:40:15,25061.0000,1
MTH9,14:49:02,26380.0000,3
MTH9,14:49:02,25852.4000,1
MTH9,14:49:02,26380.0000,1
MTH9,14:49:38,27386.3200,2
MTH9,14:49:38,27386.3200,1
MTH9,14:49:38,26859.6600,1
MTH9,14:49:38,27122.9900,5
MTH9,14:49:38,26333.0000,2
MTH9,14:49:38,27386.3200,2
MTH9,14:49:38,25806.3400,2
MTH9,14:49:38,25016.3500,2
MTH9,14:49:38,26859.6600,2
MTH9,14:49:38,27649.6500,2
MTH9,14:49:38,25279.6800,5
MTH9,14:49:39,27122.9900,3
MTH9,14:49:39,27649.6500,3
MTH9,14:49:39,25806.3400,3
MTH9,14:49:39,26596.3300,3
MTH9,14:49:39,27386.3200,3
MTH9,15:01:10,27144.6200,3
MTH9,15:01:10,26354.0000,7
MTH9,15:01:10,25543.0100,2
MTH9,15:01:10,26333.0000,2
MTH9,15:01:20,25279.6800,1
MTH9,15:02:00,27616.0500,1
MTH9,15:02:15,26549.8700,2
MTH9,15:03:35,27110.6300,3
MTH9,15:03:35,26321.0000,6
MTH9,15:18:40,27647.5500,2
MTH9,15:18:40,25804.3800,3
MTH9,15:46:56,26548.8600,1
MTH9,16:06:10,25746.5600,2
MTH9,16:06:10,26796.4200,1
MTH9,16:07:14,24997.3500,1
MTH9,17:27:11,27362.4000,3
MTH9,17:27:11,27625.5000,1
MTH9,17:27:11,25257.6000,3
MTH9,17:27:15,25783.8000,1
MTH9,17:30:44,27655.9500,2
MTH9,17:30:44,25820.0600,3
MTH9,17:30:44,27404.0000,5
MTH9,17:30:44,25035.3500,2
MTH9,17:30:44,27152.8600,8
MTH9,17:30:44,26619.5600,2
MTH9,17:30:44,25571.1400,3
MTH9,17:30:44,26104.3200,5
MTH9,17:30:46,27723.1500,2
MTH9,17:30:46,25088.5500,2
MTH9,17:30:46,25353.6000,3
MTH9,17:30:46,25619.6400,3
MTH9,17:30:48,26940.2400,1
MTH9,17:30:54,25386.2400,2
MTH9,17:37:57,25131.3000,1
MTH9,17:38:07,27279.5500,1
MTH9,17:43:21,26205.3000,2
MTH9,18:16:53,25327.6800,1
MTH9,18:36:59,27370.7200,1
MTH9,18:39:00,27624.4500,1
MTH9,19:23:57,26027.3400,1
MTH9,19:24:09,24784.4700,1
MTH9,19:27:41,25771.1600,1
MTH9,20:04:18,25499.0000,2
MTH9,20:39:15,26014.0800,1
MTH9,21:06:09,26826.4500,1
MTH9,21:06:09,26826.4500,4
MTH9,22:49:46,26590.7200,1
MTH9,23:13:08,26826.4500,1
MTH9,23:49:19,24528.0000,1
MTH9,10:00:08,26254.7000,5
MTH9,10:00:11,26250.5800,2
MTH9,10:00:11,25486.0000,2
MTH9,10:00:11,24466.5600,2
MTH9,10:00:42,25039.0000,1
MTH9,10:00:42,24528.0000,1
MTH9,10:00:42,24272.5000,1
MTH9,10:00:42,24528.0000,1
MTH9,10:00:42,24528.0000,2
MTH9,10:00:54,26826.4500,1
MTH9,10:00:58,24783.5000,5
MTH9,10:00:58,25294.5000,1
MTH9,10:00:58,24528.0000,5
MTH9,10:00:58,25805.5000,10
MTH9,10:00:58,24528.0000,4
MTH9,10:00:58,24272.5000,4
MTH9,10:00:58,25550.0000,1
MTH9,10:06:04,26026.3200,1
MTH9,10:06:04,24238.3000,2
MTH9,10:06:04,26767.6500,2
MTH9,10:06:04,24466.5600,6
MTH9,10:06:04,26760.3000,1
MTH9,10:07:16,26004.9000,1
MTH9,10:07:16,25770.1500,2
MTH9,10:15:30,25839.8400,1
MTH9,10:23:48,25486.0000,2
MTH9,10:23:48,24976.2800,5
MTH9,10:23:48,25740.8600,1
MTH9,10:23:48,25231.1400,1
MTH9,10:23:48,26250.5800,1
MTH9,10:25:41,26537.6800,2
MTH9,10:30:49,26845.3500,2
MTH9,10:58:00,25291.5300,2
MTH9,11:15:20,25828.7300,1
MTH9,11:15:21,26559.5200,1
MTH9,11:18:12,26038.5600,1
MTH9,11:24:42,24831.0300,2
MTH9,11:24:42,26368.0000,1
MTH9,11:24:42,26372.1200,2
MTH9,11:29:38,24579.8400,2
MTH9,11:34:54,26910.4500,1
MTH9,11:40:55,26644.8000,2
MTH9,11:40:58,26643.7600,1
MTH9,11:47:00,24833.9400,1
MTH9,11:47:00,24577.9200,1
MTH9,12:29:52,25738.8400,2
MTH9,12:29:52,26760.3000,2
MTH9,12:30:04,25985.5200,3
MTH9,12:30:04,24456.0000,2
MTH9,12:34:14,25735.8100,2
MTH9,12:37:44,25995.7200,1
MTH9,12:37:44,25485.0000,2
MTH9,12:45:53,25776.2100,1
MTH9,13:09:07,25005.6800,2
MTH9,13:14:59,25494.0000,2
MTH9,13:14:59,25239.0600,1
MTH9,13:44:59,24718.5100,2
MTH9,13:44:59,26757.1500,2
MTH9,13:44:59,25483.0000,2
MTH9,14:15:22,24973.3400,1
MTH9,14:16:07,26272.2100,1
MTH9,14:17:36,24706.8700,1
MTH9,14:17:36,25215.3000,3
MTH9,14:17:36,26738.2500,1
MTH9,14:32:01,24956.6800,1
MTH9,14:32:01,24955.7000,1
MTH9,15:00:07,25744.9000,2
MTH9,15:00:07,24981.1800,3
MTH9,15:00:07,25758.0300,1
MTH9,15:01:57,26504.4000,1
MTH9,15:02:30,24975.3000,1
MTH9,15:02:30,26267.0600,1
MTH9,15:02:30,25759.0400,2
MTH9,15:02:30,26793.9000,4
MTH9,15:11:06,25756.0100,1
MTH9,15:11:06,26522.0800,2
MTH9,15:11:06,25265.7900,2
MTH9,15:11:06,24767.0100,1
MTH9,15:12:56,24767.0100,4
MTH9,15:12:56,24770.8900,2
MTH9,15:14:05,26559.5200,1
MTH9,15:14:05,24520.3200,2
MTH9,15:14:05,26052.8400,7
MTH9,15:14:42,26528.3200,2
MTH9,15:16:09,25794.3900,2
MTH9,15:16:09,25540.0000,5
MTH9,15:16:09,25287.5700,1
MTH9,15:16:29,25795.4000,5
MTH9,15:16:29,24521.2800,5
MTH9,15:20:15,26026.3200,2
MTH9,15:22:06,25031.1600,2
MTH9,15:22:06,24776.7100,5
MTH9,15:22:06,26053.8600,3
MTH9,15:25:58,26030.4000,2
MTH9,15:25:58,26286.6300,2
MTH9,15:25:58,25776.2100,1
MTH9,15:25:58,25775.2000,1
MTH9,15:25:58,25520.0000,2
MTH9,15:25:58,25520.0000,2
MTH9,15:30:05,25795.4000,1
MTH9,15:31:27,25004.7000,1
MTH9,15:31:27,25003.7200,1
MTH9,15:32:16,24813.5700,2
MTH9,15:32:16,24813.5700,2
MTH9,15:40:18,24812.6000,1
MTH9,15:40:24,26088.5400,1
MTH9,16:32:22,25007.6400,1
MTH9,16:32:22,24778.6500,2
MTH9,16:32:22,26311.3500,1
MTH9,16:32:22,24524.1600,1
MTH9,16:36:43,26823.3000,1
MTH9,16:47:09,24739.8500,1
MTH9,16:47:09,24990.9800,1
MTH9,16:47:09,25483.0000,2
MTH9,16:47:09,26502.3200,2
MTH9,16:47:09,25505.0000,2
MTH9,16:47:09,25782.2700,2
MTH9,16:47:09,25786.3100,5
MTH9,16:47:10,26550.1600,2
MTH9,16:47:10,26807.5500,2
MTH9,16:47:10,25019.4000,2
MTH9,16:47:10,25786.3100,4
MTH9,16:47:11,25534.0000,9
MTH9,16:47:13,25254.9000,2
MTH9,16:47:13,26815.9500,2
MTH9,16:47:13,26817.0000,1
MTH9,16:47:13,26303.1100,4
MTH9,16:47:13,25539.0000,1
MTH9,16:47:13,24773.8000,4
MTH9,16:47:13,26050.8000,1
MTH9,16:51:25,25802.4700,2
MTH9,16:51:25,25547.0000,1
MTH9,16:51:25,24779.6200,1
MTH9,16:54:03,25036.0600,1
MTH9,17:01:00,25556.0000,1
MTH9,17:01:00,26068.1400,2
MTH9,17:01:00,26586.5600,3
MTH9,17:02:00,26579.2800,2
MTH9,17:02:00,26609.4400,5
MTH9,17:03:00,26602.1600,2
MTH9,17:03:00,25338.0600,2
MTH9,17:03:00,26118.1200,3
MTH9,17:03:00,26372.1200,1
MTH9,17:06:18,26810.7000,2
MTH9,17:06:18,25280.6400,2
MTH9,17:06:19,24769.9200,2
MTH9,17:11:00,25521.0000,1
MTH9,17:11:00,25010.5800,1
MTH9,17:15:19,25523.0000,1
MTH9,17:15:19,25012.5400,1
MTH9,17:15:19,26301.0500,5
MTH9,17:15:19,26788.6500,2
MTH9,17:15:19,25259.8500,2
MTH9,17:15:41,25264.8000,1
MTH9,17:15:41,25264.8000,1
MTH9,17:18:07,26039.5800,1
MTH9,17:19:00,26806.5000,2
MTH9,17:22:05,26037.5400,2
MTH9,17:26:43,26857.9500,2
MTH9,17:26:43,24812.6000,1
MTH9,17:30:25,26855.8500,1
MTH9,17:32:39,24191.7500,3
MTH9,17:32:39,25465.0000,2
MTH9,17:32:39,24701.0500,2
MTH9,17:32:39,24701.0500,2
MTH9,17:32:39,25465.0000,1
MTH9,17:32:39,26738.2500,1
MTH9,17:32:41,25183.6200,2
MTH9,17:32:44,25671.1700,1
MTH9,17:32:44,24652.5500,2
MTH9,17:32:46,24616.6600,1
MTH9,17:32:54,25669.1500,1
MTH9,17:33:05,26151.7000,1
MTH9,17:33:14,26619.6000,1
MTH9,17:34:51,24603.0800,1
MTH9,17:35:05,24604.0500,2
MTH9,17:35:35,25097.4900,1
MTH9,17:35:49,24316.8000,1
MTH9,17:35:49,25816.2000,2
MTH9,17:35:49,25565.1200,2
MTH9,17:35:56,24299.5200,1
MTH9,17:36:10,26324.4800,2
MTH9,17:36:19,24528.3900,2
MTH9,17:36:19,26297.4400,1
MTH9,17:36:19,26293.2800,1
MTH9,17:36:31,24275.5200,2
MTH9,17:36:31,25034.1300,3
MTH9,17:36:31,24523.5400,2
MTH9,17:36:31,24006.5000,1
MTH9,17:38:33,25062.8400,1
MTH9,17:40:39,24547.7900,1
MTH9,17:40:39,24547.7900,1
MTH9,17:44:25,26634.3000,1
MTH9,17:44:43,24097.7000,1
MTH9,17:46:55,24682.6200,1
MTH9,17:46:55,25701.4700,2
MTH9,17:46:55,25202.4300,2
MTH9,17:46:55,24952.7600,3
MTH9,17:47:04,24943.9400,3
MTH9,17:47:04,26472.1600,2
MTH9,17:47:04,25457.0000,2
MTH9,17:47:04,25219.2600,1
MTH9,17:49:06,24681.6500,1
MTH9,17:49:08,26173.3300,1
MTH9,17:55:49,25806.0000,2
MTH9,17:55:49,24541.0000,1
MTH9,17:55:49,26059.0000,2
MTH9,17:55:49,25300.0000,1
MTH9,17:55:51,24801.8400,1
MTH9,17:56:18,24288.0000,2
MTH9,17:56:18,24541.0000,2
MTH9,17:57:41,25482.3000,1
MTH9,18:00:14,25478.2600,2
MTH9,18:01:45,25492.4000,3
MTH9,18:01:45,26500.9500,2
MTH9,18:01:45,24468.2500,1
MTH9,18:01:45,24717.5600,2
MTH9,18:11:51,25749.9000,1
MTH9,18:15:16,25956.0000,1
MTH9,18:15:17,25935.4000,2
MTH9,18:15:17,26437.9500,2
MTH9,18:15:17,26435.8500,2
MTH9,18:15:17,24153.6000,2
MTH9,18:15:27,25954.9700,1
MTH9,18:15:30,24443.0300,2
MTH9,18:15:30,24948.0000,2
MTH9,18:26:01,23967.5500,2
MTH9,18:26:11,24475.0400,3
MTH9,18:26:11,24223.6800,1
MTH9,18:26:11,26270.4000,1
MTH9,18:26:43,26516.7000,2
MTH9,18:26:48,24753.8200,2
MTH9,18:29:20,25760.1000,1
MTH9,18:29:20,26517.7500,2
MTH9,18:29:32,24240.9600,2
MTH9,18:29:34,25756.0200,2
MTH9,18:29:57,25256.0000,2
MTH9,18:29:57,26519.8500,8
MTH9,18:30:12,24266.8800,2
MTH9,18:33:28,24718.5400,1
MTH9,18:34:14,24713.6400,2
MTH9,18:34:20,24211.2000,2
MTH9,18:34:27,23959.0000,2
MTH9,18:34:36,26481.0000,2
MTH9,18:34:42,24211.2000,2
MTH9,18:35:33,24208.3200,1
MTH9,18:35:52,25941.5800,3
MTH9,18:35:52,26193.4400,5
MTH9,18:35:52,25437.8600,6
MTH9,18:35:52,25437.8600,3
MTH9,18:35:54,24933.1500,2
MTH9,18:35:54,25940.5500,2
MTH9,18:35:54,24931.1700,2
MTH9,18:35:59,25941.5800,2
MTH9,18:35:59,26193.4400,1
MTH9,18:35:59,26477.8500,1
MTH9,18:36:31,26221.5200,1
MTH9,18:36:42,24960.8700,1
MTH9,18:36:42,24456.6100,4
MTH9,18:40:09,24732.2600,1
