SECID,TRADETIME,PRICE,QUANTITY
MXH9,19:05:00,250175.0000,5
MXH9,19:05:00,242694.0000,2
MXH9,19:05:00,262710.0000,2
MXH9,19:05:00,237690.0000,2
MXH9,19:05:00,242694.0000,2
MXH9,19:05:00,257706.0000,12
MXH9,19:05:00,240168.0000,5
MXH9,19:05:01,237642.5000,1
MXH9,19:05:02,252904.0000,2
MXH9,19:05:02,242888.0000,2
MXH9,19:05:03,252676.7500,3
MXH9,19:05:03,262736.2500,3
MXH9,19:05:03,250225.0000,1
MXH9,19:05:03,257783.2500,1
MXH9,19:05:03,250275.0000,1
MXH9,19:05:03,237761.2500,1
MXH9,19:05:04,255229.5000,1
MXH9,19:05:14,237690.0000,1
MXH9,19:05:14,250200.0000,1
MXH9,19:05:14,237690.0000,2
MXH9,19:05:14,240192.0000,1
MXH9,19:05:15,262710.0000,1
MXH9,19:05:15,252702.0000,1
MXH9,19:05:15,247698.0000,1
MXH9,19:05:15,257706.0000,1
MXH9,19:05:16,252702.0000,1
MXH9,19:05:20,245245.0000,2
MXH9,19:05:20,242742.5000,1
MXH9,19:05:21,257783.2500,2
MXH9,19:05:21,255280.5000,1
MXH9,19:05:21,257783.2500,1
MXH9,19:05:21,255280.5000,3
MXH9,19:05:21,262788.7500,2
MXH9,19:05:21,240264.0000,1
MXH9,19:05:21,242766.7500,3
MXH9,19:05:23,237761.2500,1
MXH9,19:05:23,240264.0000,2
MXH9,19:05:23,262788.7500,1
MXH9,19:05:23,262788.7500,1
MXH9,19:05:24,257731.7500,1
MXH9,19:05:24,252727.2500,1
MXH9,19:05:30,255280.5000,1
MXH9,19:05:30,260312.0000,1
MXH9,19:05:30,257834.7500,2
MXH9,19:05:36,252828.2500,1
MXH9,19:05:36,260364.0000,4
MXH9,19:05:38,237832.5000,2
MXH9,19:05:38,257860.5000,2
MXH9,19:05:38,260364.0000,10
MXH9,19:05:38,245343.0000,2
MXH9,19:05:41,257886.2500,2
MXH9,19:05:42,260442.0000,2
MXH9,19:06:00,245343.0000,1
MXH9,19:06:34,255306.0000,1
MXH9,19:06:52,262841.2500,2
MXH9,19:06:52,240312.0000,3
MXH9,19:06:52,242815.2500,1
MXH9,19:06:52,250325.0000,1
MXH9,19:06:52,260338.0000,1
MXH9,19:06:52,262841.2500,4
MXH9,19:06:52,242815.2500,4
MXH9,19:06:52,257834.7500,1
MXH9,19:06:54,237856.2500,1
MXH9,19:06:54,257886.2500,1
MXH9,19:07:02,257912.0000,1
MXH9,19:07:17,247871.2500,2
MXH9,19:07:17,255382.5000,1
MXH9,19:07:17,240360.0000,1
MXH9,19:07:17,237856.2500,1
MXH9,19:07:17,247920.7500,1
MXH9,19:07:17,262946.2500,1
MXH9,19:07:36,245441.0000,2
MXH9,19:08:00,250325.0000,1
MXH9,19:08:01,240336.0000,1
MXH9,19:08:08,237832.5000,1
MXH9,19:08:29,245392.0000,1
MXH9,19:08:29,257912.0000,2
MXH9,19:08:29,262920.0000,1
MXH9,19:08:52,242912.2500,1
MXH9,19:08:53,257937.7500,2
MXH9,19:08:56,245416.5000,1
MXH9,19:08:58,257937.7500,1
MXH9,19:08:58,245392.0000,1
MXH9,19:09:03,250350.0000,1
MXH9,19:09:18,262893.7500,1
MXH9,19:10:12,257783.2500,1
MXH9,19:10:25,240312.0000,1
MXH9,19:10:35,257834.7500,1
MXH9,19:10:35,245343.0000,1
MXH9,19:10:40,260338.0000,2
MXH9,19:10:40,242815.2500,1
MXH9,19:10:40,250325.0000,1
MXH9,19:10:40,247821.7500,1
MXH9,19:10:40,257809.0000,1
MXH9,19:10:40,245269.5000,1
MXH9,19:10:40,240264.0000,1
MXH9,19:10:59,250250.0000,1
MXH9,19:11:06,240216.0000,1
MXH9,19:11:14,237713.7500,2
MXH9,19:11:14,237690.0000,2
MXH9,19:11:17,252702.0000,2
MXH9,19:11:20,257706.0000,18
MXH9,19:11:34,245196.0000,1
MXH9,19:11:34,242694.0000,1
MXH9,19:11:34,262710.0000,2
MXH9,19:11:34,262710.0000,1
MXH9,19:11:38,237642.5000,1
MXH9,19:11:41,252626.2500,1
MXH9,19:11:41,257628.7500,1
MXH9,19:11:41,255127.5000,2
MXH9,19:11:41,240120.0000,1
MXH9,19:11:41,250125.0000,1
MXH9,19:11:41,262605.0000,4
MXH9,19:11:48,247623.7500,2
MXH9,19:11:48,245122.5000,1
MXH9,19:11:48,250125.0000,1
MXH9,19:11:50,237595.0000,10
MXH9,19:11:50,257603.0000,1
MXH9,19:11:50,242597.0000,1
MXH9,19:11:50,260104.0000,4
MXH9,19:12:01,260104.0000,1
MXH9,19:12:08,247549.5000,1
MXH9,19:12:12,247500.0000,1
MXH9,19:12:12,240000.0000,1
MXH9,19:12:12,247500.0000,2
MXH9,19:12:12,250000.0000,1
MXH9,19:12:12,237500.0000,15
MXH9,19:12:21,257474.2500,1
MXH9,19:12:24,255000.0000,1
MXH9,19:12:29,245000.0000,1
MXH9,19:12:29,255000.0000,1
MXH9,19:12:29,242500.0000,1
MXH9,19:12:33,239952.0000,2
MXH9,19:12:33,254949.0000,1
MXH9,19:12:33,257448.5000,1
MXH9,19:12:33,254949.0000,5
MXH9,19:12:33,244951.0000,1
MXH9,19:12:33,252449.5000,2
MXH9,19:12:36,247425.7500,1
MXH9,19:12:36,244926.5000,1
MXH9,19:12:36,249925.0000,1
MXH9,19:12:42,254949.0000,5
MXH9,19:12:42,262447.5000,1
MXH9,19:12:42,244951.0000,1
MXH9,19:12:46,247450.5000,1
MXH9,19:12:49,239952.0000,5
MXH9,19:12:55,252474.7500,2
MXH9,19:13:24,252474.7500,1
MXH9,19:13:26,252474.7500,3
MXH9,19:13:26,244975.5000,3
MXH9,19:13:26,262473.7500,1
