SECID,TRADETIME,PRICE,QUANTITY
MXM9,10:44:02,263681.2500,1
MXM9,14:39:45,248589.0000,1
MXM9,14:39:46,238545.0000,1
MXM9,14:50:19,238663.7500,1
MXM9,15:01:10,238426.2500,1
MXM9,15:01:10,243445.7500,3
MXM9,16:15:04,241224.0000,2
MXM9,12:40:54,260898.7500,1
MXM9,17:06:07,259350.0000,1
MXM9,17:06:18,251940.0000,1
MXM9,17:06:22,234650.0000,3
MXM9,17:58:45,237648.0000,1
MXM9,19:15:52,238128.0000,1
MXM9,19:39:43,254822.0000,1
MXM9,12:53:53,248675.0000,3
MXM9,15:00:05,251717.2500,5
MXM9,15:55:00,252904.0000,5
MXM9,15:55:00,243009.2500,1
MXM9,15:55:00,240552.0000,1
MXM9,15:55:00,260728.0000,11
MXM9,15:55:00,258221.0000,5
MXM9,15:55:00,253207.0000,7
MXM9,16:00:44,245637.0000,1
MXM9,16:03:09,238117.5000,1
MXM9,16:13:47,250400.0000,1
MXM9,16:22:49,250225.0000,1
MXM9,17:03:26,242985.0000,1
