SECID,TRADETIME,PRICE,QUANTITY
NKH9,19:29:51,113815.0000,1
NKH9,19:29:51,107185.0000,1
NKH9,19:29:57,111605.0000,2
NKH9,19:37:39,108290.0000,5
NKH9,21:09:34,110500.0000,1
NKH9,21:16:15,110500.0000,1
NKH9,23:14:32,104975.0000,6
NKH9,23:15:03,112710.0000,2
NKH9,23:31:16,109395.0000,1
NKH9,10:00:23,109395.0000,2
NKH9,10:01:10,108200.8200,1
NKH9,10:01:10,107082.1800,1
NKH9,10:03:21,112586.5800,1
NKH9,10:03:21,112591.6800,1
NKH9,10:11:33,114920.0000,4
NKH9,10:11:33,108290.0000,15
NKH9,10:13:05,104637.7500,1
NKH9,10:35:14,111534.3000,4
NKH9,10:35:15,107117.1000,1
NKH9,10:45:08,114920.0000,5
NKH9,11:00:21,106112.6400,1
NKH9,11:00:21,113865.4700,4
NKH9,11:04:14,111730.2400,5
NKH9,11:07:36,107282.0000,4
NKH9,11:08:34,113876.8000,4
NKH9,11:15:18,116287.5000,1
NKH9,11:15:19,110754.0000,8
NKH9,11:30:49,108780.0000,1
NKH9,11:30:49,114330.0000,1
NKH9,11:31:38,105687.5000,1
NKH9,11:42:15,112615.0000,1
NKH9,11:42:15,115960.0000,1
NKH9,11:53:45,107280.0000,1
NKH9,11:56:01,115207.5600,1
NKH9,11:56:01,111896.0000,1
NKH9,11:56:23,116480.0000,1
NKH9,12:28:20,111980.0000,1
NKH9,12:28:50,110860.2000,1
NKH9,12:36:17,107424.0000,1
NKH9,12:36:18,117505.5000,1
NKH9,12:36:20,109671.8000,1
NKH9,12:41:09,107378.8800,2
NKH9,13:59:00,109564.0000,1
NKH9,14:25:38,113909.5200,1
NKH9,15:01:10,112615.0000,1
NKH9,15:12:00,109215.1200,1
NKH9,15:33:17,107993.0100,1
NKH9,16:35:29,105782.5000,1
NKH9,17:17:35,112382.7000,1
NKH9,17:20:19,113556.6000,1
NKH9,17:53:26,114865.6000,1
NKH9,18:02:59,109368.0000,1
NKH9,18:03:00,113899.3200,1
NKH9,18:08:13,116168.0000,1
NKH9,18:31:02,116116.0000,4
NKH9,18:31:02,117232.5000,15
NKH9,18:31:02,117189.4500,1
NKH9,18:31:16,109299.4000,10
NKH9,19:01:44,111070.0500,5
NKH9,10:00:16,107085.3300,1
NKH9,10:01:57,105051.0000,1
NKH9,10:01:57,106215.3400,1
NKH9,10:03:03,108383.0000,1
NKH9,10:03:03,102996.1500,1
NKH9,10:03:03,109537.5300,1
NKH9,10:03:16,111706.5900,1
NKH9,10:03:32,111755.0000,1
NKH9,10:03:32,104160.0000,1
NKH9,10:13:12,111670.5400,1
NKH9,10:13:12,107333.8200,1
NKH9,10:14:29,102982.8500,1
NKH9,10:23:45,106020.3200,1
NKH9,10:42:37,108470.0000,1
NKH9,10:42:37,112811.9200,1
NKH9,10:42:54,105160.6100,1
NKH9,10:45:26,106039.9200,1
NKH9,10:45:27,105965.4400,3
NKH9,10:45:27,105965.4400,1
NKH9,10:59:40,108200.0000,1
NKH9,10:59:54,112528.0000,3
NKH9,11:09:46,106034.0400,1
NKH9,11:20:20,107371.4400,1
NKH9,11:20:36,106305.5000,1
NKH9,11:20:48,108500.0000,1
NKH9,11:21:38,111943.4900,1
NKH9,11:21:49,113100.0000,1
NKH9,11:21:49,105518.5400,1
NKH9,11:36:31,110976.0000,1
NKH9,11:48:22,104278.0800,2
NKH9,13:19:14,114114.0000,1
NKH9,13:24:54,110027.3800,1
NKH9,13:24:57,103491.1000,1
NKH9,14:13:36,110012.2300,1
NKH9,14:14:04,106744.5400,1
NKH9,14:15:15,112175.2400,1
NKH9,14:15:15,103491.1000,1
NKH9,14:24:39,104527.6800,1
NKH9,14:24:39,106705.3400,1
NKH9,14:39:52,112115.5000,1
NKH9,14:40:55,112115.5000,1
NKH9,14:41:11,111030.0600,1
NKH9,14:45:10,106675.9400,1
NKH9,15:19:11,103339.1000,1
NKH9,15:19:11,106661.2400,1
NKH9,16:15:23,107415.0000,1
NKH9,16:15:23,103075.0000,1
NKH9,16:34:10,102932.5000,1
NKH9,17:16:12,112942.9600,1
NKH9,17:24:15,112046.4900,1
NKH9,17:30:02,114240.0000,1
NKH9,17:30:21,113360.0000,1
NKH9,17:30:21,111263.6400,4
NKH9,17:30:40,109000.0000,4
NKH9,17:42:02,111272.8200,1
NKH9,17:52:34,108236.7000,1
NKH9,17:52:34,111516.6000,1
NKH9,17:54:38,111551.2800,1
NKH9,17:58:41,109500.0000,1
NKH9,18:03:28,107384.4800,1
NKH9,18:03:28,108480.2400,1
NKH9,18:03:28,111767.5200,1
NKH9,18:03:38,104097.2000,1
NKH9,18:03:38,104097.2000,1
NKH9,18:04:49,108473.3100,2
NKH9,18:07:26,106315.8800,1
NKH9,18:09:28,114060.9600,1
NKH9,18:09:30,106500.1800,1
NKH9,18:09:30,107604.0000,1
NKH9,18:09:59,112005.1800,1
NKH9,18:14:23,114185.7600,1
NKH9,18:14:23,105402.2400,1
NKH9,18:14:37,108681.2100,1
NKH9,18:17:19,111996.0000,1
NKH9,18:19:56,110639.4400,1
NKH9,18:20:19,112785.0000,1
NKH9,18:23:00,107212.0000,1
NKH9,18:29:51,104970.2400,1
NKH9,18:29:51,103811.2500,2
NKH9,18:29:51,114717.7500,2
NKH9,18:30:00,110397.0400,1
NKH9,18:30:00,103792.2500,4
NKH9,18:30:03,110381.8900,1
NKH9,18:30:03,107103.2200,4
NKH9,18:30:03,104917.4400,5
NKH9,18:30:09,103872.0500,1
NKH9,18:30:09,105996.7500,2
NKH9,18:30:09,107055.2000,2
NKH9,18:33:17,114790.2000,1
NKH9,18:33:17,114749.2500,4
NKH9,18:40:50,110990.9200,1
NKH9,19:01:37,104471.5000,1
NKH9,19:18:32,105551.0400,1
NKH9,19:18:32,108850.5000,1
NKH9,19:18:32,113269.1000,4
NKH9,19:18:32,107800.0000,1
NKH9,19:18:32,112229.5800,2
NKH9,19:18:32,112281.6000,20
NKH9,19:18:32,108994.0500,1
NKH9,19:24:03,108494.1000,1
NKH9,19:25:02,104300.5000,1
NKH9,19:29:49,105764.9200,1
NKH9,19:29:49,112301.9300,3
NKH9,19:29:49,112296.7800,1
NKH9,23:45:14,104119.0500,1
NKH9,10:02:10,108850.5000,1
NKH9,10:02:10,106760.1400,1
NKH9,10:02:10,108946.5300,1
NKH9,10:02:10,105645.1200,1
NKH9,10:02:10,113332.9600,1
NKH9,10:02:10,105630.7200,1
NKH9,10:02:13,107893.1000,5
NKH9,10:02:13,108994.0500,1
NKH9,10:02:14,112398.9000,1
NKH9,10:04:12,108061.6600,1
NKH9,10:05:30,110280.0000,1
NKH9,10:05:39,108159.6600,1
NKH9,10:05:42,114797.2800,1
NKH9,10:12:54,109218.7800,1
NKH9,10:13:09,107046.2900,1
NKH9,10:14:11,104839.1500,1
NKH9,10:14:13,112579.4400,1
NKH9,10:15:02,109327.6800,1
NKH9,10:15:02,111556.5200,1
NKH9,10:15:02,104943.6500,1
NKH9,10:15:02,109390.0500,1
NKH9,10:16:22,107175.3000,1
NKH9,10:18:00,110500.0000,1
NKH9,10:18:00,114920.0000,1
NKH9,10:18:00,108290.0000,1
NKH9,10:19:53,105060.5000,1
NKH9,10:19:53,112801.8000,1
NKH9,10:29:48,111605.0000,1
NKH9,10:29:48,112710.0000,1
NKH9,10:30:00,108160.6400,1
NKH9,10:49:00,113516.3000,1
NKH9,11:00:26,104706.1500,1
NKH9,11:00:26,110187.0000,4
NKH9,11:00:26,112390.7400,6
NKH9,11:29:39,107051.1400,1
NKH9,11:37:00,110555.0000,15
NKH9,11:40:33,115122.8000,1
NKH9,11:52:16,105314.1500,3
NKH9,11:52:16,110857.0000,1
NKH9,11:52:16,105314.1500,1
NKH9,11:52:17,108639.8600,1
NKH9,11:52:17,109748.4300,3
NKH9,11:52:17,116473.3500,1
NKH9,11:52:17,115348.4800,1
NKH9,11:52:17,109802.8800,1
NKH9,11:52:17,116441.8500,1
NKH9,11:52:34,113196.5400,1
NKH9,11:52:35,109874.1600,1
NKH9,11:53:24,115440.0000,1
NKH9,11:53:25,105450.0000,1
NKH9,11:53:38,112110.0000,1
NKH9,11:54:18,116550.0000,1
NKH9,11:54:51,108780.0000,1
NKH9,11:55:05,114330.0000,1
NKH9,11:55:12,105450.0000,1
NKH9,12:11:22,116347.3500,1
NKH9,12:11:22,116367.3000,1
NKH9,12:11:37,105212.5000,1
NKH9,12:18:15,115434.8000,1
NKH9,12:18:19,112110.0000,1
NKH9,12:32:04,113003.7600,1
NKH9,12:35:29,111825.1800,1
NKH9,12:43:22,109827.6300,1
NKH9,12:45:02,115374.4800,1
