SECID,TRADETIME,PRICE,QUANTITY
NMH9,19:07:57,15331.5500,1
NMH9,19:54:24,15005.5700,1
NMH9,22:16:09,15153.1200,2
NMH9,22:16:09,15154.1400,1
NMH9,22:16:09,14421.9600,1
NMH9,22:16:09,14723.2800,2
NMH9,22:16:09,15177.6000,5
NMH9,22:16:09,15332.5800,2
NMH9,22:16:09,14291.5200,1
NMH9,22:16:09,15043.9500,2
NMH9,22:16:09,14450.0900,2
NMH9,22:16:09,14758.9200,2
NMH9,22:16:09,14919.0000,2
NMH9,22:16:09,15087.3800,1
NMH9,22:16:09,15088.3900,2
NMH9,22:18:18,14253.1200,1
NMH9,22:18:18,14842.0000,2
NMH9,22:18:18,14237.7600,2
NMH9,22:25:55,15326.4000,1
NMH9,22:25:55,15478.3200,1
NMH9,23:28:48,15477.2800,1
NMH9,23:29:00,14584.3600,1
NMH9,23:40:01,15626.1000,3
NMH9,10:00:22,14811.0000,1
NMH9,10:06:08,14207.0400,3
NMH9,10:06:08,14356.0000,3
NMH9,10:06:08,15393.0400,2
NMH9,10:14:22,15451.2800,1
NMH9,10:14:36,15017.6900,1
NMH9,10:35:44,14304.9600,2
NMH9,10:51:57,15498.0800,1
NMH9,10:53:47,15349.0600,2
NMH9,11:39:42,14285.7600,2
NMH9,11:42:09,14285.7600,2
NMH9,11:43:58,14284.8000,1
NMH9,11:44:48,15028.8000,1
NMH9,12:10:04,14543.2000,2
NMH9,12:10:04,14680.7100,2
NMH9,12:10:05,15426.3200,3
NMH9,12:10:05,14382.1900,1
NMH9,12:18:35,15624.0000,6
NMH9,12:24:23,14151.2000,3
NMH9,12:40:27,14404.5000,2
NMH9,13:19:25,15628.2000,2
NMH9,13:19:25,14139.8000,2
NMH9,13:19:31,14438.4500,1
NMH9,13:21:31,14298.2400,1
NMH9,13:21:31,14453.0000,2
NMH9,13:39:51,14301.1200,2
NMH9,13:43:06,14900.0000,2
NMH9,14:09:31,15043.9500,2
NMH9,15:22:33,14879.0000,1
NMH9,15:45:04,14433.6000,1
NMH9,16:46:45,15181.6800,3
NMH9,16:46:45,14735.1600,1
NMH9,16:47:14,14288.6400,3
NMH9,16:47:14,15181.6800,3
NMH9,16:49:42,15330.5200,2
NMH9,16:49:42,15326.4000,20
NMH9,16:49:42,14880.0000,3
NMH9,16:49:42,14433.6000,3
NMH9,16:49:42,14136.0000,3
NMH9,16:49:42,15028.8000,3
NMH9,16:51:44,15177.6000,2
NMH9,16:51:44,14284.8000,20
NMH9,16:51:44,14430.6900,1
NMH9,16:51:44,15018.7000,7
NMH9,16:51:44,14870.0000,3
NMH9,16:51:44,15167.4000,3
NMH9,16:51:44,14275.2000,3
NMH9,16:51:44,15613.5000,24
NMH9,16:51:44,14870.0000,22
NMH9,16:51:44,15464.8000,2
NMH9,16:57:37,15018.7000,19
NMH9,16:59:57,14455.9100,2
NMH9,16:59:57,15500.1600,2
NMH9,16:59:57,15354.2100,1
NMH9,16:59:57,15216.3600,2
NMH9,16:59:57,14768.8200,45
NMH9,16:59:57,14472.4000,8
NMH9,17:00:14,15655.5000,16
NMH9,17:52:51,14344.3200,3
NMH9,17:52:51,15689.1000,3
NMH9,17:52:51,14493.7400,3
NMH9,17:55:52,14942.0000,1
NMH9,17:59:03,14798.5200,2
NMH9,18:09:12,15554.2400,1
NMH9,18:13:43,15114.6500,1
NMH9,18:14:00,14666.6800,1
NMH9,18:18:34,14377.9200,1
NMH9,18:18:34,14230.0500,1
NMH9,18:18:34,14535.4500,1
NMH9,18:21:58,14835.1500,2
NMH9,18:21:58,14835.1500,7
NMH9,18:22:56,15136.8700,1
NMH9,18:27:58,15434.5500,1
NMH9,18:33:28,14835.1500,3
NMH9,18:33:28,14535.4500,3
NMH9,18:33:28,14385.6000,3
NMH9,18:33:53,14535.4500,1
NMH9,19:54:33,15657.0000,2
NMH9,19:54:36,15187.2900,2
NMH9,19:54:37,15500.4300,2
NMH9,19:54:46,15958.9200,2
NMH9,19:54:46,14863.7000,2
NMH9,19:54:46,15645.0000,2
NMH9,19:54:46,15484.5900,1
NMH9,19:55:21,16417.8000,2
