SECID,TRADETIME,PRICE,QUANTITY
OVH9,19:45:03,9905.0000,23
OVH9,10:47:14,10092.9000,1
OVH9,11:00:52,9696.1200,5
OVH9,15:11:11,10284.5600,2
OVH9,18:13:55,9677.5000,5
OVH9,18:29:32,9486.7200,5
OVH9,18:39:01,10270.0000,5
OVH9,11:39:57,9999.0600,5
OVH9,12:00:56,9700.0200,5
OVH9,12:02:43,9398.4000,31
OVH9,12:02:50,9300.5000,50
OVH9,12:03:44,9790.0000,25
OVH9,12:04:11,9887.9000,50
OVH9,15:53:05,10276.3500,5
OVH9,16:43:23,9782.0000,5
OVH9,17:02:03,9285.3000,4
OVH9,17:05:58,9287.2000,2
OVH9,17:06:06,9289.1000,1
OVH9,17:25:38,9867.7000,3
OVH9,17:38:47,10161.8400,5
OVH9,18:31:32,9491.4500,1
OVH9,11:52:52,9382.0800,3
OVH9,15:43:46,9485.6300,5
OVH9,15:48:32,9398.4000,5
OVH9,15:55:53,9790.0000,5
OVH9,15:59:13,9790.0000,5
OVH9,16:03:03,10279.5000,5
OVH9,16:06:23,9985.8000,10
OVH9,16:21:06,9887.9000,5
OVH9,16:24:06,9594.2000,5
OVH9,16:27:58,9790.0000,5
OVH9,16:34:27,9591.2600,5
OVH9,16:41:14,9887.9000,5
OVH9,16:53:08,10279.5000,5
OVH9,17:03:03,9593.2200,3
OVH9,17:05:19,9594.2000,5
OVH9,17:11:21,10178.4800,5
