SECID,TRADETIME,PRICE,QUANTITY
OVM9,21:17:43,9434.8800,1
OVM9,21:18:33,10024.5600,1
OVM9,15:51:36,9987.0000,5
OVM9,15:13:40,9898.0000,1
OVM9,15:41:38,9620.4600,2
OVM9,15:41:38,9512.6400,1
OVM9,15:41:38,10304.3200,7
OVM9,15:53:49,10220.6900,1
OVM9,15:53:49,10418.1000,1
OVM9,15:53:49,9515.5200,3
OVM9,15:55:17,10403.0000,1
OVM9,15:58:03,9924.0000,2
OVM9,15:58:03,10022.2300,2
OVM9,15:58:03,9415.4500,1
OVM9,16:02:04,10020.2100,2
OVM9,16:02:04,10019.2000,2
OVM9,16:02:04,9715.7200,1
OVM9,16:06:00,9433.5000,9
OVM9,16:06:00,9531.8400,1
OVM9,16:20:16,9452.5000,5
OVM9,16:23:19,10458.0000,5
OVM9,16:27:26,9760.8000,5
OVM9,16:35:18,10248.5000,5
OVM9,16:41:07,9452.5000,5
OVM9,16:52:29,10049.5000,5
OVM9,17:03:40,10348.0000,5
OVM9,17:11:55,9444.9000,5
