SECID,TRADETIME,PRICE,QUANTITY
OXH9,16:53:34,9781.4800,1
OXH9,16:53:34,10283.6400,5
OXH9,17:48:35,10480.0800,1
OXH9,17:49:08,10077.0000,1
OXH9,10:14:49,9984.1500,5
OXH9,10:14:49,9912.7000,28
OXH9,11:21:48,10073.0000,4
OXH9,12:29:45,9755.2900,5
OXH9,12:30:33,10053.0000,5
OXH9,12:47:46,9843.1200,2
OXH9,16:13:37,9549.4000,5
OXH9,16:13:37,9752.3800,195
OXH9,17:18:59,9942.5700,1
OXH9,17:21:11,10342.2300,3
OXH9,17:39:26,9634.5600,1
OXH9,17:39:31,9834.3000,1
OXH9,17:54:59,10342.2300,5
OXH9,17:55:36,9739.7700,3
OXH9,17:57:23,10241.8200,21
OXH9,10:30:12,10554.6000,5
OXH9,11:52:52,9750.4400,5
OXH9,12:50:59,9757.2300,1
OXH9,12:50:59,10563.0000,5
OXH9,12:51:18,9657.6000,13
OXH9,12:52:33,9551.3000,5
OXH9,12:53:20,10552.5000,4
OXH9,14:58:15,10357.6800,5
OXH9,14:58:55,9955.4400,1
OXH9,16:08:29,9751.4100,1
