SECID,TRADETIME,PRICE,QUANTITY
PDM9,12:53:24,1221.0800,1
PDM9,16:29:25,1314.2955,100
PDM9,16:30:14,1205.9904,100
PDM9,16:59:24,1277.9631,100
PDM9,18:34:00,1254.4000,1
PDM9,19:16:09,1368.9998,3
PDM9,10:00:09,1421.0000,1
PDM9,10:07:26,1399.1460,1
PDM9,10:18:59,1386.3725,1
PDM9,10:25:32,1401.4980,1
PDM9,10:30:47,1460.8236,1
PDM9,10:32:09,1449.6631,1
PDM9,10:33:33,1420.9569,1
PDM9,10:35:06,1464.5262,1
PDM9,10:36:52,1368.0000,1
PDM9,10:38:08,1370.7550,1
PDM9,10:40:09,1430.1936,4
PDM9,10:47:08,1410.7100,1
PDM9,11:10:12,1482.6850,1
PDM9,12:06:01,1493.1601,1
PDM9,12:17:35,1522.5000,1
PDM9,12:17:35,1392.0000,7
PDM9,12:25:13,1377.5000,3
PDM9,12:25:13,1496.9093,97
PDM9,13:01:10,1388.0160,1
PDM9,13:04:40,1402.4745,5
PDM9,13:08:59,1518.1425,1
PDM9,13:53:40,1384.1664,5
PDM9,16:12:27,1428.5700,1
PDM9,16:12:27,1370.8500,1
PDM9,16:30:23,1484.3227,1
PDM9,16:38:01,1412.2682,1
PDM9,17:09:40,1427.1900,1
PDM9,17:12:14,1355.8305,1
PDM9,17:12:31,1484.2776,1
PDM9,17:32:53,1490.5645,1
PDM9,17:33:02,1447.1500,1
PDM9,17:34:39,1490.2555,3
PDM9,17:35:06,1388.9760,5
PDM9,21:21:20,1374.7925,1
PDM9,10:02:40,1509.0816,5
PDM9,10:04:23,1513.3872,1
PDM9,10:55:55,1408.4400,1
PDM9,10:55:55,1495.7042,2
PDM9,11:20:09,1455.1800,6
PDM9,11:22:19,1384.5585,7
PDM9,13:43:34,1428.3108,1
PDM9,13:46:42,1516.6736,1
PDM9,14:05:55,1458.1000,2
PDM9,14:21:13,1386.6580,1
PDM9,14:29:33,1431.0352,8
PDM9,14:46:12,1447.3701,1
PDM9,16:38:41,1420.8824,100
PDM9,16:38:41,1383.4470,4
