SECID,TRADETIME,PRICE,QUANTITY
PTH9,19:08:21,770.5450,1
PTH9,19:08:34,778.6560,1
PTH9,19:12:24,811.0000,2
PTH9,19:13:13,843.4400,1
PTH9,19:14:28,794.7800,1
PTH9,19:17:58,835.6390,1
PTH9,19:27:26,827.7300,1
PTH9,19:30:41,778.8480,1
PTH9,19:32:09,811.3000,1
PTH9,19:32:13,803.3850,1
PTH9,19:34:57,770.9250,1
PTH9,19:35:40,819.9180,1
PTH9,19:35:40,795.7600,1
PTH9,19:35:40,795.7600,1
PTH9,19:36:34,844.2720,1
PTH9,19:37:06,803.8800,1
PTH9,19:37:10,836.6690,1
PTH9,19:38:27,788.1250,1
PTH9,19:38:27,796.2500,1
PTH9,19:39:06,787.7370,1
PTH9,19:43:48,771.9700,1
PTH9,19:44:45,803.0880,2
PTH9,19:52:41,787.6400,1
PTH9,19:54:21,811.5000,1
PTH9,20:00:29,795.9560,2
PTH9,20:07:28,795.7600,1
PTH9,20:07:48,812.0000,1
PTH9,20:11:10,795.7600,1
PTH9,20:12:37,844.4800,1
PTH9,20:15:59,852.6000,1
PTH9,20:17:31,771.4000,6
PTH9,20:17:57,787.6400,1
PTH9,20:17:57,844.4800,1
PTH9,20:17:57,812.0000,1
PTH9,20:17:57,828.2400,1
PTH9,20:17:57,852.6000,1
PTH9,20:17:57,771.4000,1
PTH9,20:17:57,836.3600,1
PTH9,20:17:57,779.5200,1
PTH9,20:17:57,836.3600,1
PTH9,20:18:02,779.5200,6
PTH9,20:18:02,787.6400,2
PTH9,20:23:10,851.0250,1
PTH9,20:29:22,826.7100,4
PTH9,20:51:12,785.8940,1
PTH9,20:52:30,793.9960,1
PTH9,20:52:30,769.5000,1
PTH9,20:52:59,786.3790,1
PTH9,20:55:50,802.7910,1
PTH9,21:03:46,843.3360,1
PTH9,21:03:47,843.3360,1
PTH9,21:03:48,819.1100,1
PTH9,21:04:58,843.8560,1
PTH9,21:07:02,770.9250,1
PTH9,21:12:26,819.7160,2
PTH9,21:13:13,795.2700,1
PTH9,21:16:29,852.2850,1
PTH9,21:20:38,779.5200,2
PTH9,21:27:39,835.8450,1
PTH9,21:28:22,811.5000,2
PTH9,21:28:35,803.1870,2
PTH9,21:28:56,795.1720,2
PTH9,21:28:58,835.0210,1
PTH9,21:32:32,826.8120,2
PTH9,21:33:28,834.9180,1
PTH9,21:56:19,819.1100,2
PTH9,21:56:19,827.2200,1
PTH9,22:55:14,851.4450,1
PTH9,23:05:20,843.4400,1
PTH9,23:15:25,802.8900,1
PTH9,23:24:40,835.5360,1
PTH9,23:34:19,835.7420,1
PTH9,23:34:36,803.2860,1
PTH9,10:00:59,771.3050,1
PTH9,10:04:14,836.3600,1
PTH9,10:04:45,836.8750,1
PTH9,10:06:52,820.8270,1
PTH9,10:08:09,845.4160,1
PTH9,10:08:23,845.5200,1
PTH9,10:08:23,780.4800,1
PTH9,10:08:23,837.3900,1
PTH9,10:09:15,853.8600,1
PTH9,10:09:15,805.1670,1
PTH9,10:09:16,781.1520,2
PTH9,10:09:16,854.7000,2
PTH9,10:09:16,830.2800,1
PTH9,10:09:17,853.5450,2
PTH9,10:09:58,854.7000,1
PTH9,10:09:58,781.4400,1
PTH9,10:09:58,805.8600,1
PTH9,10:09:58,814.0000,1
PTH9,10:09:58,846.6640,1
PTH9,10:16:10,829.8720,1
PTH9,10:16:50,797.6220,1
PTH9,10:17:04,830.0760,1
PTH9,10:18:01,781.2480,1
PTH9,10:20:08,780.7680,1
PTH9,10:21:04,780.3840,1
PTH9,10:26:34,854.1750,1
PTH9,10:26:34,789.1920,1
PTH9,10:26:34,797.4260,2
PTH9,10:29:43,805.1670,2
PTH9,10:46:55,797.0340,1
PTH9,10:54:57,845.6240,1
PTH9,10:54:57,837.3900,1
PTH9,10:56:26,853.9650,1
PTH9,10:56:38,771.9700,1
PTH9,10:57:03,853.4400,1
PTH9,10:59:12,837.5960,1
PTH9,10:59:26,837.5960,1
PTH9,10:59:37,780.6720,1
PTH9,10:59:51,772.9200,1
PTH9,11:04:55,853.8600,1
PTH9,11:05:09,781.0560,14
PTH9,11:05:15,805.0680,1
PTH9,11:05:27,853.8600,1
PTH9,11:06:03,813.4000,1
PTH9,11:06:11,837.8020,1
