SECID,TRADETIME,PRICE,QUANTITY
RIM9,19:10:06,117910.0000,1
RIM9,19:10:09,111995.5000,1
RIM9,19:23:29,115414.6000,1
RIM9,19:25:25,113193.6000,1
RIM9,19:40:06,115640.0000,2
RIM9,19:40:06,120360.0000,2
RIM9,19:40:08,121540.0000,1
RIM9,19:40:09,123900.0000,1
RIM9,19:40:09,113280.0000,1
RIM9,19:49:15,120411.0000,1
RIM9,19:49:45,116919.0000,1
RIM9,19:49:45,120462.0000,2
RIM9,19:49:45,115738.0000,2
RIM9,19:50:22,116968.5000,1
RIM9,20:20:08,122501.6000,1
RIM9,22:44:03,115640.0000,1
RIM9,22:46:20,112195.0000,5
RIM9,22:46:24,119281.0000,1
RIM9,22:46:24,122824.0000,1
RIM9,22:46:24,119281.0000,1
RIM9,22:46:27,116919.0000,11
RIM9,22:46:31,113376.0000,1
RIM9,23:13:34,118100.0000,1
RIM9,23:13:37,116919.0000,1
RIM9,23:36:38,120411.0000,1
RIM9,23:37:29,119180.0000,1
RIM9,10:00:00,121704.8000,4
RIM9,10:00:00,114702.5000,5
RIM9,10:00:00,121797.5000,4
RIM9,10:00:00,122980.0000,5
RIM9,10:00:00,122980.0000,1
RIM9,10:00:35,122003.5000,1
RIM9,10:00:52,114702.5000,1
RIM9,10:01:17,113520.0000,1
RIM9,10:01:46,124162.5000,1
RIM9,10:02:12,122980.0000,1
RIM9,10:03:12,118250.0000,1
RIM9,10:03:19,119382.0000,1
RIM9,10:03:23,117018.0000,1
RIM9,10:04:17,119442.6000,1
RIM9,10:04:18,117077.4000,1
RIM9,10:04:22,119442.6000,1
RIM9,10:06:10,120625.2000,1
RIM9,10:06:10,118260.0000,1
RIM9,10:06:17,122990.4000,1
RIM9,10:06:18,118260.0000,2
RIM9,10:11:03,112337.5000,1
RIM9,10:11:45,120564.0000,1
RIM9,10:13:42,113481.6000,1
RIM9,10:14:19,112423.0000,1
RIM9,10:33:15,116919.0000,1
RIM9,10:33:15,120462.0000,1
RIM9,10:33:27,122813.6000,1
RIM9,10:37:29,121540.0000,1
RIM9,10:37:30,115640.0000,1
RIM9,10:38:30,115640.0000,2
RIM9,10:50:49,120268.2000,1
RIM9,10:51:22,118010.0000,1
RIM9,10:54:55,114382.4000,1
RIM9,11:42:40,115561.6000,1
RIM9,11:56:45,115591.0000,1
RIM9,12:02:31,123984.0000,2
RIM9,12:06:45,115444.0000,2
RIM9,12:06:45,115444.0000,1
RIM9,12:06:45,117840.0000,1
RIM9,12:06:45,113088.0000,1
RIM9,12:06:45,116622.0000,1
RIM9,12:06:45,120156.0000,1
RIM9,12:06:45,123690.0000,1
RIM9,12:07:00,114266.0000,1
RIM9,12:07:00,123690.0000,1
RIM9,12:07:00,113088.0000,1
RIM9,12:07:20,122512.0000,1
RIM9,12:07:55,116572.5000,1
RIM9,12:08:20,121128.0000,2
RIM9,12:12:42,112886.4000,1
RIM9,12:12:50,118776.0000,1
RIM9,12:15:37,114130.2000,1
RIM9,12:15:37,115306.8000,1
RIM9,12:21:29,116582.4000,1
RIM9,12:31:53,122262.4000,1
RIM9,12:39:45,116602.2000,1
RIM9,12:48:43,121210.4000,1
RIM9,12:59:34,111653.5000,1
RIM9,12:59:55,121025.0000,1
RIM9,12:59:55,113975.0000,1
RIM9,13:15:16,123375.0000,1
RIM9,15:01:11,113839.2000,3
RIM9,15:01:22,123112.5000,1
RIM9,15:02:01,113654.9000,1
RIM9,15:15:30,119758.2000,1
RIM9,15:16:54,117400.0000,1
RIM9,15:45:46,119605.2000,1
RIM9,16:10:26,119829.6000,1
RIM9,16:39:18,121303.1000,1
RIM9,16:40:01,114314.5000,1
RIM9,16:40:01,123742.5000,2
RIM9,16:40:01,116671.5000,1
RIM9,16:40:01,115493.0000,2
RIM9,16:40:02,115493.0000,1
RIM9,16:40:02,123742.5000,1
RIM9,16:40:02,111957.5000,2
RIM9,17:29:31,115287.2000,1
RIM9,17:50:20,116760.6000,1
RIM9,18:05:54,120207.0000,1
RIM9,18:30:08,123837.0000,1
RIM9,18:31:30,114411.5000,2
