SECID,TRADETIME,PRICE,QUANTITY
RNH9,19:05:00,43286.2500,5
RNH9,19:05:00,41217.0000,1
RNH9,19:05:00,42865.6800,1
RNH9,19:05:00,42865.6800,2
RNH9,19:05:00,42453.5100,1
RNH9,19:05:00,41629.1700,1
RNH9,19:05:01,41212.0000,1
RNH9,19:05:01,42859.4400,2
RNH9,19:05:01,41211.0000,1
RNH9,19:05:02,40386.7800,1
RNH9,19:05:02,39974.6700,2
RNH9,19:05:02,39150.4500,1
RNH9,19:05:03,39149.5000,3
RNH9,19:05:03,39150.4500,3
RNH9,19:05:03,42859.4400,1
RNH9,19:05:03,42035.2200,1
RNH9,19:05:03,41211.0000,1
RNH9,19:05:03,42031.1400,1
RNH9,19:05:04,39558.7200,3
RNH9,19:05:04,43267.3500,3
RNH9,19:05:04,42855.2800,6
RNH9,19:05:04,40382.8600,1
RNH9,19:05:04,41623.1100,3
RNH9,19:05:04,42437.0300,7
RNH9,19:05:04,39552.0000,2
RNH9,19:05:04,42844.8800,2
RNH9,19:05:04,40782.0600,1
RNH9,19:05:04,40369.1400,3
RNH9,19:05:04,39957.2100,3
RNH9,19:05:05,41191.0000,5
RNH9,19:05:05,41190.0000,2
RNH9,19:05:05,40364.2400,1
RNH9,19:05:06,42825.1200,1
RNH9,19:05:06,39119.1000,2
RNH9,19:05:06,39942.6600,1
RNH9,19:05:06,39942.6600,3
RNH9,19:05:06,42001.5600,3
RNH9,19:05:06,40766.2200,3
RNH9,19:05:06,42413.3400,3
RNH9,19:05:06,42001.5600,1
RNH9,19:05:07,40766.2200,1
RNH9,19:05:12,39530.8800,1
RNH9,19:05:14,39530.8800,2
RNH9,19:05:23,42415.4000,3
RNH9,19:05:23,43239.0000,1
RNH9,19:05:23,42827.2000,1
RNH9,19:05:23,41591.8000,2
RNH9,19:05:37,39162.8000,3
RNH9,19:05:41,41637.2500,1
RNH9,19:05:45,40812.7500,1
RNH9,19:05:46,42461.7500,1
RNH9,19:05:46,42904.1600,1
RNH9,19:05:57,40053.2400,1
RNH9,19:05:57,40466.1600,7
RNH9,19:05:57,43356.6000,5
RNH9,19:05:59,42483.3800,2
RNH9,19:06:00,40405.4000,1
RNH9,19:06:01,42469.9900,1
RNH9,19:06:01,42882.3200,1
RNH9,19:06:06,40820.6700,2
RNH9,19:06:11,42048.4800,3
RNH9,19:06:11,43275.7500,1
RNH9,19:06:11,41215.0000,2
RNH9,19:06:11,39566.4000,1
RNH9,19:06:12,41215.0000,3
RNH9,19:06:12,42863.6000,1
RNH9,19:06:12,39154.2500,3
RNH9,19:06:12,42451.4500,1
RNH9,19:06:28,42867.7600,1
RNH9,19:06:28,39158.0500,3
RNH9,19:06:28,42866.7200,1
RNH9,19:06:37,42844.8800,1
RNH9,19:06:39,41197.0000,1
RNH9,19:06:42,42020.9400,2
RNH9,19:06:47,39549.1200,2
RNH9,19:06:52,42851.1200,1
RNH9,19:06:52,42027.0600,1
RNH9,19:06:53,43263.1500,1
RNH9,19:06:53,43263.1500,1
RNH9,19:06:53,41203.0000,1
RNH9,19:06:53,42027.0600,1
RNH9,19:06:53,42027.0600,1
RNH9,19:06:53,42851.1200,1
RNH9,19:07:01,43273.6500,1
RNH9,19:07:01,41213.0000,1
RNH9,19:07:32,42043.3800,1
RNH9,19:07:32,39982.4300,2
RNH9,19:07:34,39158.0500,1
RNH9,19:07:40,42456.6000,1
RNH9,19:07:43,39159.0000,3
RNH9,19:07:43,42043.3800,12
RNH9,19:07:43,41627.1500,1
RNH9,19:07:43,42036.2400,2
RNH9,19:07:51,39533.7600,1
RNH9,19:08:03,42013.8000,1
RNH9,19:08:04,42425.7000,1
RNH9,19:08:04,42004.6200,1
RNH9,19:08:04,43239.0000,1
RNH9,19:08:06,39111.5000,1
RNH9,19:08:08,40341.7000,4
RNH9,19:08:08,41165.0000,1
RNH9,19:08:11,40753.3500,1
RNH9,19:08:15,39513.6000,1
RNH9,19:08:17,41156.0000,1
RNH9,19:08:24,39099.1500,1
RNH9,19:08:30,43222.2000,11
RNH9,19:08:31,41987.2800,1
RNH9,19:08:32,39099.1500,1
RNH9,19:08:35,39105.8000,3
RNH9,19:08:55,42877.1200,3
RNH9,19:08:55,41640.2800,3
RNH9,19:08:55,40815.7200,7
RNH9,19:09:14,39937.8100,1
RNH9,19:09:22,42392.7400,1
RNH9,19:09:23,41981.1600,2
RNH9,19:09:24,42391.7100,1
RNH9,19:09:40,40333.8600,1
RNH9,19:09:41,39916.4700,1
RNH9,19:10:03,41560.4900,2
RNH9,19:10:25,42373.1700,6
RNH9,19:10:35,39499.2000,3
RNH9,19:10:42,42370.0800,2
RNH9,19:10:49,42366.9900,3
RNH9,19:10:49,39899.0100,1
RNH9,19:10:49,42775.2000,1
RNH9,19:10:51,40297.6000,4
RNH9,19:10:51,39064.0000,1
RNH9,19:10:54,39068.7500,1
RNH9,19:10:55,41125.0000,1
RNH9,19:10:56,43174.9500,3
RNH9,19:10:56,39885.4300,5
RNH9,19:11:05,40302.5000,1
RNH9,19:11:19,43174.9500,2
RNH9,19:11:20,40290.7400,5
RNH9,19:11:21,42751.2800,1
RNH9,19:11:26,42753.3600,1
RNH9,19:11:36,43156.0500,1
RNH9,19:11:36,39452.1600,1
RNH9,19:11:36,41506.9600,1
RNH9,19:11:48,41904.6600,3
RNH9,19:11:48,39439.6800,3
RNH9,19:11:50,42319.6100,1
RNH9,19:12:01,40684.0500,1
RNH9,19:12:02,42751.2800,1
RNH9,19:12:05,41916.9000,1
RNH9,19:12:05,39451.2000,1
RNH9,19:12:09,43146.6000,1
RNH9,19:12:10,42735.6800,1
RNH9,19:12:10,40270.1600,1
RNH9,19:12:54,39042.1500,1
RNH9,19:13:05,41518.0700,1
RNH9,19:13:20,39460.8000,1
RNH9,19:13:21,39461.7600,3
RNH9,19:13:50,39050.7000,1
RNH9,19:13:54,42751.2800,1
RNH9,19:13:57,41518.0700,1
RNH9,19:14:14,41526.1500,1
RNH9,19:14:19,42768.9600,1
RNH9,19:14:21,41969.9400,1
RNH9,19:14:37,41566.5500,2
RNH9,19:14:53,40324.0600,1
RNH9,19:14:55,41969.9400,1
RNH9,19:14:58,42390.6800,1
RNH9,19:14:59,42390.6800,1
RNH9,19:15:02,41157.0000,1
RNH9,19:15:03,43215.9000,1
RNH9,19:15:04,41570.5900,2
RNH9,19:17:54,39915.5000,1
RNH9,19:17:54,43207.5000,1
RNH9,19:19:28,41140.0000,5
RNH9,19:20:33,41547.3600,1
RNH9,19:20:33,42744.0000,1
RNH9,19:20:33,41067.0000,2
RNH9,19:20:33,43117.2000,2
RNH9,19:20:33,41060.0000,7
RNH9,19:20:33,41470.6000,2
RNH9,19:20:33,39828.2000,3
RNH9,19:20:33,39825.2900,2
RNH9,19:20:33,40639.5000,1
RNH9,19:20:33,40639.5000,1
RNH9,19:20:34,43097.2500,7
RNH9,19:20:34,42276.3500,1
RNH9,19:20:34,41455.4500,2
RNH9,19:21:02,41052.0000,3
RNH9,19:21:39,41474.6400,2
RNH9,19:21:41,42289.7400,3
RNH9,19:21:41,41879.1600,1
RNH9,19:21:52,41882.2200,1
RNH9,19:22:38,39839.8400,5
RNH9,19:23:01,39839.8400,1
RNH9,19:23:01,40250.5600,1
RNH9,19:25:11,42345.3600,1
RNH9,19:25:16,42756.4800,1
RNH9,19:25:35,41104.0000,2
RNH9,19:25:36,41515.0400,1
RNH9,19:26:17,42328.8800,1
RNH9,19:26:22,41506.9600,1
RNH9,19:27:12,39452.1600,1
RNH9,19:27:27,39041.2000,1
RNH9,19:27:33,40685.0400,1
RNH9,19:28:53,41100.0000,1
RNH9,19:28:55,39456.0000,1
RNH9,19:28:59,40690.9800,1
RNH9,19:28:59,42746.0800,2
RNH9,19:35:00,39049.7500,1
RNH9,19:35:00,42748.1600,1
RNH9,19:35:00,41103.0000,2
RNH9,19:35:00,41922.0000,1
RNH9,19:35:00,41908.7400,2
RNH9,19:35:10,41488.7800,2
RNH9,19:35:10,40254.4800,2
RNH9,19:35:10,39834.0200,2
RNH9,19:35:10,43108.8000,4
RNH9,19:35:10,40645.4400,1
RNH9,19:35:10,42697.2000,1
RNH9,19:35:10,39409.9200,6
RNH9,19:35:10,41873.0400,2
RNH9,19:35:10,40636.5300,1
RNH9,19:35:10,41863.8600,2
RNH9,19:35:10,42684.7200,1
RNH9,19:35:10,41043.0000,2
RNH9,19:35:15,41043.0000,12
RNH9,19:40:37,39476.1600,1
RNH9,19:42:44,41126.0000,1
RNH9,19:42:44,42774.1600,2
RNH9,19:42:46,40312.3000,1
RNH9,19:42:46,40723.6500,1
RNH9,19:42:46,40313.2800,1
RNH9,19:42:49,42370.0800,1
RNH9,19:42:51,39494.4000,1
RNH9,19:42:51,40738.5000,1
RNH9,19:42:51,40327.0000,3
RNH9,19:49:45,42786.6400,1
RNH9,19:49:45,42787.6800,1
RNH9,19:49:45,39096.3000,2
RNH9,19:50:13,39499.2000,1
RNH9,19:52:16,41565.5400,2
RNH9,19:52:16,41566.5500,3
RNH9,19:54:43,39916.4700,1
RNH9,19:55:50,43204.3500,1
RNH9,19:55:50,39506.8800,2
RNH9,19:55:50,39920.3500,2
RNH9,19:55:51,39508.8000,2
RNH9,19:57:15,40708.8000,1
RNH9,19:57:15,40700.8800,2
RNH9,19:57:15,39466.5600,2
RNH9,20:01:01,42375.2300,1
RNH9,20:01:15,39493.4400,1
RNH9,20:04:28,40722.6600,1
RNH9,20:04:33,40722.6600,1
RNH9,20:05:07,43183.3500,1
RNH9,20:05:14,40309.3600,1
RNH9,20:06:17,42339.1800,1
RNH9,20:09:58,41511.0000,1
RNH9,20:09:58,43155.0000,2
RNH9,20:10:59,39874.7600,3
RNH9,20:16:03,41096.0000,2
RNH9,20:30:26,39865.0600,1
RNH9,20:33:17,39514.5600,1
RNH9,20:33:17,39517.4400,1
RNH9,20:33:19,39456.0000,1
RNH9,20:34:52,43119.3000,2
RNH9,20:38:58,41090.0000,2
RNH9,20:40:44,42307.2500,1
RNH9,20:51:42,40666.2300,1
RNH9,20:51:42,41897.5200,1
RNH9,20:51:42,42716.9600,2
RNH9,20:52:25,41484.7400,1
RNH9,20:52:25,41484.7400,2
RNH9,20:55:22,39417.6000,1
RNH9,20:56:31,42291.8000,1
RNH9,20:56:31,39006.0500,1
RNH9,20:59:41,39417.6000,3
RNH9,21:05:09,42303.1300,1
RNH9,21:05:11,41904.6600,2
RNH9,21:05:13,42321.6700,1
RNH9,21:05:13,42322.7000,1
RNH9,21:07:01,40687.0200,1
RNH9,21:09:34,41096.0000,1
RNH9,21:12:07,40256.4400,1
RNH9,21:12:07,42724.2400,1
RNH9,21:12:07,40670.1900,1
RNH9,21:12:56,39026.0000,1
RNH9,21:14:20,41906.7000,1
RNH9,21:14:20,39441.6000,1
RNH9,21:18:57,40274.0800,1
RNH9,21:19:11,41096.0000,1
RNH9,21:20:55,41506.9600,1
RNH9,21:21:15,39052.6000,1
RNH9,21:21:15,41109.0000,4
RNH9,21:22:40,39875.7300,1
RNH9,21:22:50,39052.6000,1
RNH9,21:22:50,39053.5500,2
RNH9,21:30:44,39437.7600,1
RNH9,21:30:45,39052.6000,1
RNH9,21:33:49,43163.4000,1
RNH9,21:33:49,43164.4500,3
RNH9,21:37:11,43218.0000,1
RNH9,21:37:11,41984.2200,1
RNH9,21:37:11,40341.7000,2
RNH9,21:37:11,42400.9800,1
RNH9,21:41:09,41151.0000,1
RNH9,21:43:13,41952.6000,1
RNH9,21:44:20,43198.0500,1
RNH9,21:48:18,43198.0500,1
RNH9,21:54:28,39477.1200,1
RNH9,21:54:28,39064.9500,2
RNH9,21:54:28,39064.0000,2
RNH9,21:55:16,39911.6200,1
RNH9,21:59:48,39885.4300,1
RNH9,22:03:04,40693.9500,8
RNH9,22:04:01,40282.9000,2
RNH9,22:12:15,39873.7900,1
RNH9,22:18:21,41129.0000,1
RNH9,22:18:21,41540.2900,4
RNH9,22:20:05,43164.4500,1
RNH9,22:21:56,43182.3000,1
RNH9,22:33:58,39054.5000,1
RNH9,22:35:56,39873.7900,3
RNH9,22:35:56,42750.2400,1
RNH9,22:35:56,40282.9000,11
RNH9,22:37:06,40317.2000,1
RNH9,22:37:06,42374.2000,1
RNH9,22:37:06,43202.2500,2
RNH9,22:38:11,41973.0000,1
RNH9,22:42:17,40334.8400,2
RNH9,22:42:17,41159.0000,1
RNH9,22:42:17,39513.6000,2
RNH9,22:44:02,41983.2000,1
RNH9,23:02:22,43214.8500,1
RNH9,23:07:06,41983.2000,1
RNH9,23:07:06,39117.2000,2
RNH9,23:11:15,39889.3100,2
RNH9,23:25:02,40354.4400,1
RNH9,23:26:00,39917.4400,1
RNH9,23:26:00,43203.3000,1
RNH9,23:28:47,39486.7200,1
RNH9,23:37:01,41144.0000,1
RNH9,23:37:01,42790.8000,1
RNH9,23:38:39,41955.6600,1
RNH9,23:42:22,40711.7700,2
RNH9,23:42:23,41123.0000,3
RNH9,23:42:30,40713.7500,1
RNH9,23:42:35,40301.5200,2
RNH9,23:42:42,40712.7600,1
RNH9,23:43:13,41123.0000,3
RNH9,23:43:13,40282.9000,3
RNH9,23:44:12,41118.0000,1
RNH9,23:44:13,41928.1200,1
RNH9,23:44:33,42770.0000,1
RNH9,23:44:53,42773.1200,1
RNH9,23:45:03,43165.5000,1
RNH9,23:45:41,41540.2900,2
RNH9,23:46:13,39888.3400,1
RNH9,23:46:14,39477.1200,2
RNH9,23:46:15,39889.3100,1
RNH9,23:46:33,39064.9500,1
RNH9,23:46:33,39065.9000,1
RNH9,23:46:33,43179.1500,1
RNH9,23:47:35,39480.9600,1
RNH9,23:47:35,39077.3000,1
RNH9,23:47:59,41134.0000,1
RNH9,23:48:01,42340.2100,1
RNH9,23:48:01,42750.2400,1
RNH9,23:48:48,41929.1400,1
RNH9,23:48:48,39461.7600,1
RNH9,23:48:48,39050.7000,2
RNH9,23:49:03,39461.7600,1
RNH9,23:49:30,42749.2000,1
RNH9,23:49:51,42750.2400,2
RNH9,10:00:00,42798.0800,1
RNH9,10:00:01,40810.7700,1
RNH9,10:00:01,42483.3800,1
RNH9,10:00:01,42483.3800,1
RNH9,10:00:01,42483.3800,1
RNH9,10:00:01,39540.4800,1
RNH9,10:00:01,41188.0000,1
RNH9,10:00:01,39540.4800,1
RNH9,10:00:01,39183.7000,2
RNH9,10:00:01,40833.5400,1
RNH9,10:00:05,39110.5500,1
RNH9,10:00:05,40788.0000,1
RNH9,10:00:06,43228.5000,3
RNH9,10:00:07,42035.2200,1
RNH9,10:00:07,39183.7000,1
RNH9,10:00:09,39561.6000,1
RNH9,10:00:10,42054.6000,1
RNH9,10:00:10,42484.4100,1
RNH9,10:00:11,42071.9400,1
RNH9,10:00:11,39195.1000,1
RNH9,10:00:11,41675.6300,1
RNH9,10:00:11,39612.4800,1
RNH9,10:00:11,40026.0800,1
RNH9,10:00:11,39580.8000,1
RNH9,10:00:14,40851.3600,1
RNH9,10:00:15,39614.4000,1
RNH9,10:00:15,39214.1000,1
RNH9,10:00:15,42937.4400,1
RNH9,10:00:15,42938.4800,1
RNH9,10:00:15,39145.7000,1
RNH9,10:00:16,41287.0000,1
RNH9,10:00:16,43365.0000,1
RNH9,10:00:17,43365.0000,1
RNH9,10:00:17,39982.4300,1
RNH9,10:00:17,39570.2400,1
RNH9,10:00:20,41631.1900,1
RNH9,10:00:20,39194.1500,1
RNH9,10:00:20,42082.1400,1
RNH9,10:00:21,39158.0500,2
RNH9,10:00:22,42083.1600,1
RNH9,10:00:22,39646.0800,1
RNH9,10:00:22,42126.0000,1
RNH9,10:00:22,39235.0000,1
RNH9,10:00:25,41298.0000,1
RNH9,10:00:25,43362.9000,1
RNH9,10:00:25,42949.9200,1
RNH9,10:00:27,39227.4000,2
RNH9,10:00:27,41270.0000,2
RNH9,10:00:29,39648.0000,1
RNH9,10:00:33,40466.1600,1
RNH9,10:00:33,41292.0000,2
RNH9,10:00:34,40887.0000,5
RNH9,10:00:35,41292.0000,2
RNH9,10:00:35,41704.9200,2
