SECID,TRADETIME,PRICE,QUANTITY
RTH9,19:12:31,7170.2400,3
RTH9,19:12:31,7685.8600,3
RTH9,19:12:31,7305.9000,3
RTH9,19:13:13,7706.4600,1
RTH9,19:13:59,7624.5000,3
RTH9,19:45:13,7303.9400,3
RTH9,19:46:08,7064.2000,3
RTH9,19:47:28,7064.2000,3
RTH9,19:47:41,7659.0800,3
RTH9,19:47:48,7064.2000,1
RTH9,19:47:48,7064.2000,1
RTH9,19:47:52,7510.3600,1
RTH9,19:47:52,7510.3600,1
RTH9,19:47:52,7138.5600,1
RTH9,19:47:53,7807.8000,1
RTH9,19:47:53,7064.2000,1
RTH9,19:47:53,7287.2800,1
RTH9,19:47:54,7212.9200,1
RTH9,19:47:54,7436.0000,1
RTH9,19:48:47,7158.7200,3
RTH9,19:49:04,7680.7100,3
RTH9,19:49:28,7755.2800,3
RTH9,19:49:34,7233.2900,3
RTH9,19:49:43,7681.7400,3
RTH9,19:49:51,7824.6000,1
RTH9,19:51:08,7752.1600,3
RTH9,19:52:39,7603.0800,3
RTH9,19:53:39,7294.1400,1
RTH9,19:54:00,7076.5500,3
RTH9,19:54:00,7076.5500,1
RTH9,19:54:00,7746.9600,1
RTH9,19:54:00,7597.9800,1
RTH9,19:54:00,7746.9600,1
RTH9,19:55:27,7740.7200,1
RTH9,19:55:27,7443.0000,1
RTH9,19:55:28,7219.7100,1
RTH9,19:56:07,7212.9200,1
RTH9,19:56:25,7066.1000,1
RTH9,19:56:26,7661.1400,1
RTH9,19:56:26,7140.4800,1
RTH9,19:56:28,7066.1000,3
RTH9,19:56:49,7809.9000,3
RTH9,19:56:55,7735.5200,1
RTH9,19:56:55,7512.3800,1
RTH9,19:56:55,7661.1400,1
RTH9,19:57:15,7304.9200,1
RTH9,19:57:38,7601.0400,3
RTH9,19:58:02,7601.0400,3
RTH9,19:58:08,7228.4400,3
RTH9,19:58:15,7452.0000,1
RTH9,19:58:15,7302.9600,1
RTH9,19:58:16,7452.0000,1
RTH9,19:58:42,7660.1100,1
RTH9,20:26:56,7805.7000,1
RTH9,20:27:20,7500.2600,3
RTH9,20:27:30,7197.4000,3
RTH9,20:27:37,7642.6000,1
RTH9,20:27:37,7123.2000,1
RTH9,20:27:37,7420.0000,1
RTH9,20:27:38,7049.0000,1
RTH9,20:27:38,7197.4000,1
RTH9,20:27:38,7420.0000,1
RTH9,20:27:39,7423.0000,1
RTH9,20:27:39,7424.0000,1
RTH9,20:27:39,7350.7500,1
RTH9,20:28:48,7670.4100,3
RTH9,20:28:48,7594.9200,1
RTH9,20:28:48,7371.5400,1
RTH9,20:28:48,7742.8000,1
RTH9,20:28:48,7445.0000,1
RTH9,20:29:17,7744.8800,3
RTH9,20:29:18,7372.5300,3
RTH9,20:30:03,7137.6000,1
RTH9,20:30:29,7583.7000,1
RTH9,20:30:43,7673.5000,1
RTH9,20:30:55,7443.0000,3
RTH9,20:31:00,7070.8500,3
RTH9,20:31:03,7443.0000,3
RTH9,20:31:06,7289.2400,2
RTH9,20:31:10,7754.2400,1
RTH9,21:43:06,7724.0800,1
RTH9,21:43:22,7287.2800,3
RTH9,21:43:33,7584.7200,3
RTH9,21:43:38,7807.8000,3
RTH9,21:43:44,7064.2000,1
RTH9,21:43:44,7584.7200,1
RTH9,21:43:52,7436.0000,1
RTH9,21:43:52,7138.5600,1
RTH9,21:43:52,7436.0000,1
RTH9,21:45:21,7458.8500,3
RTH9,21:45:29,7173.1500,3
RTH9,21:45:37,7317.0900,8
RTH9,21:47:19,7496.2200,3
RTH9,21:47:26,7422.0000,1
RTH9,21:47:28,7125.1200,2
RTH9,21:47:45,7194.4900,3
RTH9,21:47:56,7342.8300,1
RTH9,21:47:56,7046.1500,1
RTH9,21:48:47,7663.2000,1
RTH9,21:49:02,7150.0800,1
RTH9,21:49:45,7063.2500,1
RTH9,21:49:45,7435.0000,1
RTH9,21:49:45,7509.3500,1
RTH9,21:49:56,7435.0000,1
RTH9,21:49:56,7658.0500,1
RTH9,21:49:56,7211.9500,1
RTH9,21:50:20,7137.6000,3
RTH9,21:50:20,7285.3200,1
RTH9,21:50:20,7434.0000,1
RTH9,21:50:20,7061.3500,1
RTH9,21:50:20,7210.0100,1
RTH9,21:50:20,7432.0000,1
RTH9,21:50:20,7729.2800,1
RTH9,21:50:20,7356.6900,1
RTH9,21:50:20,7652.9000,3
RTH9,21:50:20,7652.9000,1
RTH9,21:50:20,7053.7500,1
RTH9,21:50:25,7120.3200,1
RTH9,21:50:26,7409.0000,1
RTH9,21:50:27,7189.6400,1
RTH9,21:50:27,7708.4800,1
RTH9,21:50:27,7784.7000,1
RTH9,21:50:27,7265.7200,1
RTH9,21:50:30,7704.3200,1
RTH9,21:50:30,7778.4000,1
RTH9,21:50:30,7116.4800,2
RTH9,21:50:58,7348.7700,3
RTH9,21:51:03,7478.0400,2
RTH9,21:51:03,7186.7300,2
RTH9,21:51:04,7785.7500,2
RTH9,21:51:37,7499.2500,3
RTH9,21:51:49,7723.0400,1
RTH9,21:51:49,7054.7000,1
RTH9,21:51:50,7725.1200,1
RTH9,21:51:50,7277.4800,1
RTH9,21:51:52,7128.0000,3
RTH9,21:51:56,7118.4000,2
RTH9,21:51:56,7340.8500,1
RTH9,21:52:26,7711.6000,1
RTH9,21:52:26,7415.0000,1
RTH9,21:52:26,7048.0500,2
RTH9,21:52:35,7355.7000,2
RTH9,21:52:35,7353.7200,2
RTH9,21:53:37,7574.5200,3
RTH9,21:53:41,7333.9200,3
RTH9,21:53:41,7190.6100,3
RTH9,21:54:19,7414.0000,3
RTH9,21:54:36,7131.8400,1
RTH9,21:54:36,7508.3400,1
RTH9,21:54:38,7355.7000,3
RTH9,21:55:04,7800.4500,3
RTH9,21:55:06,7430.0000,3
RTH9,21:55:08,7577.5800,3
RTH9,21:55:22,7725.1200,1
RTH9,21:55:33,7794.1500,2
RTH9,22:05:26,7049.9500,2
RTH9,22:05:31,7643.6300,1
RTH9,22:05:31,7643.6300,1
RTH9,22:05:31,7049.9500,1
RTH9,22:05:36,7197.4000,1
RTH9,22:05:37,7049.0000,1
RTH9,22:05:37,7049.0000,1
RTH9,22:05:41,7198.3700,1
RTH9,22:05:41,7049.9500,1
RTH9,22:05:42,7049.9500,1
RTH9,22:05:50,7734.4800,1
RTH9,22:06:26,7590.8400,3
RTH9,22:06:32,7367.5800,3
RTH9,22:06:32,7739.6800,1
RTH9,22:06:32,7217.7700,1
RTH9,22:06:32,7362.6300,2
RTH9,22:06:32,7585.7400,1
RTH9,22:06:32,7210.0100,2
RTH9,22:06:39,7419.0000,3
RTH9,22:06:39,7274.5400,1
RTH9,22:06:39,7645.6900,2
RTH9,22:06:43,7200.3100,3
RTH9,22:06:45,7200.3100,3
RTH9,22:07:04,7066.1000,3
RTH9,22:07:26,7270.6200,1
RTH9,22:07:28,7650.8400,2
RTH9,22:08:06,7708.4800,1
RTH9,22:08:12,7571.4600,3
RTH9,22:08:47,7051.8500,3
RTH9,22:08:52,7423.0000,3
RTH9,22:09:07,7641.5700,1
RTH9,22:09:07,7345.8000,1
RTH9,22:09:07,7123.2000,1
RTH9,22:09:07,7198.3700,1
RTH9,22:09:46,7649.8100,1
RTH9,22:09:46,7501.2700,1
RTH9,22:09:46,7352.7300,1
RTH9,22:09:55,7427.0000,1
RTH9,22:09:55,7798.3500,1
RTH9,22:09:56,7204.1900,1
RTH9,22:09:59,7570.4400,1
RTH9,22:10:47,7121.2800,1
RTH9,22:10:54,7120.3200,3
RTH9,22:11:05,7046.1500,3
RTH9,22:11:22,7714.7200,3
RTH9,22:11:55,7282.3800,1
RTH9,22:12:40,7439.0000,1
RTH9,22:12:56,7738.6400,3
RTH9,22:13:10,7143.3600,3
RTH9,22:13:10,7812.0000,1
RTH9,22:13:10,7662.1700,1
RTH9,22:13:10,7364.6100,1
RTH9,22:13:10,7512.3800,1
RTH9,22:13:10,7588.8000,1
RTH9,22:13:10,7065.1500,1
RTH9,22:13:10,7287.2800,3
RTH9,22:13:10,7208.0700,2
RTH9,22:13:10,7426.0000,3
RTH9,22:13:10,7348.7700,2
RTH9,22:13:27,7415.0000,1
RTH9,22:13:31,7791.0000,3
RTH9,22:13:40,7643.6300,3
RTH9,22:13:43,7341.8400,3
RTH9,22:13:45,7562.2800,3
RTH9,22:14:17,7262.7800,1
RTH9,22:14:28,7635.3900,3
RTH9,22:14:58,7267.6800,3
RTH9,22:15:39,7493.1900,3
RTH9,22:15:46,7493.1900,3
RTH9,22:15:49,7332.9300,2
RTH9,22:16:38,7505.3100,1
RTH9,22:16:55,7428.0000,1
RTH9,22:16:55,7430.0000,2
RTH9,22:17:01,7724.0800,1
RTH9,22:17:01,7428.0000,1
RTH9,22:17:01,7354.7100,1
RTH9,22:17:13,7428.0000,1
RTH9,22:17:13,7725.1200,1
RTH9,22:17:13,7577.5800,1
RTH9,22:17:20,7203.2200,3
RTH9,22:17:45,7270.6200,3
RTH9,22:17:48,7784.7000,3
RTH9,22:18:07,7344.8100,3
RTH9,22:19:20,7567.3800,3
RTH9,22:19:30,7419.0000,2
RTH9,22:19:47,7792.0500,3
RTH9,22:21:23,7355.7000,1
RTH9,22:21:32,7356.6900,3
RTH9,22:22:14,7063.2500,2
RTH9,22:22:17,7137.6000,1
RTH9,22:22:19,7806.7500,1
