SECID,TRADETIME,PRICE,QUANTITY
SGH9,19:06:07,41266.0000,1
SGH9,19:13:46,42915.6000,1
SGH9,19:13:47,41264.0000,1
SGH9,19:13:47,39200.8000,1
SGH9,19:13:47,40026.0800,1
SGH9,19:13:47,43327.2000,1
SGH9,19:13:48,39613.4400,1
SGH9,19:13:48,40438.7200,1
SGH9,19:13:48,41676.6400,1
SGH9,19:13:48,42914.5600,1
SGH9,19:13:48,39200.8000,1
SGH9,19:13:48,39613.4400,1
SGH9,19:13:49,42914.5600,1
SGH9,19:13:49,40851.3600,1
SGH9,19:13:49,39200.8000,1
SGH9,19:13:49,39613.4400,1
SGH9,19:13:50,40852.3500,1
SGH9,19:13:51,42091.3200,1
SGH9,19:13:56,42924.9600,3
SGH9,19:14:20,41792.7900,1
SGH9,19:14:21,39723.8400,1
SGH9,19:14:21,39310.0500,1
SGH9,19:14:21,41379.0000,1
SGH9,19:14:21,40551.4200,1
SGH9,19:14:22,42206.5800,1
SGH9,19:14:22,42620.3700,1
SGH9,19:14:22,41792.7900,1
SGH9,19:14:22,43034.1600,1
SGH9,19:14:22,42620.3700,1
SGH9,19:14:22,43447.9500,1
SGH9,19:14:23,40137.6300,1
SGH9,19:14:23,41792.7900,1
SGH9,19:14:23,42206.5800,1
SGH9,19:14:23,41379.0000,1
SGH9,19:14:25,39309.1000,1
SGH9,19:14:29,43020.6400,3
SGH9,19:14:31,39671.0400,1
SGH9,19:14:44,41737.2400,2
SGH9,19:49:45,41321.0000,1
SGH9,19:58:39,39668.1600,1
SGH9,20:06:07,41299.0000,1
SGH9,20:24:15,40061.0000,1
SGH9,21:02:00,42524.5800,3
SGH9,21:03:38,39616.3200,2
SGH9,21:04:34,42487.5000,2
SGH9,21:09:34,39229.3000,1
SGH9,21:16:43,40055.1800,1
SGH9,22:19:05,40464.2000,1
SGH9,23:06:49,41720.0700,3
SGH9,23:06:49,39667.2000,3
SGH9,23:06:49,43386.0000,2
SGH9,23:33:12,42959.2800,1
SGH9,23:33:37,42133.1400,2
SGH9,10:00:34,43330.3500,1
SGH9,10:01:18,41732.1900,1
SGH9,10:01:42,40907.7900,7
SGH9,10:01:42,40081.3700,3
SGH9,10:01:45,40097.8600,1
SGH9,10:01:47,40548.4800,1
SGH9,10:03:15,40916.7000,1
SGH9,10:03:15,42156.6000,1
SGH9,10:03:15,40916.7000,1
SGH9,10:06:01,41757.4400,1
SGH9,10:09:05,40454.4000,1
SGH9,10:09:06,42556.5100,2
SGH9,10:10:05,42136.2000,1
SGH9,10:10:05,41723.1000,1
SGH9,10:14:05,40841.4600,1
SGH9,10:15:12,40454.4000,1
SGH9,10:15:12,43344.0000,2
SGH9,10:15:48,40434.8000,1
SGH9,10:16:29,40002.8000,1
SGH9,10:16:30,41200.0000,1
SGH9,10:16:43,41205.0000,1
SGH9,10:16:44,39537.6000,1
SGH9,10:17:05,42416.4300,1
SGH9,10:17:11,40356.4000,1
SGH9,10:17:12,43218.0000,1
SGH9,10:17:12,42778.3200,1
SGH9,10:18:05,41930.1600,1
SGH9,10:18:45,41913.8400,2
SGH9,10:18:45,39037.4000,2
SGH9,10:18:45,39037.4000,2
SGH9,10:18:45,39859.2400,7
SGH9,10:18:46,40269.1800,4
SGH9,10:18:46,43138.2000,3
SGH9,10:18:46,42303.1300,3
SGH9,10:18:46,39826.2600,3
SGH9,10:18:46,40633.5600,2
SGH9,10:18:57,39821.4100,1
SGH9,10:18:57,42686.8000,1
SGH9,10:18:57,39438.7200,1
SGH9,10:19:00,41453.4300,1
SGH9,10:19:34,41068.0000,2
SGH9,10:20:47,40255.4600,2
SGH9,10:20:47,41480.7000,2
SGH9,10:20:47,41461.5100,3
SGH9,10:20:47,42672.2400,2
SGH9,10:20:47,43082.5500,9
SGH9,10:20:47,39800.0700,3
SGH9,10:20:47,41031.0000,2
SGH9,10:20:47,39389.7600,5
SGH9,10:20:47,40620.6900,9
SGH9,10:20:47,41441.3100,2
SGH9,10:20:47,42261.9300,5
SGH9,10:20:47,41031.0000,2
SGH9,10:20:47,40620.6900,5
SGH9,10:20:47,42661.8400,2
SGH9,10:20:47,39379.2000,1
SGH9,10:20:47,38950.0000,1
SGH9,10:20:54,42184.6800,1
SGH9,10:21:04,40964.0000,1
SGH9,10:21:05,42991.2000,1
SGH9,10:21:05,38897.7500,1
SGH9,10:21:18,42569.2800,2
SGH9,10:21:18,42159.9600,2
SGH9,10:21:18,40522.6800,3
SGH9,10:21:18,41340.3100,5
SGH9,10:21:18,41745.5400,3
SGH9,10:21:18,41745.5400,2
SGH9,10:21:18,40517.7300,1
SGH9,10:21:18,42564.0800,1
SGH9,10:21:18,41329.2000,1
SGH9,10:21:57,40491.0000,4
SGH9,10:21:57,40082.0000,1
SGH9,10:21:57,39264.0000,1
SGH9,10:21:58,39673.9700,2
SGH9,10:22:27,39289.9200,6
SGH9,10:22:27,41336.2700,1
SGH9,10:22:27,38880.6500,2
SGH9,10:24:05,42135.2400,1
SGH9,10:24:21,41743.5000,5
SGH9,10:24:25,42154.8100,2
SGH9,10:26:01,38941.4500,1
SGH9,10:26:16,42208.3700,1
SGH9,10:27:14,42645.2000,5
SGH9,10:27:24,39369.6000,1
SGH9,10:27:36,41830.2000,5
SGH9,10:27:54,42671.2000,2
SGH9,10:35:05,42634.8000,3
SGH9,10:35:05,41814.9000,5
SGH9,10:35:05,38945.2500,2
SGH9,10:35:05,40175.1000,1
SGH9,10:35:05,39355.2000,2
SGH9,10:35:05,40175.1000,3
SGH9,10:35:05,41404.9500,4
SGH9,10:35:05,38945.2500,1
SGH9,10:35:12,39765.1500,2
SGH9,10:35:12,41814.9000,7
SGH9,10:47:18,42365.9600,2
SGH9,10:47:18,41543.3200,1
SGH9,10:47:18,42777.2800,1
SGH9,10:54:02,41110.0000,2
SGH9,10:54:02,41110.0000,18
SGH9,10:54:02,39876.7000,1
SGH9,10:56:02,42343.3000,7
SGH9,10:57:49,41928.1200,1
SGH9,10:59:38,39844.6900,1
SGH9,10:59:38,40254.4800,4
SGH9,11:06:03,40214.3000,4
SGH9,11:08:50,38950.9500,7
SGH9,11:09:11,40990.0000,1
SGH9,11:09:12,39365.7600,1
SGH9,11:11:16,40611.7800,2
SGH9,11:12:11,41440.3000,2
SGH9,11:12:37,42268.1100,1
SGH9,11:15:10,38955.7000,2
SGH9,11:15:22,39362.8800,2
SGH9,11:15:36,39355.2000,3
SGH9,11:15:36,40175.1000,1
SGH9,11:15:36,40585.0500,3
SGH9,11:15:36,39769.0300,2
SGH9,11:15:48,42640.0000,1
SGH9,11:15:48,42230.0000,1
SGH9,11:16:04,42634.8000,4
SGH9,11:16:04,38945.2500,5
SGH9,11:16:04,41814.9000,2
SGH9,11:16:04,40585.0500,1
SGH9,11:16:04,41404.9500,2
SGH9,11:16:04,42634.8000,5
SGH9,11:16:04,38945.2500,2
SGH9,11:16:04,40175.1000,2
SGH9,11:17:27,39760.3000,5
SGH9,11:17:27,39350.4000,2
SGH9,11:17:27,42629.6000,2
SGH9,11:17:27,41399.9000,5
SGH9,11:17:27,38940.5000,5
SGH9,11:17:27,41399.9000,5
SGH9,11:18:19,39350.4000,3
SGH9,11:18:28,42629.6000,2
SGH9,11:18:56,38940.5000,1
SGH9,11:22:57,40566.2400,2
SGH9,11:22:57,41385.7600,4
SGH9,11:23:32,41379.7000,2
SGH9,11:23:33,39740.9000,5
SGH9,11:23:33,42608.8000,9
SGH9,11:23:33,40150.6000,3
SGH9,11:23:33,40970.0000,5
SGH9,11:23:33,42608.8000,5
SGH9,11:23:47,41381.7200,1
SGH9,11:24:02,39331.2000,1
SGH9,11:25:46,40982.0000,5
SGH9,11:25:58,39753.5100,5
