SECID,TRADETIME,PRICE,QUANTITY
SNH9,19:17:23,28704.0000,1
SNH9,19:17:23,27858.8300,1
SNH9,19:17:23,28398.1300,1
SNH9,19:18:38,28949.5500,1
SNH9,19:18:38,27846.7100,1
SNH9,19:33:11,28442.4200,1
SNH9,19:49:45,28442.4200,2
SNH9,21:09:34,28195.8600,2
SNH9,21:19:16,27091.1200,2
SNH9,21:19:16,26261.8000,3
SNH9,23:22:27,26745.8100,1
SNH9,23:48:01,28478.4700,1
SNH9,10:00:00,28486.7100,10
SNH9,10:00:00,28486.7100,1
SNH9,10:00:11,27103.8600,1
SNH9,10:00:11,28210.1400,1
SNH9,10:00:11,26274.1500,1
SNH9,10:00:11,28486.7100,1
SNH9,10:00:11,27380.4300,1
SNH9,10:00:11,26274.1500,1
SNH9,10:00:11,26274.1500,1
SNH9,10:00:11,26274.1500,1
SNH9,10:00:15,26879.6700,1
SNH9,10:00:16,27436.8600,1
SNH9,10:00:22,27432.9000,1
SNH9,10:00:22,27987.1000,1
SNH9,10:00:22,29094.4500,1
SNH9,10:00:22,28817.3600,1
SNH9,10:00:22,27430.9200,1
SNH9,10:00:22,27153.8400,1
SNH9,10:00:31,27147.9600,1
SNH9,10:00:40,29103.9000,1
SNH9,10:01:30,28523.7900,1
SNH9,10:05:02,26518.0800,1
SNH9,10:05:02,26523.8400,1
SNH9,10:05:02,28734.1600,1
SNH9,10:05:02,26524.8000,1
SNH9,10:05:02,26524.8000,1
SNH9,10:05:02,27354.6900,1
SNH9,10:05:59,26248.5000,1
SNH9,10:05:59,26525.7600,1
SNH9,10:05:59,26544.0000,1
SNH9,10:06:00,27908.3200,1
SNH9,10:06:00,29031.4500,1
SNH9,10:06:00,27079.3600,1
SNH9,10:07:20,27344.7900,1
SNH9,10:07:20,26515.2000,2
SNH9,10:08:11,28155.0600,1
SNH9,10:08:11,28129.5600,1
SNH9,10:08:11,26195.3000,1
SNH9,10:08:11,26186.7500,1
SNH9,10:08:11,28391.9500,5
SNH9,10:08:11,27840.6500,1
SNH9,10:08:11,27840.6500,2
SNH9,10:08:11,28116.3000,1
SNH9,10:08:11,26738.0500,1
SNH9,10:09:14,28959.0000,11
SNH9,10:11:33,27323.0100,1
SNH9,10:16:27,27892.1600,2
SNH9,10:19:16,28668.6400,2
SNH9,10:19:17,27017.6200,2
SNH9,10:23:09,26798.1900,2
SNH9,10:23:09,29009.4000,1
SNH9,10:26:01,26237.1000,2
SNH9,10:33:05,27962.8600,1
SNH9,10:33:05,27136.2000,6
SNH9,10:33:05,29074.5000,1
SNH9,10:33:12,26859.3000,1
SNH9,10:33:14,27970.9400,5
SNH9,10:39:49,27698.0000,1
SNH9,10:40:48,26878.7000,1
SNH9,10:42:41,27440.8200,1
SNH9,10:56:16,27722.0000,1
SNH9,11:00:00,28247.8800,1
SNH9,11:00:00,27139.1400,1
SNH9,11:00:00,27940.6400,1
SNH9,11:08:24,28761.2000,1
