SECID,TRADETIME,PRICE,QUANTITY
SNM9,14:57:43,25968.0000,1
SNM9,14:58:21,26509.0000,5
SNM9,14:58:21,27591.0000,5
SNM9,14:58:21,28402.5000,5
SNM9,15:00:23,26509.0000,5
SNM9,15:11:01,27861.5000,5
SNM9,15:45:01,27591.0000,5
SNM9,15:58:55,26238.5000,5
SNM9,15:58:57,26238.5000,5
SNM9,15:59:38,25968.0000,5
SNM9,16:00:01,27861.5000,5
SNM9,16:00:01,28402.5000,5
SNM9,16:00:02,27861.5000,5
SNM9,16:00:02,25697.5000,5
SNM9,16:00:02,25697.5000,5
SNM9,16:00:02,26509.0000,5
SNM9,16:00:02,26779.5000,5
SNM9,16:00:09,25697.5000,5
SNM9,16:17:56,27050.0000,5
SNM9,16:18:34,26509.0000,5
SNM9,16:18:46,25968.0000,1
SNM9,16:19:02,28402.5000,2
