SECID,TRADETIME,PRICE,QUANTITY
SPH9,19:05:03,17670.7200,1
SPH9,19:05:06,18640.5600,5
SPH9,19:05:06,19009.6800,5
SPH9,19:05:06,18273.4200,2
SPH9,19:05:07,18828.1800,2
SPH9,19:05:07,17721.6000,3
SPH9,19:05:07,18094.7200,2
SPH9,19:05:07,17910.0800,2
SPH9,19:05:07,17726.4000,1
SPH9,19:05:07,18467.0000,2
SPH9,19:05:16,19203.6000,1
SPH9,19:05:16,18095.7000,1
SPH9,19:05:16,19389.3000,2
SPH9,19:05:16,19390.3500,1
SPH9,19:05:16,18097.6600,1
SPH9,19:05:35,18245.7000,1
SPH9,19:06:02,18444.0000,1
SPH9,19:06:04,19184.8800,1
SPH9,19:06:43,17512.3000,1
SPH9,19:06:45,19008.6500,1
SPH9,19:06:52,17906.2000,1
SPH9,19:06:53,19199.4400,2
SPH9,19:06:53,18462.0000,1
SPH9,19:06:53,18834.3000,1
SPH9,19:06:53,19388.2500,1
SPH9,19:07:02,19008.6500,1
SPH9,19:07:05,19004.5300,1
SPH9,19:07:07,19374.6000,1
SPH9,19:07:07,19373.5500,1
SPH9,19:07:07,18819.0000,2
SPH9,19:07:11,18634.5000,2
SPH9,19:09:15,19380.9000,1
SPH9,19:09:18,18086.8800,1
SPH9,19:09:33,18826.1400,2
SPH9,19:09:37,18244.7100,1
SPH9,19:10:33,19350.4500,1
SPH9,19:12:13,18045.7200,1
SPH9,19:12:16,19140.1600,1
SPH9,19:12:52,18404.0000,1
SPH9,19:14:22,17704.3200,1
SPH9,19:14:32,18067.2800,2
SPH9,19:15:17,17508.5000,3
SPH9,19:20:01,18996.2900,1
SPH9,19:20:16,17853.8200,1
SPH9,19:20:24,17860.6100,1
SPH9,19:21:31,17485.7000,2
SPH9,19:21:37,18404.0000,1
SPH9,19:21:37,18034.9400,1
SPH9,19:21:41,18033.9600,1
SPH9,19:21:50,18399.0000,1
SPH9,19:22:04,19134.9600,2
SPH9,19:22:06,18778.2000,1
SPH9,19:23:02,19150.5600,14
SPH9,19:23:53,18765.9600,1
SPH9,19:28:06,18248.6700,1
SPH9,19:29:02,17881.9500,1
SPH9,19:29:03,18602.1800,1
SPH9,19:29:29,18602.1800,1
SPH9,19:29:30,18803.7000,2
SPH9,19:29:30,18989.0800,1
SPH9,19:29:30,19175.5200,1
SPH9,19:33:52,17516.1000,2
SPH9,19:34:11,18616.3200,1
SPH9,19:36:01,18258.5700,1
SPH9,19:36:01,18628.4400,2
SPH9,19:37:04,18262.5300,1
SPH9,19:37:07,18819.0000,1
SPH9,19:37:07,19374.6000,3
SPH9,19:40:06,18271.4400,1
SPH9,19:40:07,19010.7100,3
SPH9,19:40:47,19378.8000,1
SPH9,19:41:09,17712.0000,1
SPH9,19:44:12,17901.3500,1
SPH9,19:45:02,18829.2000,1
SPH9,19:45:02,18645.6100,1
SPH9,19:49:37,18276.3900,1
SPH9,19:49:37,17722.5600,1
SPH9,19:49:45,17541.7500,1
SPH9,19:49:45,18285.3000,1
SPH9,19:50:17,19214.0000,1
SPH9,19:50:17,18845.5200,1
SPH9,19:50:17,18848.5800,3
SPH9,19:50:20,17561.7000,1
SPH9,19:50:22,18121.1800,1
SPH9,19:50:22,18497.0000,3
SPH9,19:50:22,18681.9700,5
SPH9,19:50:23,17757.1200,1
SPH9,19:50:58,19236.8800,1
SPH9,19:54:05,18304.1100,2
SPH9,20:00:12,18476.0000,1
SPH9,20:05:35,19195.2800,1
SPH9,20:08:44,17738.8800,1
SPH9,20:08:44,18478.0000,1
SPH9,20:17:34,17537.0000,1
SPH9,20:17:43,19198.4000,1
SPH9,20:19:44,18084.9200,1
SPH9,20:21:41,17900.3800,1
SPH9,20:23:39,19173.4400,1
SPH9,21:00:01,18252.6300,2
SPH9,21:00:01,19357.8000,1
SPH9,21:00:01,18618.3400,1
SPH9,21:00:01,18802.6800,2
SPH9,21:00:01,18247.6800,1
SPH9,21:00:01,18616.3200,4
SPH9,21:00:01,18983.9300,3
SPH9,21:00:01,19352.5500,3
SPH9,21:00:01,18798.6000,1
SPH9,21:00:01,17502.8000,1
SPH9,21:00:01,18421.0000,1
SPH9,21:00:06,18974.6600,3
SPH9,21:00:06,18786.3600,2
SPH9,21:00:06,19154.7200,2
SPH9,21:00:06,19338.9000,3
SPH9,21:00:48,19345.2000,3
SPH9,21:09:34,18072.1800,1
SPH9,21:10:52,17873.2200,1
SPH9,21:21:15,18635.5100,1
SPH9,21:22:02,17543.6500,1
SPH9,21:35:02,18822.0600,1
SPH9,22:20:29,18098.6400,6
SPH9,22:20:29,18098.6400,15
