SECID,TRADETIME,PRICE,QUANTITY
SRM9,20:02:19,22155.0000,1
SRM9,22:15:04,21731.9700,1
SRM9,22:15:25,20467.0000,1
SRM9,22:54:50,20467.0000,1
SRM9,22:55:13,21311.0000,1
SRM9,22:55:50,21892.0000,1
SRM9,22:56:19,20819.7000,1
SRM9,22:58:09,21892.0000,5
SRM9,22:58:51,20824.6500,1
SRM9,23:10:13,22155.0000,1
SRM9,23:16:27,20226.2400,1
SRM9,23:17:18,21691.8000,1
SRM9,23:19:08,22113.0000,1
SRM9,23:19:43,21476.1000,1
SRM9,23:40:28,21887.5000,1
SRM9,23:40:28,22113.5200,4
SRM9,23:49:53,22179.0400,1
SRM9,10:05:28,22388.1000,1
SRM9,10:05:28,20492.1600,3
SRM9,10:16:31,21136.5000,2
SRM9,10:29:01,20496.0000,5
SRM9,10:56:32,21726.0000,1
SRM9,10:56:33,20776.0000,5
SRM9,10:56:33,21785.5300,1
SRM9,10:56:33,20939.4900,1
SRM9,10:56:33,20727.9800,1
SRM9,11:07:59,20727.0000,2
SRM9,11:08:00,21573.0000,2
SRM9,11:08:02,20092.5000,1
SRM9,12:05:32,20275.2000,2
SRM9,12:05:33,20064.0000,2
SRM9,12:05:33,21120.0000,2
SRM9,12:05:33,21331.2000,2
SRM9,12:05:33,20486.4000,2
SRM9,12:45:38,20256.0000,1
SRM9,13:13:15,20973.1500,1
SRM9,13:13:16,21396.8500,1
SRM9,13:13:16,20069.7600,1
SRM9,14:19:48,20558.1800,1
SRM9,14:19:48,22042.8000,1
SRM9,14:19:48,21200.0000,5
SRM9,14:44:58,21412.0000,1
SRM9,14:44:58,20564.0000,17
SRM9,14:46:32,21230.0000,1
SRM9,14:57:07,21624.0000,2
SRM9,16:15:57,22068.8000,2
SRM9,16:15:58,20159.0000,1
SRM9,18:33:43,21980.7000,1
SRM9,18:40:04,21560.9900,1
SRM9,19:05:13,19187.1500,1
SRM9,19:06:19,19400.9700,1
SRM9,19:06:19,19400.9700,6
SRM9,19:36:51,19400.0000,2
SRM9,19:54:01,19565.7000,1
SRM9,19:54:01,18966.7500,1
SRM9,20:03:32,19782.1800,1
SRM9,20:03:32,18983.8500,1
SRM9,20:03:32,19988.0000,1
SRM9,20:03:32,20598.9700,3
SRM9,20:03:33,19783.1700,1
