SECID,TRADETIME,PRICE,QUANTITY
SVH9,19:05:03,16.0160,6
SVH9,19:06:16,14.9283,1
SVH9,19:06:16,15.0822,1
SVH9,19:06:17,15.6978,1
SVH9,19:06:35,16.1700,3
SVH9,19:06:35,16.0160,2
SVH9,19:06:35,15.2460,5
SVH9,19:07:23,15.2460,1
SVH9,19:09:01,15.7080,5
SVH9,19:09:51,14.6300,2
SVH9,19:11:26,15.5439,2
SVH9,19:13:15,15.8620,10
SVH9,19:14:47,14.6300,37
SVH9,19:14:47,15.7080,3
SVH9,19:15:34,15.0920,14
SVH9,19:15:34,14.7840,4
SVH9,19:16:10,15.2460,15
SVH9,19:16:22,15.0920,2
SVH9,19:16:37,15.5540,1
SVH9,19:16:37,15.7080,3
SVH9,19:17:07,16.1700,12
SVH9,19:17:25,15.5439,14
SVH9,19:17:38,15.0920,6
SVH9,19:17:58,15.8620,1
SVH9,19:18:34,16.0056,5
SVH9,19:23:46,15.8620,10
SVH9,19:23:50,15.5540,4
SVH9,19:23:53,15.0920,2
SVH9,19:23:59,15.2460,1
SVH9,19:24:01,16.1700,1
SVH9,19:29:17,14.6205,9
SVH9,19:29:17,15.0822,1
SVH9,19:29:17,15.3900,1
SVH9,19:32:18,15.9952,1
SVH9,19:33:10,16.0056,21
SVH9,19:42:30,15.8517,19
SVH9,19:42:30,15.6978,1
SVH9,19:42:44,15.0822,2
SVH9,19:43:46,15.6978,37
SVH9,19:49:46,14.6300,4
SVH9,19:49:46,15.0920,1
SVH9,19:49:46,16.0160,1
SVH9,19:51:25,15.2262,10
SVH9,19:51:25,15.2262,10
SVH9,19:51:25,14.6110,1
SVH9,19:51:25,15.2262,5
SVH9,19:51:25,15.2262,2
SVH9,19:51:25,15.6876,3
SVH9,19:51:25,16.1490,1
SVH9,19:51:25,16.1490,4
SVH9,19:51:26,14.6110,1
SVH9,19:51:35,15.5338,1
SVH9,19:51:56,15.6876,2
SVH9,19:51:56,15.3800,1
SVH9,19:51:56,14.6110,45
SVH9,19:51:56,15.3800,5
SVH9,19:52:08,15.6876,1
SVH9,19:52:19,16.1490,42
SVH9,19:52:19,15.5338,7
SVH9,19:52:19,15.3800,1
SVH9,19:52:21,15.3700,2
SVH9,19:52:22,14.7552,1
SVH9,19:52:22,15.2163,6
SVH9,19:52:22,15.8311,1
SVH9,19:52:22,15.6774,1
SVH9,19:52:43,16.1385,2
SVH9,19:53:02,15.5237,2
SVH9,19:53:02,15.9848,1
SVH9,19:53:02,14.9089,12
SVH9,19:55:01,14.7648,15
SVH9,19:56:16,15.0724,7
SVH9,19:57:51,14.9380,1
SVH9,19:58:04,15.0920,1
SVH9,20:05:22,14.7840,4
SVH9,20:05:22,14.9380,12
SVH9,20:05:22,14.6300,22
SVH9,20:05:22,16.0160,12
SVH9,20:10:26,15.5338,3
SVH9,20:10:40,14.9186,1
SVH9,20:10:45,15.0724,2
SVH9,20:10:45,15.0724,19
SVH9,20:13:41,14.6015,1
SVH9,20:13:41,14.6110,5
SVH9,20:18:45,15.6672,1
SVH9,20:18:46,14.5920,9
SVH9,20:18:46,15.6672,1
SVH9,20:18:46,14.8992,20
SVH9,20:18:46,15.5136,25
SVH9,20:18:46,14.8895,1
SVH9,20:18:46,15.8105,7
SVH9,20:18:46,15.1965,25
SVH9,20:18:46,14.8895,1
SVH9,20:18:46,15.9640,1
SVH9,20:18:46,15.8105,1
SVH9,20:18:46,14.7360,2
SVH9,20:18:46,15.9640,3
SVH9,20:18:46,15.0430,38
SVH9,20:19:16,15.0626,2
SVH9,20:19:48,14.8992,1
SVH9,20:20:08,14.7552,1
SVH9,20:20:46,14.5920,10
SVH9,20:20:46,15.2064,3
SVH9,20:20:46,15.9744,3
SVH9,20:23:01,15.3600,2
SVH9,20:24:56,15.8208,2
SVH9,20:24:56,14.7456,4
SVH9,20:24:56,15.0528,4
SVH9,20:27:53,15.5035,5
SVH9,20:27:53,15.9640,5
SVH9,20:27:53,14.7360,8
SVH9,20:32:04,15.5136,5
SVH9,20:32:04,15.5136,5
SVH9,20:32:05,15.2064,2
SVH9,20:32:42,15.0430,2
SVH9,20:32:42,16.1175,1
SVH9,20:33:01,15.8208,1
SVH9,20:35:32,15.8105,1
SVH9,20:35:35,16.1175,1
SVH9,20:35:38,15.6570,1
SVH9,20:35:41,15.1965,1
SVH9,20:48:12,15.9640,5
SVH9,20:48:12,15.8105,16
SVH9,20:51:16,15.0528,2
SVH9,20:52:06,15.6672,2
SVH9,20:52:06,14.5920,4
SVH9,20:52:06,15.9744,1
SVH9,21:00:51,15.8208,5
SVH9,21:01:38,15.6672,1
SVH9,21:01:54,15.6570,4
SVH9,21:01:54,14.5825,10
SVH9,21:01:54,15.5035,1
SVH9,21:02:00,15.1965,4
SVH9,21:04:09,14.8992,7
SVH9,21:06:47,15.2163,1
SVH9,21:15:40,15.0528,10
SVH9,21:18:14,15.5136,1
SVH9,21:18:14,15.5136,1
SVH9,21:19:20,15.3600,2
SVH9,21:20:35,14.7456,1
SVH9,21:21:23,15.9848,3
SVH9,21:28:28,15.5237,13
SVH9,21:28:28,15.0626,16
SVH9,21:28:28,15.3700,3
SVH9,21:28:28,14.6015,6
SVH9,21:28:28,15.6774,2
SVH9,21:29:54,16.1175,1
SVH9,21:29:54,14.7360,2
SVH9,21:29:54,15.1965,2
SVH9,21:29:54,15.6570,5
SVH9,21:29:54,15.3500,1
SVH9,21:29:54,15.0430,2
SVH9,21:31:39,15.5035,2
SVH9,21:32:54,15.6774,1
SVH9,21:39:21,14.7456,2
SVH9,21:39:21,15.8208,1
SVH9,21:44:03,15.6672,1
SVH9,21:44:04,14.5920,2
SVH9,21:44:09,15.2163,6
SVH9,21:44:48,16.1280,15
SVH9,21:44:48,15.0528,1
SVH9,21:44:48,15.5136,2
SVH9,21:53:30,15.5035,2
SVH9,21:55:40,15.3500,1
SVH9,21:56:19,15.1965,77
SVH9,21:56:19,15.0430,5
SVH9,21:56:19,15.3500,2
SVH9,21:56:19,15.5035,10
SVH9,21:56:19,14.5825,2
SVH9,21:56:19,16.1175,2
SVH9,21:56:19,14.8895,8
SVH9,21:56:19,15.1965,1
SVH9,21:56:19,14.8895,20
SVH9,21:56:19,14.5825,5
SVH9,21:56:57,15.4934,8
SVH9,21:56:57,15.9536,1
SVH9,21:56:57,14.5730,2
SVH9,21:56:57,15.9536,7
SVH9,21:56:57,15.3400,8
SVH9,21:56:57,15.0332,4
SVH9,21:58:02,14.8895,23
SVH9,21:59:52,14.7360,21
SVH9,22:03:05,15.5035,1
SVH9,22:03:05,15.1965,1
SVH9,22:03:05,14.8895,1
SVH9,22:09:28,15.5035,2
SVH9,22:10:10,16.1175,38
SVH9,22:11:42,14.7360,1
SVH9,22:18:09,15.5035,1
SVH9,22:18:10,15.1965,1
SVH9,22:18:12,15.8105,1
SVH9,22:18:58,15.9640,1
SVH9,22:19:02,15.3500,96
SVH9,22:27:22,15.1866,6
SVH9,22:27:22,14.7264,1
SVH9,22:27:22,15.6468,10
SVH9,22:27:22,14.8798,1
SVH9,22:27:22,14.5730,10
SVH9,22:27:22,14.7264,1
SVH9,22:27:22,15.3400,5
SVH9,22:27:22,14.7264,2
SVH9,22:27:22,14.5730,2
SVH9,22:27:22,15.8002,12
SVH9,22:27:22,15.6468,3
SVH9,22:41:51,16.1175,2
SVH9,22:56:23,14.8992,7
SVH9,22:56:23,15.0528,34
SVH9,22:56:23,15.8208,1
SVH9,22:56:59,15.5237,1
SVH9,22:56:59,15.9848,6
SVH9,23:18:06,14.9089,14
SVH9,23:18:06,15.6774,19
SVH9,23:18:10,15.9848,33
SVH9,23:19:57,15.2064,33
SVH9,23:34:06,15.8311,2
SVH9,23:34:06,15.9848,3
SVH9,23:34:06,15.0626,15
SVH9,23:34:06,15.2163,1
SVH9,23:34:06,14.7552,1
SVH9,23:34:06,15.6774,1
SVH9,23:34:06,15.8311,33
SVH9,23:45:06,15.8414,1
SVH9,23:49:01,15.6876,2
SVH9,23:49:26,15.5237,1
SVH9,23:49:51,15.9848,14
SVH9,10:00:00,14.6110,8
SVH9,10:00:00,14.9186,1
SVH9,10:00:00,14.6205,1
SVH9,10:00:00,16.0160,5
SVH9,10:00:00,15.5540,1
SVH9,10:00:00,15.2460,1
SVH9,10:00:00,14.9477,3
SVH9,10:00:00,15.2559,5
SVH9,10:00:00,16.0264,2
SVH9,10:00:00,15.7182,5
SVH9,10:00:00,15.7284,1
SVH9,10:00:00,15.8826,1
SVH9,10:00:00,14.6490,5
SVH9,10:00:00,14.9671,1
SVH9,10:00:00,15.8929,10
SVH9,10:00:00,15.7386,3
SVH9,10:00:00,15.7386,37
SVH9,10:00:01,16.2120,2
SVH9,10:00:02,15.4400,1
SVH9,10:00:21,15.5843,1
SVH9,10:00:32,15.9032,2
SVH9,10:00:32,15.5944,8
SVH9,10:00:32,14.6680,1
SVH9,10:00:32,16.2120,1
SVH9,10:00:32,15.4400,1
SVH9,10:00:32,14.9768,7
SVH9,10:00:40,16.0472,1
SVH9,10:00:48,16.2015,1
SVH9,10:00:53,15.4400,1
SVH9,10:00:53,15.2856,2
SVH9,10:00:53,14.9768,56
SVH9,10:00:53,15.2856,23
SVH9,10:01:01,15.7386,1
SVH9,10:01:04,15.2757,8
SVH9,10:01:04,14.9671,24
SVH9,10:01:21,15.8929,2
SVH9,10:01:36,16.2015,1
SVH9,10:01:41,16.0576,5
SVH9,10:01:41,15.1410,2
SVH9,10:01:41,15.6045,5
SVH9,10:01:41,14.6775,3
SVH9,10:01:42,15.9135,1
SVH9,10:02:39,14.9768,3
SVH9,10:02:39,15.7488,7
SVH9,10:02:39,15.1312,2
SVH9,10:02:39,15.5944,5
SVH9,10:02:39,15.4400,1
SVH9,10:02:39,14.9865,21
SVH9,10:02:39,14.8320,1
SVH9,10:03:27,16.0576,1
SVH9,10:03:38,16.0368,25
SVH9,10:03:38,15.8826,5
SVH9,10:03:50,15.8826,6
SVH9,10:04:00,16.2015,1
SVH9,10:05:27,15.2757,5
SVH9,10:05:28,14.8224,2
SVH9,10:05:31,15.4300,1
SVH9,10:05:41,15.7386,1
SVH9,10:05:44,16.2120,2
SVH9,10:05:44,15.2856,1
SVH9,10:06:07,15.8826,1
SVH9,10:06:23,16.2015,1
SVH9,10:07:55,15.4300,1
SVH9,10:08:11,14.9768,57
SVH9,10:08:11,14.6680,2
SVH9,10:08:11,15.9032,7
SVH9,10:08:11,14.9768,5
SVH9,10:08:11,15.9032,3
SVH9,10:08:11,15.5944,2
SVH9,10:08:11,15.2856,2
SVH9,10:08:11,15.7488,100
SVH9,10:09:23,15.1312,5
SVH9,10:09:47,15.4500,2
SVH9,10:09:57,14.6775,2
SVH9,10:10:19,16.0680,3
SVH9,10:10:19,15.6045,1
SVH9,10:10:19,14.6775,10
SVH9,10:10:19,15.1410,1
SVH9,10:10:19,15.2955,10
SVH9,10:10:19,15.6045,25
SVH9,10:10:57,14.8224,10
SVH9,10:11:11,14.9768,1
SVH9,10:11:21,15.6045,1
SVH9,10:11:55,14.8224,1
SVH9,10:12:17,14.6680,1
SVH9,10:12:21,14.6680,2
SVH9,10:12:23,15.4400,33
SVH9,10:12:23,14.9768,4
SVH9,10:12:23,15.2856,120
SVH9,10:12:23,14.6585,52
SVH9,10:12:23,15.2757,120
SVH9,10:12:23,15.1214,25
SVH9,10:12:23,15.5843,7
SVH9,10:12:23,15.4300,1
SVH9,10:12:23,15.5843,338
SVH9,10:12:31,14.9768,5
SVH9,10:12:41,15.6045,7
SVH9,10:12:41,15.9135,9
SVH9,10:12:41,14.9865,11
SVH9,10:12:41,15.7590,11
SVH9,10:12:41,15.7590,1
SVH9,10:12:41,15.4500,10
SVH9,10:12:41,16.2225,1
SVH9,10:12:41,15.1410,5
SVH9,10:12:41,14.6775,25
SVH9,10:12:50,14.8224,4
SVH9,10:12:50,14.6680,1
SVH9,10:12:59,15.4400,6
SVH9,10:14:09,16.0680,3
SVH9,10:16:49,15.4500,7
SVH9,10:16:49,15.6045,24
SVH9,10:18:03,16.2225,10
SVH9,10:18:03,16.0680,10
SVH9,10:18:52,15.7488,2
SVH9,10:18:52,15.7488,10
SVH9,10:18:52,15.7488,3
SVH9,10:19:35,14.9768,9
SVH9,10:20:01,14.9768,1
SVH9,10:21:33,14.8224,1
SVH9,10:21:35,15.2856,1
SVH9,10:21:35,15.4400,7
SVH9,10:21:36,16.2120,19
SVH9,10:24:18,15.5843,1
SVH9,10:24:18,15.8929,4
SVH9,10:24:49,15.1214,100
SVH9,10:28:04,15.9032,40
SVH9,10:28:59,16.0576,1
SVH9,10:29:49,15.7488,27
SVH9,10:29:52,15.7488,5
SVH9,10:30:40,14.8224,2
SVH9,10:30:40,15.7488,6
SVH9,10:33:36,14.6775,2
SVH9,10:34:03,14.6680,14
SVH9,10:34:03,14.9768,20
SVH9,10:36:08,15.2757,3
SVH9,10:36:39,14.8128,2
SVH9,10:38:41,15.1214,15
SVH9,10:40:12,14.9768,4
SVH9,10:45:03,15.4500,3
SVH9,10:45:03,14.9865,5
SVH9,10:45:03,14.8320,1
SVH9,10:45:03,16.2225,25
SVH9,10:45:03,15.1410,3
SVH9,10:45:03,15.6045,2
SVH9,10:48:05,15.6045,1
SVH9,10:48:24,14.6775,10
SVH9,10:50:08,14.8320,20
SVH9,10:53:05,15.4600,1
SVH9,10:53:05,15.9238,4
SVH9,10:53:05,14.8416,1
SVH9,10:53:06,14.6870,1
SVH9,10:53:06,15.9238,1
SVH9,10:53:06,15.9238,1
SVH9,10:53:06,15.9238,1
SVH9,10:53:17,15.1508,1
SVH9,10:53:26,15.1508,1
SVH9,10:54:13,14.8416,7
SVH9,10:54:13,15.7692,2
SVH9,10:54:13,16.0784,10
SVH9,10:54:13,14.6870,5
SVH9,10:54:13,15.3054,6
SVH9,10:54:16,14.6870,10
SVH9,10:54:16,14.8416,8
SVH9,10:54:24,15.6146,1
SVH9,10:54:26,15.9135,8
SVH9,10:56:04,14.9962,2
SVH9,10:58:46,15.6045,1
SVH9,10:59:04,15.1508,6
SVH9,10:59:04,14.9962,8
SVH9,10:59:04,14.9962,6
SVH9,10:59:32,14.8416,4
SVH9,10:59:32,16.2330,16
SVH9,11:00:03,15.1410,1
SVH9,11:00:03,15.4600,10
SVH9,11:00:52,15.4500,18
SVH9,11:00:52,14.8320,1
SVH9,11:00:52,15.1410,6
SVH9,11:03:48,15.2955,8
SVH9,11:04:28,16.2330,64
SVH9,11:04:28,15.1508,1
SVH9,11:04:28,14.9962,42
SVH9,11:04:28,16.2330,1
SVH9,11:04:28,14.8416,42
SVH9,11:05:25,14.6870,1
SVH9,11:08:50,15.6045,4
SVH9,11:08:50,14.9865,49
SVH9,11:08:50,15.9135,7
SVH9,11:08:50,15.9135,2
SVH9,11:08:50,14.6680,4
SVH9,11:08:50,15.4400,52
SVH9,11:08:50,15.9032,32
SVH9,11:09:15,15.7488,13
SVH9,11:09:15,16.0576,1
SVH9,11:09:16,16.0576,1
SVH9,11:09:42,14.9962,1
SVH9,11:10:17,14.6870,1
SVH9,11:12:53,15.9135,1
SVH9,11:13:15,15.9032,1
SVH9,11:13:31,15.1410,1
SVH9,11:14:11,15.1410,3
SVH9,11:14:14,14.8320,10
SVH9,11:14:14,15.1410,10
SVH9,11:14:25,14.8320,3
SVH9,11:15:58,14.8416,1
SVH9,11:16:34,16.0784,2
SVH9,11:18:07,14.9865,1
SVH9,11:18:07,16.0680,1
SVH9,11:18:38,15.7590,11
SVH9,11:18:41,15.3054,4
SVH9,11:18:59,16.0680,1
SVH9,11:19:17,14.6775,11
SVH9,11:21:02,14.8320,1
SVH9,11:21:02,15.6045,32
SVH9,11:21:13,16.2225,1
SVH9,11:21:16,15.7590,1
SVH9,11:21:18,16.2330,2
SVH9,11:21:18,15.4500,1
SVH9,11:21:21,15.4500,1
SVH9,11:24:46,14.8320,3
SVH9,11:25:02,15.9135,1
SVH9,11:26:01,15.3054,15
SVH9,11:26:48,14.8416,38
SVH9,11:26:48,15.7692,1
SVH9,11:26:48,16.0784,11
SVH9,11:26:48,16.0784,33
SVH9,11:26:48,14.8416,53
SVH9,11:26:48,15.7692,4
SVH9,11:26:48,15.6146,1
SVH9,11:26:48,15.3054,9
SVH9,11:30:05,15.9238,3
SVH9,11:31:19,15.6045,26
SVH9,11:31:34,15.6146,1
SVH9,11:36:23,15.1508,1
SVH9,11:36:30,15.4600,1
SVH9,11:36:30,15.6146,33
SVH9,11:36:30,16.0784,1
SVH9,11:41:16,15.1508,42
SVH9,11:42:16,14.9865,1
SVH9,11:42:17,15.7692,1
SVH9,11:43:05,15.4500,15
SVH9,11:47:05,16.2225,1
SVH9,11:50:09,16.2225,39
