SECID,TRADETIME,PRICE,QUANTITY
SVM9,20:22:39,15.6247,1
SVM9,10:00:59,16.0165,1
SVM9,16:11:16,15.2194,1
SVM9,16:27:01,15.2586,1
SVM9,16:30:29,16.3800,1
SVM9,16:40:37,15.4935,1
SVM9,16:41:09,15.1999,1
SVM9,17:06:46,15.2484,1
SVM9,17:07:27,16.2225,50
SVM9,17:11:52,16.2122,1
SVM9,17:16:37,15.9075,1
SVM9,17:31:18,15.4350,37
SVM9,17:31:18,16.0650,13
SVM9,17:45:29,16.2740,10
SVM9,17:45:29,16.1160,40
SVM9,17:46:05,16.5900,10
SVM9,18:11:10,15.4840,1
SVM9,18:21:39,15.2160,50
SVM9,18:27:39,15.2544,1
SVM9,19:20:00,16.0200,1
SVM9,19:20:00,16.6608,9
SVM9,21:10:15,16.5109,3
SVM9,21:10:15,15.5588,46
SVM9,10:00:09,15.1810,1
SVM9,15:43:37,16.3200,1
SVM9,16:16:38,16.5315,50
SVM9,18:14:11,15.6170,1
SVM9,18:14:11,15.4560,49
SVM9,18:19:37,16.2610,1
SVM9,18:22:03,15.4560,1
SVM9,19:38:56,16.1300,4
SVM9,19:39:25,16.4628,4
SVM9,20:17:38,16.3115,50
SVM9,20:30:51,16.4832,3
SVM9,20:50:51,16.1800,1
SVM9,21:47:33,16.3014,2
SVM9,10:09:30,15.5520,50
SVM9,10:31:02,15.7237,1
SVM9,11:30:28,16.4125,1
SVM9,11:30:28,16.0875,8
SVM9,11:37:22,15.9250,12
SVM9,11:38:17,16.4125,12
SVM9,11:39:08,15.4375,1
SVM9,11:59:14,16.0380,3
SVM9,11:59:14,15.8760,17
SVM9,12:21:33,16.2500,17
SVM9,15:43:12,15.7625,5
SVM9,16:17:45,16.8688,2
SVM9,17:00:48,16.0578,8
