SECID,TRADETIME,PRICE,QUANTITY
SiM9,19:06:47,63663.3000,2
SiM9,19:06:47,69024.4200,1
SiM9,19:06:47,64347.8400,1
SiM9,19:06:47,63677.5500,9
SiM9,19:06:48,69025.4500,1
SiM9,19:07:01,69693.5200,1
SiM9,19:07:01,65007.4600,3
SiM9,19:07:01,66349.8000,3
SiM9,19:07:36,69020.3000,1
SiM9,19:07:36,70360.5000,1
SiM9,19:07:37,67010.0000,1
SiM9,19:07:37,70360.5000,2
SiM9,19:07:37,64991.9400,1
SiM9,19:07:37,69011.0300,1
SiM9,19:07:37,69011.0300,1
SiM9,19:07:37,66330.0000,3
SiM9,19:07:37,69680.0000,1
SiM9,19:07:37,67000.0000,1
SiM9,19:07:37,69010.0000,1
SiM9,19:07:37,69010.0000,1
SiM9,19:07:37,67000.0000,1
SiM9,19:07:37,70348.9500,3
SiM9,19:07:37,68338.9800,3
SiM9,19:07:38,64982.2400,1
SiM9,19:08:01,65642.3600,1
SiM9,19:08:42,63650.0000,1
SiM9,19:08:52,67003.0000,1
SiM9,19:08:53,69684.1600,2
SiM9,19:09:30,67671.0100,1
SiM9,19:09:45,70351.0500,1
SiM9,19:09:53,67002.0000,1
SiM9,19:10:56,69030.6000,1
SiM9,19:10:56,68360.4000,4
SiM9,19:11:02,67042.0000,1
SiM9,19:11:27,66372.5700,1
SiM9,19:11:27,66372.5700,3
SiM9,19:11:27,69725.7600,1
SiM9,19:11:29,67043.0000,1
SiM9,19:12:10,69755.9200,1
SiM9,19:12:11,64391.0400,1
SiM9,19:13:26,69100.6400,2
SiM9,19:14:02,65757.0200,1
SiM9,19:14:02,65087.0000,1
SiM9,19:14:02,69113.0000,1
SiM9,19:14:02,70455.0000,5
SiM9,19:14:02,65758.0000,10
SiM9,19:14:08,69784.0000,1
SiM9,19:14:09,64416.0000,1
SiM9,19:14:09,69113.0000,1
SiM9,19:14:09,70455.0000,3
SiM9,19:14:09,68442.0000,1
SiM9,19:18:45,64362.2400,1
SiM9,19:21:22,69052.2300,1
SiM9,19:22:19,63720.3000,1
SiM9,19:23:54,67722.5200,1
SiM9,19:23:55,64368.0000,1
SiM9,19:24:24,66373.5600,1
SiM9,19:24:51,67705.3500,1
SiM9,19:24:52,67705.3500,1
SiM9,19:24:52,64353.6000,3
SiM9,19:27:33,64391.0400,1
SiM9,19:30:50,69733.0400,1
SiM9,19:33:04,69725.7600,1
SiM9,19:33:52,65704.1000,1
SiM9,19:40:08,67710.4000,1
SiM9,19:40:08,66369.6000,1
SiM9,19:40:08,63688.0000,1
SiM9,19:40:08,67710.4000,1
SiM9,19:45:16,63662.3500,1
SiM9,19:46:04,68340.0000,1
SiM9,19:46:04,69010.0000,1
SiM9,19:46:22,63640.5000,1
SiM9,19:48:45,69676.8800,1
SiM9,19:50:38,69680.0000,6
SiM9,19:50:38,67000.0000,4
SiM9,19:50:46,67670.0000,1
SiM9,19:51:35,68366.5200,1
SiM9,19:52:20,65032.6800,1
SiM9,19:52:21,69061.5000,1
SiM9,19:52:21,63711.7500,1
SiM9,19:54:30,67744.7400,1
SiM9,19:54:30,68419.5600,1
SiM9,20:04:51,69074.8900,1
SiM9,20:06:54,64413.1200,10
SiM9,20:06:54,70452.9000,3
SiM9,20:06:54,69111.9700,3
SiM9,20:06:54,68440.9800,3
SiM9,20:06:54,68442.0000,1
SiM9,20:11:08,63745.0000,1
SiM9,20:11:08,65087.0000,3
SiM9,20:11:08,66429.0000,1
SiM9,20:11:21,66429.0000,3
SiM9,20:11:21,67771.0000,1
SiM9,20:21:54,65762.9000,1
SiM9,20:25:39,69795.4400,1
SiM9,20:26:32,67125.0000,1
SiM9,20:26:32,67125.0000,1
SiM9,20:26:32,65782.5000,3
SiM9,20:26:32,69138.7500,3
SiM9,20:26:42,67126.0000,1
SiM9,20:26:42,64440.9600,2
SiM9,20:27:22,69821.4400,1
SiM9,20:27:48,69815.2000,5
SiM9,20:27:51,70502.2500,1
SiM9,20:30:08,69164.5000,2
SiM9,20:40:57,65098.6400,3
SiM9,20:40:57,65098.6400,3
SiM9,20:40:57,64427.5200,3
SiM9,20:40:57,65098.6400,3
SiM9,20:40:57,65098.6400,4
SiM9,20:40:59,70466.5500,1
SiM9,20:41:04,67783.1200,1
SiM9,20:41:20,63756.4000,3
SiM9,20:41:20,67783.1200,3
SiM9,20:41:20,66440.8800,4
SiM9,20:41:20,63756.4000,3
SiM9,20:49:14,64423.6800,1
SiM9,20:56:22,67786.1500,1
SiM9,20:57:42,69130.5100,9
SiM9,20:57:42,70472.8500,1
SiM9,20:57:50,69143.9000,17
SiM9,20:57:50,66458.7000,6
SiM9,20:57:50,66459.6900,3
SiM9,20:57:50,70487.5500,6
SiM9,20:57:50,70487.5500,1
SiM9,21:06:22,63754.5000,1
SiM9,21:07:09,65101.5500,1
SiM9,21:07:31,69118.1500,1
SiM9,21:08:10,65767.8000,1
SiM9,21:08:13,65096.7000,3
SiM9,21:08:13,65767.8000,7
SiM9,21:08:13,69123.3000,3
SiM9,21:08:13,63754.5000,5
SiM9,21:09:18,70465.5000,3
SiM9,21:19:03,70455.0000,1
SiM9,21:19:03,65087.0000,3
SiM9,21:19:03,65087.0000,3
SiM9,21:19:03,65087.0000,3
SiM9,21:19:03,63745.0000,1
SiM9,21:27:39,69097.5500,4
SiM9,21:42:07,67784.1300,3
SiM9,21:42:07,67784.1300,3
SiM9,21:42:07,65770.7400,3
SiM9,21:42:07,64428.4800,1
SiM9,21:42:10,67103.0000,1
SiM9,21:42:33,67108.0000,3
SiM9,21:42:33,70463.4000,3
SiM9,21:42:33,65094.7600,3
SiM9,21:42:33,64423.6800,1
SiM9,21:48:33,64423.6800,1
SiM9,21:48:48,64421.7600,1
SiM9,21:58:28,70455.0000,1
SiM9,21:58:28,67098.0000,3
SiM9,21:58:28,70452.9000,3
SiM9,21:58:28,67768.9800,3
SiM9,21:58:28,69086.2200,1
SiM9,21:58:28,69754.8800,7
SiM9,21:58:28,64385.2800,40
SiM9,21:58:28,65048.2000,32
SiM9,21:58:28,68440.9800,4
SiM9,21:59:13,70442.4000,3
SiM9,21:59:13,69099.6100,3
SiM9,21:59:13,67757.8700,3
SiM9,21:59:24,67755.8500,2
SiM9,21:59:24,67085.0000,3
SiM9,21:59:24,66414.1500,3
SiM9,21:59:24,66414.1500,3
SiM9,21:59:24,69097.5500,5
SiM9,21:59:24,68426.7000,3
SiM9,21:59:26,70439.2500,3
SiM9,21:59:26,67085.0000,5
SiM9,22:01:12,65091.8500,1
SiM9,22:04:48,65758.0000,4
SiM9,22:05:41,65093.7900,3
SiM9,22:05:41,66435.9300,1
SiM9,22:12:41,66464.6400,1
SiM9,22:12:49,69824.5600,1
SiM9,22:28:21,69143.9000,4
SiM9,22:28:32,67137.0000,3
SiM9,22:28:32,67137.0000,3
SiM9,22:28:32,67137.0000,3
SiM9,22:28:32,66465.6300,1
SiM9,22:28:45,63773.5000,3
SiM9,22:28:45,69815.2000,3
SiM9,22:43:43,64440.0000,1
SiM9,22:44:02,67105.0000,1
SiM9,23:13:45,69784.0000,1
SiM9,23:14:28,69784.0000,1
SiM9,23:14:28,66429.0000,2
