SECID,TRADETIME,PRICE,QUANTITY
SiU0,22:59:22,70364.9800,1
SiU0,22:59:22,73237.0200,1
SiU0,22:59:22,68928.9600,1
SiU0,22:59:22,68928.9600,1
SiU0,22:59:22,68928.9600,1
SiU0,23:03:30,74880.0000,5
SiU0,23:04:21,74880.0000,1
SiU0,23:04:46,69937.0000,5
SiU0,23:12:57,72000.0000,1
SiU0,23:13:02,74880.0000,1
SiU0,23:31:07,74880.0000,2
SiU0,23:31:07,71082.0000,5
SiU0,23:31:14,73284.5000,1
SiU0,23:42:07,75285.0000,1
SiU0,14:37:45,68400.0000,1
SiU0,10:26:36,71192.0000,1
SiU0,10:26:36,69056.2400,1
SiU0,10:26:36,69768.1600,1
