SECID,TRADETIME,PRICE,QUANTITY
SiZ9,22:16:15,65398.0000,1
SiZ9,10:05:03,67424.0000,1
SiZ9,10:05:34,69477.9000,3
SiZ9,10:07:20,65971.2000,1
SiZ9,12:39:24,66930.0000,1
SiZ9,14:43:53,65664.0000,5
SiZ9,16:14:25,72576.0000,4
SiZ9,16:36:28,71128.7100,1
SiZ9,17:06:53,70381.0200,4
SiZ9,17:41:13,70553.4000,2
SiZ9,19:11:34,67598.4400,1
SiZ9,19:11:36,66908.6600,1
SiZ9,19:23:30,72426.9000,1
SiZ9,19:23:39,66908.6600,1
SiZ9,20:53:35,70369.8000,1
SiZ9,12:36:18,65406.5500,1
SiZ9,12:36:18,68156.5500,1
SiZ9,14:38:07,68211.9900,1
SiZ9,14:39:52,70968.0300,2
SiZ9,17:06:14,72450.0000,1
SiZ9,17:06:15,67620.0000,1
SiZ9,17:06:41,71760.0000,1
SiZ9,18:15:07,70214.7600,1
SiZ9,18:15:12,66084.4800,1
SiZ9,18:15:13,66084.4800,3
SiZ9,18:16:44,72251.5500,1
SiZ9,19:00:02,65286.8500,20
SiZ9,19:33:33,68689.0000,3
SiZ9,19:47:04,68638.0000,1
SiZ9,19:47:05,65892.4800,9
SiZ9,20:11:06,69344.5800,3
SiZ9,10:04:44,71385.6000,1
SiZ9,11:52:57,71296.1600,1
SiZ9,12:21:41,67815.9900,4
SiZ9,12:26:09,66445.9700,1
SiZ9,12:32:45,71240.0000,2
SiZ9,13:44:24,65719.6800,1
SiZ9,14:20:59,68438.0000,1
SiZ9,14:20:59,68438.0000,1
SiZ9,14:21:11,65700.4800,8
SiZ9,15:03:27,70583.8400,5
SiZ9,15:34:50,69796.5600,5
SiZ9,15:39:58,68420.0000,2
SiZ9,16:23:29,71807.4000,10
SiZ9,16:46:22,68438.0000,1
SiZ9,16:46:26,65016.1000,1
SiZ9,16:46:31,68438.0000,8
