SECID,TRADETIME,PRICE,QUANTITY
TNH9,20:20:20,168560.0000,4
TNH9,20:20:20,175760.0000,4
TNH9,22:55:52,163835.9100,1
TNH9,23:13:38,177363.9000,2
TNH9,10:04:42,178206.0000,1
TNH9,13:59:01,173570.3400,1
TNH9,17:46:49,168745.5000,1
TNH9,19:21:47,167580.0000,3
TNH9,19:22:40,174328.5300,2
TNH9,19:22:40,164172.5000,1
TNH9,14:09:20,167188.0000,1
TNH9,14:21:57,177632.0000,1
TNH9,17:07:11,172129.2500,1
TNH9,17:25:15,177489.5200,2
TNH9,17:25:15,179233.9500,1
TNH9,17:25:18,167286.0000,1
TNH9,17:29:55,167972.0000,1
TNH9,18:11:29,166826.4200,5
TNH9,18:11:45,178751.0400,5
TNH9,18:38:59,166061.0900,1
TNH9,18:39:37,171498.0000,3
TNH9,18:39:37,180075.0000,1
TNH9,19:20:40,181230.0000,2
TNH9,19:51:56,179287.5000,2
TNH9,16:13:10,177978.3200,1
TNH9,16:24:40,174573.0000,1
TNH9,16:24:40,169438.5000,1
TNH9,16:24:40,166015.5000,1
TNH9,16:25:48,167727.0000,1
TNH9,16:30:49,174726.0000,1
TNH9,16:31:21,164496.0000,1
TNH9,16:46:01,167923.0000,1
TNH9,16:47:19,171350.0000,1
TNH9,16:47:22,164511.3600,2
TNH9,16:47:22,169636.5000,3
TNH9,16:47:22,176575.9900,3
TNH9,16:47:22,174777.0000,1
TNH9,16:50:33,169636.5000,2
TNH9,16:53:40,171350.0000,2
TNH9,16:54:05,162790.1000,1
TNH9,16:54:05,166217.2600,3
TNH9,16:54:05,169636.5000,2
