SECID,TRADETIME,PRICE,QUANTITY
TTH9,19:14:14,80233.9100,1
TTH9,19:14:14,81016.0000,1
TTH9,19:14:14,81831.7500,1
TTH9,19:18:02,75631.8700,1
TTH9,19:18:02,77977.0000,1
TTH9,19:18:02,77994.0000,1
TTH9,19:24:30,74039.0400,1
TTH9,19:25:13,79410.0600,1
TTH9,19:25:13,75563.9700,2
TTH9,19:25:48,78649.7100,2
TTH9,19:25:48,77093.2800,1
TTH9,19:28:06,75536.8100,1
TTH9,19:28:06,81070.0800,1
TTH9,19:28:06,74078.1500,1
TTH9,19:32:16,77219.0100,1
TTH9,19:32:16,74100.0000,1
TTH9,19:32:16,81163.6800,2
TTH9,19:32:16,74157.0000,1
TTH9,19:32:16,81208.4000,2
TTH9,19:32:16,78881.0000,1
TTH9,19:32:16,79032.5000,1
TTH9,19:32:16,75222.7200,1
TTH9,19:32:16,75244.8000,3
TTH9,19:49:45,78922.4100,1
TTH9,23:39:33,78100.0000,1
TTH9,23:39:33,75757.0000,1
TTH9,23:46:56,80487.2900,2
TTH9,10:00:24,82033.3500,1
TTH9,10:00:31,81252.0800,1
TTH9,10:00:31,78906.2500,2
TTH9,10:01:01,82035.4500,2
TTH9,10:01:01,77347.7100,2
TTH9,10:01:01,75019.2000,1
TTH9,10:01:01,74237.7500,1
TTH9,10:01:01,78145.0000,1
TTH9,10:01:01,81276.0000,2
TTH9,10:01:42,77543.7300,1
TTH9,10:01:57,75899.5900,1
TTH9,10:01:58,82299.0000,1
TTH9,10:01:58,78380.0000,1
TTH9,10:01:58,79182.9900,1
TTH9,10:02:54,76979.0000,1
TTH9,10:03:00,78461.0000,2
TTH9,10:03:00,79246.6200,1
TTH9,10:03:51,80906.5000,1
TTH9,10:05:45,74698.5000,1
TTH9,10:05:45,78642.0000,1
TTH9,10:05:50,77077.0000,1
TTH9,10:05:50,80223.0000,1
TTH9,10:05:58,81796.0000,2
TTH9,10:05:58,78650.0000,1
TTH9,10:06:19,77095.6200,1
TTH9,10:06:20,77903.1000,1
TTH9,10:06:56,74764.0500,1
TTH9,10:06:56,76385.5600,1
TTH9,10:07:06,76385.5600,1
TTH9,10:07:27,78749.0000,1
TTH9,10:08:10,81824.0800,1
TTH9,10:13:17,80860.1500,1
TTH9,10:13:17,80857.0600,1
TTH9,10:13:18,80070.0000,1
TTH9,10:18:02,75484.8000,1
TTH9,10:18:49,79448.6200,1
TTH9,10:21:45,77126.0000,2
TTH9,10:22:04,78700.0000,2
TTH9,10:22:04,77913.0000,1
TTH9,10:22:04,79487.0000,1
TTH9,10:25:07,74793.5000,1
TTH9,10:29:39,78729.0000,1
TTH9,10:29:45,74793.5000,1
TTH9,10:29:45,80317.8600,1
TTH9,10:31:02,77175.0000,1
TTH9,10:32:32,79521.3400,1
TTH9,10:32:32,80307.6600,1
TTH9,10:33:36,78675.0000,2
TTH9,10:36:04,76368.1000,1
TTH9,10:36:05,76387.5000,1
TTH9,10:36:05,81900.0000,2
TTH9,10:36:05,74812.5000,1
TTH9,10:38:33,78788.0000,2
TTH9,10:38:34,77960.5200,2
TTH9,10:38:40,79530.4300,2
TTH9,10:38:40,79530.4300,2
TTH9,10:42:51,77950.6200,2
TTH9,10:43:17,81089.8400,2
TTH9,11:03:21,77219.1000,1
TTH9,11:03:21,82734.7500,1
TTH9,11:03:29,81799.1200,2
TTH9,11:05:06,75440.6400,1
TTH9,11:05:06,75440.6400,1
TTH9,11:05:06,74653.8500,1
TTH9,11:05:06,79323.3800,1
TTH9,11:05:16,75408.0000,1
TTH9,11:06:46,79184.0000,1
TTH9,11:16:11,76979.0000,1
TTH9,11:16:11,78550.0000,1
TTH9,11:18:57,79282.9800,1
TTH9,11:19:57,76251.7000,1
TTH9,11:19:57,81754.4000,1
TTH9,11:20:57,74727.9500,1
TTH9,11:20:57,82594.0500,2
TTH9,11:23:39,74765.0000,1
TTH9,11:38:27,79583.9600,1
TTH9,11:39:06,77169.1200,1
TTH9,11:39:06,79531.4400,2
TTH9,11:39:06,77942.7000,2
TTH9,11:39:06,75576.9600,1
TTH9,11:39:06,75537.6000,3
TTH9,11:39:06,77898.1500,2
TTH9,11:39:06,82619.2500,6
TTH9,11:39:06,77898.1500,3
TTH9,11:39:06,80258.7000,1
TTH9,11:39:07,79359.7400,1
TTH9,11:39:07,80145.4800,2
TTH9,11:39:07,74644.3500,2
TTH9,11:39:07,79352.6700,1
TTH9,11:39:37,80172.0000,1
TTH9,11:56:54,80708.7400,1
TTH9,11:56:54,79924.1400,2
TTH9,11:56:54,74439.1500,2
TTH9,11:56:54,82274.8500,1
TTH9,11:56:54,75222.7200,1
TTH9,11:56:54,74440.1000,1
TTH9,11:57:25,79866.0000,2
TTH9,11:57:25,81432.0000,1
TTH9,11:57:25,80649.0000,2
TTH9,11:58:49,81430.9600,1
TTH9,12:01:52,74346.0500,1
TTH9,12:02:19,81432.0000,2
TTH9,12:02:19,78300.0000,2
TTH9,12:02:20,80649.0000,2
TTH9,12:02:20,79083.0000,2
TTH9,12:02:20,75168.0000,2
TTH9,12:02:20,75951.0000,6
TTH9,12:15:55,82477.5000,1
