SECID,TRADETIME,PRICE,QUANTITY
USH9,19:12:09,2108.0800,1
USH9,19:12:10,1925.6500,2
USH9,19:12:12,1985.9700,1
USH9,19:12:42,1924.7000,10
USH9,19:12:58,2065.5000,1
USH9,19:16:11,2125.9875,1
USH9,19:16:31,2084.4625,1
USH9,19:16:31,2023.5000,4
USH9,19:17:58,2126.2500,1
USH9,19:18:56,1945.6800,1
USH9,19:19:18,1985.7250,1
USH9,19:21:35,1923.2750,1
USH9,19:24:21,1965.2200,1
USH9,19:24:46,1985.7250,15
USH9,19:24:46,1924.7000,20
USH9,19:29:31,2007.2250,1
USH9,19:29:31,1986.9500,9
USH9,19:29:44,1986.7050,1
USH9,19:29:50,1966.4325,1
USH9,19:31:21,2087.0375,1
USH9,19:32:28,2127.0375,2
USH9,19:32:28,2045.7550,1
USH9,19:37:41,2130.9750,3
USH9,19:37:41,2050.0475,2
USH9,19:37:42,1989.1550,4
USH9,19:44:48,2110.4200,1
USH9,19:45:22,2071.1100,1
USH9,19:45:22,1970.0700,1
USH9,19:45:49,2112.2400,2
USH9,19:48:36,1970.0700,1
USH9,19:48:47,1929.4500,4
USH9,19:49:04,1990.6250,30
USH9,19:49:52,1951.6800,1
USH9,19:49:52,2134.6500,2
USH9,19:49:53,1992.3400,9
USH9,19:52:27,2130.9750,1
USH9,19:52:30,2090.3850,1
USH9,19:52:47,2090.9000,2
USH9,19:54:52,1928.7375,1
USH9,19:56:33,1971.0400,1
USH9,19:57:11,2071.8750,1
USH9,19:58:09,1990.3800,1
USH9,19:58:43,1950.7200,1
USH9,19:59:19,2113.5400,1
USH9,19:59:24,2113.5400,1
USH9,19:59:37,2113.5400,1
USH9,19:59:38,2093.2175,1
USH9,19:59:41,1951.2000,1
USH9,19:59:43,2113.8000,1
USH9,19:59:57,1930.8750,1
USH9,20:01:33,2112.7600,3
USH9,20:05:21,1969.1000,1
USH9,20:05:37,2111.4600,1
USH9,20:05:41,2009.7000,5
USH9,20:12:26,1988.9100,1
USH9,20:17:01,1948.5600,1
USH9,20:31:49,1924.7000,2
USH9,20:32:09,1985.7250,2
USH9,20:32:33,1965.4625,1
USH9,20:39:29,1943.7600,3
USH9,20:39:33,2004.5025,5
USH9,20:39:36,2044.9975,12
USH9,20:40:18,1963.7650,30
USH9,20:48:29,1984.2550,1
USH9,20:48:48,2047.0175,1
USH9,20:51:06,1963.7650,1
USH9,20:52:30,2084.7200,1
USH9,20:52:36,2125.2000,1
USH9,20:52:36,1983.5200,1
USH9,20:52:36,1922.8000,1
USH9,20:52:39,2043.7350,1
USH9,20:52:56,2124.1500,1
USH9,20:52:56,2022.0000,1
USH9,20:52:56,2122.5750,14
USH9,20:52:57,2122.5750,1
USH9,20:55:18,2043.9875,1
USH9,20:58:00,2084.9775,2
USH9,20:58:00,2064.9900,12
USH9,20:58:00,1964.2500,86
USH9,20:59:49,2044.9975,1
USH9,21:02:25,1943.5200,1
USH9,21:04:04,2103.6600,3
USH9,21:04:04,2022.5000,1
USH9,21:05:56,2062.4400,2
USH9,21:05:56,2001.7800,1
USH9,21:05:56,2001.5325,2
USH9,21:06:02,1940.8800,3
USH9,21:06:10,1961.0975,2
USH9,21:06:15,2021.2500,3
USH9,21:08:07,2082.1450,1
USH9,21:08:07,1940.6400,1
USH9,21:08:54,1981.0700,4
