SECID,TRADETIME,PRICE,QUANTITY
VBH9,19:05:00,3734.0000,1
VBH9,19:05:00,3646.5800,1
VBH9,19:05:00,3534.9500,10
VBH9,19:05:00,3906.0000,29
VBH9,19:05:01,3872.9600,9
VBH9,19:05:01,3582.7200,1
VBH9,19:05:01,3769.3200,30
VBH9,19:05:02,3732.0000,80
VBH9,19:05:04,3872.9600,1
VBH9,19:05:09,3726.0000,1
VBH9,19:05:12,3914.4000,1
VBH9,19:05:12,3766.2900,1
VBH9,19:05:12,3542.5500,6
VBH9,19:05:14,3730.0000,1
VBH9,19:05:14,3767.3000,6
VBH9,19:05:14,3654.4200,23
VBH9,19:05:14,3841.9000,1
VBH9,19:05:16,3917.5500,20
VBH9,19:05:17,3544.4500,1
VBH9,19:05:29,3917.5500,10
VBH9,19:05:30,3880.2400,4
VBH9,19:05:48,3919.6500,5
VBH9,19:05:48,3919.6500,1
VBH9,19:05:48,3807.6600,4
VBH9,19:05:49,3770.3300,4
VBH9,19:05:53,3584.6400,5
VBH9,19:05:54,3696.6600,4
VBH9,19:05:54,3808.6800,1
VBH9,19:05:54,3659.3200,2
VBH9,19:05:54,3547.3000,10
VBH9,19:05:54,3547.3000,1
VBH9,19:05:54,3771.3400,10
VBH9,19:05:57,3735.0000,1
VBH9,19:05:58,3772.3500,9
VBH9,19:05:58,3660.3000,10
VBH9,19:05:58,3772.3500,1
VBH9,19:06:01,3622.9500,4
VBH9,19:06:05,3809.7000,2
VBH9,19:06:07,3623.9200,8
VBH9,19:06:07,3662.2600,5
VBH9,19:06:07,3587.5200,10
VBH9,19:06:07,3849.1100,10
VBH9,19:06:07,3662.2600,3
VBH9,19:06:07,3550.1500,1
VBH9,19:06:07,3625.8600,10
VBH9,19:06:07,3887.5200,5
VBH9,19:06:07,3625.8600,6
VBH9,19:06:07,3850.1400,10
VBH9,19:06:07,3700.6200,8
VBH9,19:06:07,3851.1700,1
VBH9,19:06:07,3776.3900,8
VBH9,19:06:07,3851.1700,1
VBH9,19:06:07,3626.8300,5
VBH9,19:06:07,3626.8300,5
VBH9,19:06:07,3739.0000,6
VBH9,19:06:07,3589.4400,10
VBH9,19:06:07,3589.4400,5
VBH9,19:06:07,3553.0000,2
VBH9,19:06:07,3740.0000,7
VBH9,19:06:07,3627.8000,10
VBH9,19:06:07,3591.3600,5
VBH9,19:06:07,3629.7400,1
VBH9,19:06:07,3742.0000,8
VBH9,19:06:07,3779.4200,7
VBH9,19:06:07,3779.4200,6
VBH9,19:06:07,3593.2800,8
VBH9,19:06:07,3668.1400,2
VBH9,19:06:07,3817.8600,1
VBH9,19:06:07,3591.3600,1
VBH9,19:06:07,3704.5800,3
VBH9,19:06:08,3890.6400,3
VBH9,19:06:08,3816.8400,1
VBH9,19:06:08,3780.4300,1
VBH9,19:06:08,3741.0000,1
VBH9,19:06:08,3778.4100,5
VBH9,19:06:09,3702.6000,2
VBH9,19:06:16,3667.1600,1
VBH9,19:06:21,3554.9000,1
VBH9,19:06:21,3590.4000,1
VBH9,19:06:22,3704.5800,1
VBH9,19:06:22,3667.1600,1
VBH9,19:06:26,3553.0000,1
VBH9,19:06:27,3927.0000,1
VBH9,19:06:53,3929.1000,3
VBH9,19:06:53,3592.3200,2
VBH9,19:06:58,3553.9500,1
VBH9,19:06:58,3553.9500,6
VBH9,19:06:58,3889.6000,56
VBH9,19:06:58,3852.2000,6
VBH9,19:06:58,3776.3900,6
VBH9,19:06:58,3888.5600,1
VBH9,19:06:58,3812.7600,6
VBH9,19:06:58,3923.8500,6
VBH9,19:06:58,3662.2600,1
