SECID,TRADETIME,PRICE,QUANTITY
VBM9,19:08:35,3479.8500,8
VBM9,19:08:35,3480.8000,10
VBM9,19:08:35,3647.1600,10
VBM9,19:08:35,3741.0400,10
VBM9,19:08:35,3867.7600,4
VBM9,20:50:41,3635.2800,10
VBM9,20:50:41,3526.0800,10
VBM9,21:20:13,3645.0000,1
VBM9,21:20:14,3499.2000,1
VBM9,21:20:14,3499.2000,1
VBM9,21:20:14,3608.5500,1
VBM9,21:20:14,3608.5500,1
VBM9,21:22:12,3499.2000,9
VBM9,11:39:13,3458.0000,1
VBM9,11:41:37,3525.9500,1
VBM9,11:57:46,3811.5000,1
VBM9,12:30:13,3517.2200,1
VBM9,18:37:48,3779.3600,1
VBM9,10:46:00,3409.5500,1
VBM9,11:08:26,3522.1200,3
VBM9,11:08:26,3772.6500,2
VBM9,11:08:26,3690.4900,10
VBM9,11:08:26,3511.3400,10
VBM9,11:09:46,3615.8000,3
VBM9,11:09:54,3722.1600,1
VBM9,11:09:54,3757.9500,2
VBM9,11:10:28,3401.0000,1
VBM9,11:11:57,3544.2000,1
VBM9,11:11:57,3687.4000,1
VBM9,11:11:57,3401.0000,2
VBM9,11:11:57,3651.6000,2
VBM9,11:11:57,3508.4000,2
VBM9,11:12:33,3724.2400,2
VBM9,11:23:01,3740.8800,2
VBM9,11:23:01,3668.9400,2
VBM9,12:08:15,3753.7500,1
VBM9,12:09:58,3762.1500,1
VBM9,12:13:03,3650.5800,3
VBM9,12:50:54,3671.9500,1
VBM9,12:50:54,3636.3000,1
VBM9,13:45:33,3657.7200,1
VBM9,13:47:54,3584.0000,1
VBM9,14:29:56,3503.5000,3
VBM9,14:30:21,3694.0800,1
VBM9,14:30:28,3515.4900,1
VBM9,14:30:28,3514.5000,13
VBM9,14:42:05,3708.6400,1
VBM9,14:42:05,3708.6400,4
VBM9,14:59:07,3693.0400,1
VBM9,14:59:07,3443.5000,2
VBM9,14:59:07,3545.0000,2
VBM9,14:59:07,3689.9200,1
VBM9,15:15:11,3676.0700,5
VBM9,16:31:20,3580.4500,10
VBM9,16:37:33,3403.2000,10
VBM9,17:09:41,3720.1500,1
VBM9,17:51:41,3450.2900,6
VBM9,19:30:41,3510.5400,2
VBM9,21:20:26,3690.9600,2
VBM9,22:08:37,3562.0000,1
VBM9,11:03:58,3761.1000,1
VBM9,11:26:10,3503.5000,5
VBM9,11:26:15,3610.7500,5
VBM9,13:19:08,3538.2600,20
VBM9,13:42:46,3572.0000,20
VBM9,13:42:59,3751.6500,10
VBM9,13:44:04,3714.8800,40
VBM9,13:44:04,3750.6000,10
VBM9,13:47:27,3391.5000,10
VBM9,14:56:02,3739.0500,2
VBM9,14:56:50,3631.2000,10
VBM9,14:57:02,3488.8000,5
VBM9,14:57:48,3626.1000,1
VBM9,14:57:48,3447.3800,1
VBM9,14:57:48,3730.6500,6
VBM9,15:18:10,3494.6800,6
VBM9,16:07:48,3471.6300,3
